"Plot Title: jp.tw."
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365621, SEN S/N: 20365621)","Coupler Detached (LGR S/N: 20365621)","Bad Battery (LGR S/N: 20365621)","Coupler Attached (LGR S/N: 20365621)","Host Connected (LGR S/N: 20365621)","Good Battery (LGR S/N: 20365621)","Stopped (LGR S/N: 20365621)","End Of File (LGR S/N: 20365621)"
1,08/20/24 12:55:33 PM,32.911,,,,,,,
2,08/20/24 12:55:45 PM,,Logged,,,,,,
3,08/20/24 02:55:33 PM,25.610,,,,,,,
4,08/20/24 04:55:33 PM,17.570,,,,,,,
5,08/20/24 06:55:33 PM,17.094,,,,,,,
6,08/20/24 08:55:33 PM,13.846,,,,,,,
7,08/20/24 10:55:33 PM,12.013,,,,,,,
8,08/21/24 12:55:33 AM,11.041,,,,,,,
9,08/21/24 02:55:33 AM,10.259,,,,,,,
10,08/21/24 04:55:33 AM,10.063,,,,,,,
11,08/21/24 06:55:33 AM,9.571,,,,,,,
12,08/21/24 08:55:33 AM,9.669,,,,,,,
13,08/21/24 10:55:33 AM,12.690,,,,,,,
14,08/21/24 12:55:33 PM,14.996,,,,,,,
15,08/21/24 02:55:33 PM,15.664,,,,,,,
16,08/21/24 04:55:33 PM,14.517,,,,,,,
17,08/21/24 06:55:33 PM,11.625,,,,,,,
18,08/21/24 08:55:33 PM,10.455,,,,,,,
19,08/21/24 10:55:33 PM,9.472,,,,,,,
20,08/22/24 12:55:33 AM,8.879,,,,,,,
21,08/22/24 02:55:33 AM,8.581,,,,,,,
22,08/22/24 04:55:33 AM,8.082,,,,,,,
23,08/22/24 06:55:33 AM,7.782,,,,,,,
24,08/22/24 08:55:33 AM,8.382,,,,,,,
25,08/22/24 10:55:33 AM,9.866,,,,,,,
26,08/22/24 12:55:33 PM,12.883,,,,,,,
27,08/22/24 02:55:33 PM,12.304,,,,,,,
28,08/22/24 04:55:33 PM,10.357,,,,,,,
29,08/22/24 06:55:33 PM,9.373,,,,,,,
30,08/22/24 08:55:33 PM,8.581,,,,,,,
