"Plot Title: jp.sw.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20848147, SEN S/N: 20848147)","Coupler Detached (LGR S/N: 20848147)","Bad Battery (LGR S/N: 20848147)","Coupler Attached (LGR S/N: 20848147)","Host Connected (LGR S/N: 20848147)","End Of File (LGR S/N: 20848147)"
1,08/19/24 12:46:37 PM,29.953,,,,,
2,08/19/24 12:46:47 PM,,Logged,,,,
3,08/19/24 02:46:37 PM,20.329,,,,,
4,08/19/24 04:46:37 PM,18.045,,,,,
5,08/19/24 06:46:37 PM,17.570,,,,,
6,08/19/24 08:46:37 PM,13.558,,,,,
7,08/19/24 10:46:37 PM,11.236,,,,,
8,08/20/24 12:46:37 AM,10.161,,,,,
9,08/20/24 02:46:37 AM,8.978,,,,,
10,08/20/24 04:46:37 AM,7.983,,,,,
11,08/20/24 06:46:37 AM,7.381,,,,,
12,08/20/24 08:46:37 AM,8.581,,,,,
13,08/20/24 10:46:37 AM,13.846,,,,,
14,08/20/24 12:46:37 PM,19.567,,,,,
15,08/20/24 02:46:37 PM,24.545,,,,,
16,08/20/24 04:46:37 PM,22.046,,,,,
17,08/20/24 06:46:37 PM,20.329,,,,,
18,08/20/24 08:46:37 PM,15.378,,,,,
19,08/20/24 10:46:37 PM,12.497,,,,,
20,08/21/24 12:46:37 AM,10.944,,,,,
21,08/21/24 02:46:37 AM,9.965,,,,,
22,08/21/24 04:46:37 AM,9.571,,,,,
23,08/21/24 06:46:37 AM,9.373,,,,,
24,08/21/24 08:46:37 AM,9.275,,,,,
25,08/21/24 10:46:37 AM,12.594,,,,,
26,08/21/24 12:46:37 PM,17.284,,,,,
27,08/21/24 02:46:37 PM,17.475,,,,,
28,08/21/24 04:46:37 PM,17.379,,,,,
29,08/21/24 06:46:37 PM,10.161,,,,,
30,08/21/24 08:46:37 PM,9.571,,,,,
31,08/21/24 10:46:37 PM,8.481,,,,,
32,08/22/24 12:46:37 AM,7.882,,,,,
33,08/22/24 02:46:37 AM,7.782,,,,,
34,08/22/24 04:46:37 AM,7.280,,,,,
35,08/22/24 06:46:37 AM,6.978,,,,,
36,08/22/24 08:46:37 AM,7.782,,,,,
37,08/22/24 10:46:37 AM,9.472,,,,,
38,08/22/24 12:46:37 PM,14.134,,,,,
39,08/22/24 02:46:37 PM,14.038,,,,,
40,08/22/24 04:46:37 PM,10.748,,,,,
41,08/22/24 06:46:37 PM,9.275,,,,,
42,08/22/24 08:46:37 PM,8.382,,,,,
43,08/22/24 10:46:37 PM,7.582,,,,,
44,08/23/24 12:46:37 AM,6.775,,,,,
45,08/23/24 02:46:37 AM,6.370,,,,,
46,08/23/24 04:46:37 AM,6.064,,,,,
47,08/23/24 06:46:37 AM,5.757,,,,,
48,08/23/24 08:46:37 AM,6.877,,,,,
49,08/23/24 10:46:37 AM,10.944,,,,,
50,08/23/24 12:46:37 PM,10.846,,,,,
51,08/23/24 02:46:37 PM,11.139,,,,,
52,08/23/24 04:46:37 PM,12.594,,,,,
53,08/23/24 06:46:37 PM,11.916,,,,,
54,08/23/24 08:46:37 PM,9.571,,,,,
55,08/23/24 10:46:37 PM,8.382,,,,,
56,08/24/24 12:46:37 AM,7.381,,,,,
57,08/24/24 02:46:37 AM,6.775,,,,,
58,08/24/24 04:46:37 AM,6.268,,,,,
59,08/24/24 06:46:37 AM,5.552,,,,,
60,08/24/24 08:46:37 AM,6.166,,,,,
61,08/24/24 10:46:37 AM,9.965,,,,,
62,08/24/24 12:46:37 PM,10.651,,,,,
63,08/24/24 02:46:37 PM,12.690,,,,,
64,08/24/24 04:46:37 PM,13.750,,,,,
65,08/24/24 06:46:37 PM,12.304,,,,,
66,08/24/24 08:46:37 PM,9.866,,,,,
67,08/24/24 10:46:37 PM,8.779,,,,,
68,08/25/24 12:46:37 AM,7.782,,,,,
