"Plot Title: 20365583"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365583, SEN S/N: 20365583)","Coupler Detached (LGR S/N: 20365583)","Bad Battery (LGR S/N: 20365583)","Good Battery (LGR S/N: 20365583)","Coupler Attached (LGR S/N: 20365583)","Host Connected (LGR S/N: 20365583)","Stopped (LGR S/N: 20365583)","End Of File (LGR S/N: 20365583)"
1,09/17/22 08:21:41 PM,27.567,,,,,,,
2,09/17/22 08:22:09 PM,,Logged,,,,,,
3,09/17/22 10:21:41 PM,20.805,,,,,,,
4,09/18/22 12:21:41 AM,20.424,,,,,,,
5,09/18/22 02:21:41 AM,20.234,,,,,,,
6,09/18/22 04:21:41 AM,19.948,,,,,,,
7,09/18/22 06:21:41 AM,19.472,,,,,,,
8,09/18/22 08:21:41 AM,17.950,,,,,,,
9,09/18/22 10:21:41 AM,10.944,,,,,,,
10,09/18/22 12:21:41 PM,17.189,,,,,,,
11,09/18/22 02:21:41 PM,19.377,,,,,,,
12,09/18/22 04:21:41 PM,19.092,,,,,,,
13,09/18/22 06:21:41 PM,15.473,,,,,,,
14,09/18/22 08:21:41 PM,11.722,,,,,,,
15,09/18/22 10:21:41 PM,9.472,,,,,,,
16,09/19/22 12:21:41 AM,8.182,,,,,,,
17,09/19/22 02:21:41 AM,7.582,,,,,,,
18,09/19/22 04:21:41 AM,7.179,,,,,,,
19,09/19/22 06:21:41 AM,6.775,,,,,,,
20,09/19/22 08:21:41 AM,8.082,,,,,,,
21,09/19/22 10:21:41 AM,11.819,,,,,,,
22,09/19/22 12:21:41 PM,15.282,,,,,,,
23,09/19/22 02:21:41 PM,19.567,,,,,,,
24,09/19/22 04:21:41 PM,20.615,,,,,,,
25,09/19/22 06:21:41 PM,17.094,,,,,,,
26,09/19/22 08:21:41 PM,12.401,,,,,,,
27,09/19/22 10:21:41 PM,10.651,,,,,,,
28,09/20/22 12:21:41 AM,9.571,,,,,,,
29,09/20/22 02:21:41 AM,8.879,,,,,,,
30,09/20/22 04:21:41 AM,8.082,,,,,,,
31,09/20/22 06:21:41 AM,7.381,,,,,,,
32,09/20/22 08:21:41 AM,8.680,,,,,,,
33,09/20/22 10:21:41 AM,15.091,,,,,,,
34,09/20/22 12:21:41 PM,19.472,,,,,,,
35,09/20/22 02:21:41 PM,22.525,,,,,,,
36,09/20/22 04:21:41 PM,18.616,,,,,,,
37,09/20/22 06:21:41 PM,15.855,,,,,,,
38,09/20/22 08:21:41 PM,13.461,,,,,,,
39,09/20/22 10:21:41 PM,12.207,,,,,,,
40,09/21/22 12:21:41 AM,10.944,,,,,,,
41,09/21/22 02:21:41 AM,10.259,,,,,,,
42,09/21/22 04:21:41 AM,9.373,,,,,,,
43,09/21/22 06:21:41 AM,8.382,,,,,,,
44,09/21/22 08:21:41 AM,8.779,,,,,,,
45,09/21/22 10:21:41 AM,13.461,,,,,,,
46,09/21/22 12:21:41 PM,14.613,,,,,,,
47,09/21/22 02:21:41 PM,12.304,,,,,,,
48,09/21/22 04:21:41 PM,11.528,,,,,,,
49,09/21/22 06:21:41 PM,10.259,,,,,,,
50,09/21/22 08:21:41 PM,9.275,,,,,,,
51,09/21/22 10:21:41 PM,8.581,,,,,,,
52,09/22/22 12:21:41 AM,8.182,,,,,,,
53,09/22/22 02:21:41 AM,7.782,,,,,,,
54,09/22/22 04:21:41 AM,7.179,,,,,,,
55,09/22/22 06:21:41 AM,6.674,,,,,,,
56,09/22/22 08:21:41 AM,7.782,,,,,,,
57,09/22/22 10:21:41 AM,8.182,,,,,,,
58,09/22/22 12:21:41 PM,9.768,,,,,,,
59,09/22/22 02:21:41 PM,10.846,,,,,,,
60,09/22/22 04:21:41 PM,12.980,,,,,,,
61,09/22/22 06:21:41 PM,9.669,,,,,,,
62,09/22/22 08:21:41 PM,7.280,,,,,,,
63,09/22/22 10:21:41 PM,6.268,,,,,,,
64,09/23/22 12:21:41 AM,5.552,,,,,,,
65,09/23/22 02:21:41 AM,4.623,,,,,,,
