"Plot Title: 20406013"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406013, SEN S/N: 20406013)","Coupler Detached (LGR S/N: 20406013)","Coupler Attached (LGR S/N: 20406013)","Host Connected (LGR S/N: 20406013)","Stopped (LGR S/N: 20406013)","End Of File (LGR S/N: 20406013)"
1,09/17/22 08:31:20 PM,27.075,,,,,
2,09/17/22 08:31:57 PM,,Logged,,,,
3,09/17/22 10:31:20 PM,21.951,,,,,
4,09/18/22 12:31:20 AM,21.091,,,,,
5,09/18/22 02:31:20 AM,20.615,,,,,
6,09/18/22 04:31:20 AM,20.043,,,,,
7,09/18/22 06:31:20 AM,19.377,,,,,
8,09/18/22 08:31:20 AM,17.379,,,,,
9,09/18/22 10:31:20 AM,16.903,,,,,
10,09/18/22 12:31:20 PM,22.812,,,,,
11,09/18/22 02:31:20 PM,24.931,,,,,
12,09/18/22 04:31:20 PM,23.196,,,,,
13,09/18/22 06:31:20 PM,17.950,,,,,
14,09/18/22 08:31:20 PM,13.558,,,,,
15,09/18/22 10:31:20 PM,11.139,,,,,
16,09/19/22 12:31:20 AM,9.866,,,,,
17,09/19/22 02:31:20 AM,9.176,,,,,
18,09/19/22 04:31:20 AM,8.581,,,,,
19,09/19/22 06:31:20 AM,7.882,,,,,
20,09/19/22 08:31:20 AM,10.651,,,,,
21,09/19/22 10:31:20 AM,17.950,,,,,
22,09/19/22 12:31:20 PM,22.717,,,,,
23,09/19/22 02:31:20 PM,25.416,,,,,
24,09/19/22 04:31:20 PM,24.835,,,,,
25,09/19/22 06:31:20 PM,19.567,,,,,
26,09/19/22 08:31:20 PM,14.421,,,,,
27,09/19/22 10:31:20 PM,12.304,,,,,
28,09/20/22 12:31:20 AM,11.041,,,,,
29,09/20/22 02:31:20 AM,10.161,,,,,
30,09/20/22 04:31:20 AM,9.275,,,,,
31,09/20/22 06:31:20 AM,8.382,,,,,
32,09/20/22 08:31:20 AM,11.236,,,,,
33,09/20/22 10:31:20 AM,20.043,,,,,
34,09/20/22 12:31:20 PM,24.738,,,,,
35,09/20/22 02:31:20 PM,26.390,,,,,
36,09/20/22 04:31:20 PM,20.996,,,,,
37,09/20/22 06:31:20 PM,17.760,,,,,
38,09/20/22 08:31:20 PM,15.091,,,,,
39,09/20/22 10:31:20 PM,13.654,,,,,
40,09/21/22 12:31:20 AM,12.207,,,,,
41,09/21/22 02:31:20 AM,11.431,,,,,
42,09/21/22 04:31:20 AM,10.553,,,,,
43,09/21/22 06:31:20 AM,9.571,,,,,
44,09/21/22 08:31:20 AM,11.041,,,,,
45,09/21/22 10:31:20 AM,14.804,,,,,
46,09/21/22 12:31:20 PM,14.804,,,,,
47,09/21/22 02:31:20 PM,12.594,,,,,
48,09/21/22 04:31:20 PM,12.401,,,,,
49,09/21/22 06:31:20 PM,11.041,,,,,
50,09/21/22 08:31:20 PM,9.965,,,,,
51,09/21/22 10:31:20 PM,9.373,,,,,
52,09/22/22 12:31:20 AM,8.978,,,,,
53,09/22/22 02:31:20 AM,8.581,,,,,
54,09/22/22 04:31:20 AM,7.782,,,,,
55,09/22/22 06:31:20 AM,7.280,,,,,
56,09/22/22 08:31:20 AM,9.472,,,,,
57,09/22/22 10:31:20 AM,9.768,,,,,
58,09/22/22 12:31:20 PM,11.139,,,,,
59,09/22/22 02:31:20 PM,12.787,,,,,
60,09/22/22 04:31:20 PM,14.517,,,,,
61,09/22/22 06:31:20 PM,10.455,,,,,
62,09/22/22 08:31:20 PM,8.182,,,,,
63,09/22/22 10:31:20 PM,7.079,,,,,
64,09/23/22 12:31:20 AM,6.268,,,,,
65,09/23/22 02:31:20 AM,5.244,,,,,
66,09/23/22 04:31:20 AM,4.623,,,,,
67,09/23/22 06:31:20 AM,3.998,,,,,
68,09/23/22 08:31:20 AM,4.831,,,,,
69,09/23/22 10:31:20 AM,7.782,,,,,
70,09/23/22 12:31:20 PM,11.236,,,,,
71,09/23/22 02:31:20 PM,17.570,,,,,
72,09/23/22 04:31:20 PM,16.523,,,,,
73,09/23/22 06:31:20 PM,12.497,,,,,
74,09/23/22 08:31:20 PM,8.879,,,,,
75,09/23/22 10:31:20 PM,6.978,,,,,
76,09/24/22 12:31:20 AM,5.655,,,,,
77,09/24/22 02:31:20 AM,5.037,,,,,
78,09/24/22 04:31:20 AM,4.311,,,,,
79,09/24/22 06:31:20 AM,3.788,,,,,
80,09/24/22 08:31:20 AM,5.655,,,,,
81,09/24/22 10:31:20 AM,12.497,,,,,
82,09/24/22 12:31:20 PM,18.901,,,,,
83,09/24/22 02:31:20 PM,21.951,,,,,
84,09/24/22 04:31:20 PM,20.901,,,,,
85,09/24/22 06:31:20 PM,16.237,,,,,
86,09/24/22 08:31:20 PM,11.334,,,,,
87,09/24/22 10:31:20 PM,9.077,,,,,
88,09/25/22 12:31:20 AM,7.481,,,,,
89,09/25/22 02:31:20 AM,5.860,,,,,
90,09/25/22 04:31:20 AM,4.934,,,,,
91,09/25/22 06:31:20 AM,3.998,,,,,
92,09/25/22 08:31:20 AM,6.674,,,,,
93,09/25/22 10:31:20 AM,15.569,,,,,
94,09/25/22 12:31:20 PM,21.378,,,,,
95,09/25/22 02:31:20 PM,23.581,,,,,
96,09/25/22 04:31:20 PM,21.855,,,,,
97,09/25/22 06:31:20 PM,16.999,,,,,
98,09/25/22 08:31:20 PM,12.304,,,,,
99,09/25/22 10:31:20 PM,9.866,,,,,
100,09/26/22 12:31:20 AM,8.282,,,,,
101,09/26/22 02:31:20 AM,7.481,,,,,
102,09/26/22 04:31:20 AM,6.674,,,,,
103,09/26/22 06:31:20 AM,5.860,,,,,
104,09/26/22 08:31:20 AM,8.382,,,,,
105,09/26/22 10:31:20 AM,17.094,,,,,
106,09/26/22 12:31:20 PM,22.717,,,,,
107,09/26/22 02:31:20 PM,25.028,,,,,
108,09/26/22 04:31:20 PM,23.388,,,,,
109,09/26/22 06:31:20 PM,18.236,,,,,
110,09/26/22 08:31:20 PM,13.846,,,,,
111,09/26/22 10:31:20 PM,11.236,,,,,
