"Plot Title: 20848135"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20848135, SEN S/N: 20848135)","Coupler Detached (LGR S/N: 20848135)","Coupler Attached (LGR S/N: 20848135)","Host Connected (LGR S/N: 20848135)","Stopped (LGR S/N: 20848135)","End Of File (LGR S/N: 20848135)"
1,09/05/23 02:06:22 PM,24.545,,,,,
2,09/05/23 02:06:33 PM,,Logged,,,,
3,09/05/23 04:06:22 PM,16.618,,,,,
4,09/05/23 06:06:22 PM,13.846,,,,,
5,09/05/23 08:06:22 PM,10.259,,,,,
6,09/05/23 10:06:22 PM,8.182,,,,,
7,09/06/23 12:06:22 AM,6.775,,,,,
8,09/06/23 02:06:22 AM,5.962,,,,,
9,09/06/23 04:06:22 AM,5.450,,,,,
10,09/06/23 06:06:22 AM,5.037,,,,,
11,09/06/23 08:06:22 AM,5.450,,,,,
12,09/06/23 10:06:22 AM,8.779,,,,,
13,09/06/23 12:06:22 PM,11.722,,,,,
14,09/06/23 02:06:22 PM,15.378,,,,,
15,09/06/23 04:06:22 PM,16.618,,,,,
16,09/06/23 06:06:22 PM,14.613,,,,,
17,09/06/23 08:06:22 PM,11.528,,,,,
18,09/06/23 10:06:22 PM,9.373,,,,,
19,09/07/23 12:06:22 AM,7.983,,,,,
20,09/07/23 02:06:22 AM,7.079,,,,,
21,09/07/23 04:06:22 AM,6.471,,,,,
22,09/07/23 06:06:22 AM,5.962,,,,,
23,09/07/23 08:06:22 AM,6.166,,,,,
24,09/07/23 10:06:22 AM,8.680,,,,,
25,09/07/23 12:06:22 PM,11.431,,,,,
26,09/07/23 02:06:22 PM,14.134,,,,,
27,09/07/23 04:06:22 PM,15.091,,,,,
28,09/07/23 06:06:22 PM,13.846,,,,,
29,09/07/23 08:06:22 PM,10.944,,,,,
30,09/07/23 10:06:22 PM,8.779,,,,,
31,09/08/23 12:06:22 AM,7.481,,,,,
32,09/08/23 02:06:22 AM,6.471,,,,,
33,09/08/23 04:06:22 AM,5.757,,,,,
34,09/08/23 06:06:22 AM,5.141,,,,,
35,09/08/23 08:06:22 AM,5.757,,,,,
36,09/08/23 10:06:22 AM,9.965,,,,,
37,09/08/23 12:06:22 PM,14.230,,,,,
38,09/08/23 02:06:22 PM,16.427,,,,,
39,09/08/23 04:06:22 PM,16.713,,,,,
40,09/08/23 06:06:22 PM,14.709,,,,,
41,09/08/23 08:06:22 PM,11.236,,,,,
42,09/08/23 10:06:22 PM,8.978,,,,,
43,09/09/23 12:06:22 AM,7.381,,,,,
44,09/09/23 02:06:22 AM,6.166,,,,,
45,09/09/23 04:06:22 AM,5.450,,,,,
46,09/09/23 06:06:22 AM,4.934,,,,,
47,09/09/23 08:06:22 AM,5.552,,,,,
48,09/09/23 10:06:22 AM,10.161,,,,,
49,09/09/23 12:06:22 PM,14.804,,,,,
50,09/09/23 02:06:22 PM,15.569,,,,,
51,09/09/23 04:06:22 PM,15.569,,,,,
52,09/09/23 06:06:22 PM,13.173,,,,,
53,09/09/23 08:06:22 PM,10.944,,,,,
54,09/09/23 10:06:22 PM,9.373,,,,,
55,09/10/23 12:06:22 AM,8.282,,,,,
56,09/10/23 02:06:22 AM,7.280,,,,,
57,09/10/23 04:06:22 AM,6.674,,,,,
58,09/10/23 06:06:22 AM,5.757,,,,,
59,09/10/23 08:06:22 AM,6.370,,,,,
60,09/10/23 10:06:22 AM,8.282,,,,,
61,09/10/23 12:06:22 PM,9.866,,,,,
62,09/10/23 02:06:22 PM,10.063,,,,,
63,09/10/23 04:06:22 PM,10.063,,,,,
64,09/10/23 06:06:22 PM,9.077,,,,,
65,09/10/23 08:06:22 PM,7.381,,,,,
66,09/10/23 10:06:22 PM,6.268,,,,,
67,09/11/23 12:06:22 AM,5.962,,,,,
68,09/11/23 02:06:22 AM,5.450,,,,,
69,09/11/23 04:06:22 AM,5.037,,,,,
70,09/11/23 06:06:22 AM,4.519,,,,,
71,09/11/23 08:06:22 AM,5.244,,,,,
72,09/11/23 10:06:22 AM,7.481,,,,,
73,09/11/23 12:06:22 PM,10.553,,,,,
74,09/11/23 02:06:22 PM,8.978,,,,,
75,09/11/23 04:06:22 PM,10.259,,,,,
76,09/11/23 06:06:22 PM,9.373,,,,,
77,09/11/23 08:06:22 PM,7.481,,,,,
78,09/11/23 10:06:22 PM,6.166,,,,,
79,09/12/23 12:06:22 AM,4.519,,,,,
80,09/12/23 02:06:22 AM,3.578,,,,,
81,09/12/23 04:06:22 AM,2.837,,,,,
82,09/12/23 06:06:22 AM,2.303,,,,,
83,09/12/23 08:06:22 AM,2.624,,,,,
84,09/12/23 10:06:22 AM,10.063,,,,,
85,09/12/23 12:06:22 PM,13.558,,,,,
86,09/12/23 02:06:22 PM,13.942,,,,,
87,09/12/23 04:06:22 PM,11.916,,,,,
88,09/12/23 06:06:22 PM,10.553,,,,,
89,09/12/23 08:06:22 PM,7.481,,,,,
90,09/12/23 10:06:22 PM,5.655,,,,,
91,09/13/23 12:06:22 AM,4.623,,,,,
92,09/13/23 02:06:22 AM,3.788,,,,,
93,09/13/23 04:06:22 AM,3.049,,,,,
94,09/13/23 06:06:22 AM,2.410,,,,,
95,09/13/23 08:06:22 AM,3.049,,,,,
96,09/13/23 10:06:22 AM,8.382,,,,,
97,09/13/23 12:06:22 PM,9.571,,,,,
98,09/13/23 02:06:22 PM,10.651,,,,,
99,09/13/23 04:06:22 PM,12.594,,,,,
100,09/13/23 06:06:22 PM,10.455,,,,,
101,09/13/23 08:06:22 PM,6.978,,,,,
102,09/13/23 10:06:22 PM,5.450,,,,,
103,09/14/23 12:06:22 AM,4.207,,,,,
104,09/14/23 02:06:22 AM,3.578,,,,,
105,09/14/23 04:06:22 AM,2.837,,,,,
106,09/14/23 06:06:22 AM,3.049,,,,,
107,09/14/23 08:06:22 AM,3.683,,,,,
108,09/14/23 10:06:22 AM,6.471,,,,,
109,09/14/23 12:06:22 PM,9.472,,,,,
110,09/14/23 02:06:22 PM,5.037,,,,,
111,09/14/23 04:06:22 PM,6.268,,,,,
112,09/14/23 06:06:22 PM,5.962,,,,,
113,09/14/23 08:06:22 PM,5.037,,,,,
114,09/14/23 10:06:22 PM,4.727,,,,,
115,09/15/23 12:06:22 AM,4.519,,,,,
116,09/15/23 02:06:22 AM,4.207,,,,,
117,09/15/23 04:06:22 AM,3.893,,,,,
118,09/15/23 06:06:22 AM,3.578,,,,,
119,09/15/23 08:06:22 AM,3.578,,,,,
120,09/15/23 10:06:22 AM,3.893,,,,,
121,09/15/23 12:06:22 PM,5.757,,,,,
122,09/15/23 02:06:22 PM,5.757,,,,,
123,09/15/23 04:06:22 PM,7.983,,,,,
124,09/15/23 06:06:22 PM,6.674,,,,,
125,09/15/23 08:06:22 PM,4.102,,,,,
126,09/15/23 10:06:22 PM,2.517,,,,,
127,09/16/23 12:06:22 AM,1.656,,,,,
128,09/16/23 02:06:22 AM,1.003,,,,,
129,09/16/23 04:06:22 AM,0.563,,,,,
130,09/16/23 06:06:22 AM,0.121,,,,,
131,09/16/23 08:06:22 AM,0.453,,,,,
132,09/16/23 10:06:22 AM,3.472,,,,,
133,09/16/23 12:06:22 PM,9.275,,,,,
134,09/16/23 02:06:22 PM,12.883,,,,,
135,09/16/23 04:06:22 PM,13.076,,,,,
136,09/16/23 06:06:22 PM,10.455,,,,,
137,09/16/23 08:06:22 PM,7.079,,,,,
138,09/16/23 10:06:22 PM,4.934,,,,,
139,09/17/23 12:06:22 AM,3.472,,,,,
140,09/17/23 02:06:22 AM,2.517,,,,,
141,09/17/23 04:06:22 AM,2.088,,,,,
142,09/17/23 06:06:22 AM,1.656,,,,,
143,09/17/23 08:06:22 AM,1.872,,,,,
144,09/17/23 10:06:22 AM,7.280,,,,,
145,09/17/23 12:06:22 PM,10.553,,,,,
146,09/17/23 02:06:22 PM,12.980,,,,,
147,09/17/23 04:06:22 PM,13.173,,,,,
148,09/17/23 06:06:22 PM,10.651,,,,,
149,09/17/23 08:06:22 PM,7.381,,,,,
150,09/17/23 10:06:22 PM,6.064,,,,,
151,09/18/23 12:06:22 AM,4.934,,,,,
152,09/18/23 02:06:22 AM,3.998,,,,,
153,09/18/23 04:06:22 AM,3.049,,,,,
154,09/18/23 06:06:22 AM,2.410,,,,,
155,09/18/23 08:06:22 AM,4.207,,,,,
156,09/18/23 10:06:22 AM,9.275,,,,,
157,09/18/23 12:06:22 PM,9.768,,,,,
158,09/18/23 02:06:22 PM,10.063,,,,,
159,09/18/23 04:06:22 PM,11.722,,,,,
160,09/18/23 06:06:22 PM,8.082,,,,,
161,09/18/23 08:06:22 PM,6.268,,,,,
162,09/18/23 10:06:22 PM,5.037,,,,,
163,09/19/23 12:06:22 AM,4.311,,,,,
164,09/19/23 02:06:22 AM,3.683,,,,,
165,09/19/23 04:06:22 AM,3.578,,,,,
166,09/19/23 06:06:22 AM,2.730,,,,,
167,09/19/23 08:06:22 AM,2.943,,,,,
168,09/19/23 10:06:22 AM,6.978,,,,,
169,09/19/23 12:06:22 PM,10.357,,,,,
170,09/19/23 02:06:22 PM,12.980,,,,,
171,09/19/23 04:06:22 PM,12.207,,,,,
172,09/19/23 06:06:22 PM,9.373,,,,,
173,09/19/23 08:06:22 PM,6.471,,,,,
174,09/19/23 10:06:22 PM,5.244,,,,,
175,09/20/23 12:06:22 AM,4.102,,,,,
176,09/20/23 02:06:22 AM,3.155,,,,,
177,09/20/23 04:06:22 AM,3.261,,,,,
178,09/20/23 06:06:22 AM,2.837,,,,,
179,09/20/23 08:06:22 AM,3.155,,,,,
180,09/20/23 10:06:22 AM,7.782,,,,,
181,09/20/23 12:06:22 PM,12.110,,,,,
182,09/20/23 02:06:22 PM,14.038,,,,,
183,09/20/23 04:06:22 PM,11.236,,,,,
184,09/20/23 06:06:22 PM,9.176,,,,,
185,09/20/23 08:06:22 PM,6.471,,,,,
186,09/20/23 10:06:22 PM,5.347,,,,,
187,09/21/23 12:06:22 AM,4.623,,,,,
188,09/21/23 02:06:22 AM,3.683,,,,,
189,09/21/23 04:06:22 AM,2.624,,,,,
190,09/21/23 06:06:22 AM,2.088,,,,,
191,09/21/23 08:06:22 AM,2.303,,,,,
192,09/21/23 10:06:22 AM,6.978,,,,,
193,09/21/23 12:06:22 PM,11.139,,,,,
194,09/21/23 02:06:22 PM,11.431,,,,,
195,09/21/23 04:06:22 PM,11.041,,,,,
196,09/21/23 06:06:22 PM,9.373,,,,,
197,09/21/23 08:06:22 PM,6.471,,,,,
198,09/21/23 10:06:22 PM,4.831,,,,,
199,09/22/23 12:06:22 AM,3.893,,,,,
200,09/22/23 02:06:22 AM,2.837,,,,,
201,09/22/23 04:06:22 AM,2.303,,,,,
202,09/22/23 06:06:22 AM,1.656,,,,,
203,09/22/23 08:06:22 AM,1.548,,,,,
204,09/22/23 10:06:22 AM,6.268,,,,,
205,09/22/23 12:06:22 PM,10.455,,,,,
206,09/22/23 02:06:22 PM,12.497,,,,,
207,09/22/23 04:06:22 PM,12.690,,,,,
208,09/22/23 06:06:22 PM,9.571,,,,,
209,09/22/23 08:06:22 PM,6.064,,,,,
210,09/22/23 10:06:22 PM,4.311,,,,,
211,09/23/23 12:06:22 AM,3.261,,,,,
212,09/23/23 02:06:22 AM,2.195,,,,,
213,09/23/23 04:06:22 AM,1.221,,,,,
214,09/23/23 06:06:22 AM,0.343,,,,,
215,09/23/23 08:06:22 AM,0.232,,,,,
216,09/23/23 10:06:22 AM,1.764,,,,,
217,09/23/23 12:06:22 PM,3.049,,,,,
218,09/23/23 02:06:22 PM,5.655,,,,,
219,09/23/23 04:06:22 PM,6.573,,,,,
220,09/23/23 06:06:22 PM,6.166,,,,,
221,09/23/23 08:06:22 PM,3.261,,,,,
222,09/23/23 10:06:22 PM,1.872,,,,,
223,09/24/23 12:06:22 AM,1.221,,,,,
224,09/24/23 02:06:22 AM,0.674,,,,,
225,09/24/23 04:06:22 AM,0.343,,,,,
226,09/24/23 06:06:22 AM,0.121,,,,,
227,09/24/23 08:06:22 AM,0.453,,,,,
