"Plot Title: Experiment"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406027, SEN S/N: 20406027)","Coupler Detached (LGR S/N: 20406027)","Coupler Attached (LGR S/N: 20406027)","Host Connected (LGR S/N: 20406027)","Stopped (LGR S/N: 20406027)","End Of File (LGR S/N: 20406027)"
1,09/05/23 11:12:06 AM,25.319,,,,,
2,09/05/23 11:12:13 AM,,Logged,,,,
3,09/05/23 11:12:21 AM,,,Logged,,,
4,09/05/23 11:12:42 AM,,Logged,,,,
5,09/05/23 11:12:43 AM,,,Logged,,,
6,09/05/23 11:12:55 AM,,Logged,,,,
7,09/05/23 11:13:14 AM,,,Logged,,,
8,09/05/23 11:13:26 AM,,,,Logged,,
9,09/05/23 11:13:29 AM,,Logged,,,,
10,09/05/23 11:13:30 AM,,,Logged,,,
11,09/05/23 11:13:46 AM,,Logged,,,,
12,09/05/23 03:12:06 PM,15.091,,,,,
13,09/05/23 07:12:06 PM,11.625,,,,,
14,09/05/23 11:12:06 PM,7.481,,,,,
15,09/06/23 03:12:06 AM,5.962,,,,,
16,09/06/23 07:12:06 AM,5.141,,,,,
17,09/06/23 11:12:06 AM,8.481,,,,,
18,09/06/23 03:12:06 PM,16.808,,,,,
19,09/06/23 07:12:06 PM,14.134,,,,,
20,09/06/23 11:12:06 PM,8.680,,,,,
21,09/07/23 03:12:06 AM,6.674,,,,,
22,09/07/23 07:12:06 AM,5.655,,,,,
23,09/07/23 11:12:06 AM,8.182,,,,,
24,09/07/23 03:12:06 PM,14.325,,,,,
25,09/07/23 07:12:06 PM,13.558,,,,,
26,09/07/23 11:12:06 PM,7.882,,,,,
27,09/08/23 03:12:06 AM,5.757,,,,,
28,09/08/23 07:12:06 AM,4.311,,,,,
29,09/08/23 11:12:06 AM,10.063,,,,,
30,09/08/23 03:12:06 PM,16.523,,,,,
31,09/08/23 07:12:06 PM,13.654,,,,,
32,09/08/23 11:12:06 PM,8.282,,,,,
33,09/09/23 03:12:06 AM,5.860,,,,,
34,09/09/23 07:12:06 AM,4.727,,,,,
35,09/09/23 11:12:06 AM,10.455,,,,,
36,09/09/23 03:12:06 PM,16.332,,,,,
37,09/09/23 07:12:06 PM,12.110,,,,,
38,09/09/23 11:12:06 PM,8.978,,,,,
39,09/10/23 03:12:06 AM,6.978,,,,,
40,09/10/23 07:12:06 AM,5.655,,,,,
41,09/10/23 11:12:06 AM,7.882,,,,,
42,09/10/23 03:12:06 PM,10.161,,,,,
43,09/10/23 07:12:06 PM,8.382,,,,,
44,09/10/23 11:12:06 PM,6.471,,,,,
45,09/11/23 03:12:06 AM,5.450,,,,,
46,09/11/23 07:12:06 AM,4.727,,,,,
47,09/11/23 11:12:06 AM,8.082,,,,,
48,09/11/23 03:12:06 PM,7.682,,,,,
49,09/11/23 07:12:06 PM,8.978,,,,,
50,09/11/23 11:12:06 PM,6.064,,,,,
51,09/12/23 03:12:06 AM,3.683,,,,,
52,09/12/23 07:12:06 AM,2.517,,,,,
53,09/12/23 11:12:06 AM,9.669,,,,,
54,09/12/23 03:12:06 PM,12.883,,,,,
