"Plot Title: 20406013"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406013, SEN S/N: 20406013)","Coupler Detached (LGR S/N: 20406013)","Coupler Attached (LGR S/N: 20406013)","Host Connected (LGR S/N: 20406013)","Stopped (LGR S/N: 20406013)","End Of File (LGR S/N: 20406013)"
1,09/05/23 02:34:53 PM,27.567,,,,,
2,09/05/23 02:35:04 PM,,Logged,,,,
3,09/05/23 04:34:53 PM,17.189,,,,,
4,09/05/23 06:34:53 PM,14.996,,,,,
5,09/05/23 08:34:53 PM,11.431,,,,,
6,09/05/23 10:34:53 PM,9.866,,,,,
7,09/06/23 12:34:53 AM,8.779,,,,,
8,09/06/23 02:34:53 AM,7.983,,,,,
9,09/06/23 04:34:53 AM,7.481,,,,,
10,09/06/23 06:34:53 AM,6.978,,,,,
11,09/06/23 08:34:53 AM,7.882,,,,,
12,09/06/23 10:34:53 AM,11.431,,,,,
13,09/06/23 12:34:53 PM,14.996,,,,,
14,09/06/23 02:34:53 PM,18.426,,,,,
15,09/06/23 04:34:53 PM,19.092,,,,,
16,09/06/23 06:34:53 PM,15.951,,,,,
17,09/06/23 08:34:53 PM,12.497,,,,,
18,09/06/23 10:34:53 PM,10.748,,,,,
19,09/07/23 12:34:53 AM,9.571,,,,,
20,09/07/23 02:34:53 AM,8.581,,,,,
21,09/07/23 04:34:53 AM,7.983,,,,,
22,09/07/23 06:34:53 AM,7.481,,,,,
23,09/07/23 08:34:53 AM,8.382,,,,,
24,09/07/23 10:34:53 AM,10.259,,,,,
25,09/07/23 12:34:53 PM,13.365,,,,,
26,09/07/23 02:34:53 PM,16.332,,,,,
27,09/07/23 04:34:53 PM,16.999,,,,,
28,09/07/23 06:34:53 PM,15.091,,,,,
29,09/07/23 08:34:53 PM,11.722,,,,,
30,09/07/23 10:34:53 PM,10.161,,,,,
31,09/08/23 12:34:53 AM,9.176,,,,,
32,09/08/23 02:34:53 AM,8.282,,,,,
33,09/08/23 04:34:53 AM,7.582,,,,,
34,09/08/23 06:34:53 AM,6.978,,,,,
35,09/08/23 08:34:53 AM,8.779,,,,,
36,09/08/23 10:34:53 AM,12.497,,,,,
37,09/08/23 12:34:53 PM,16.713,,,,,
38,09/08/23 02:34:53 PM,19.092,,,,,
39,09/08/23 04:34:53 PM,18.806,,,,,
40,09/08/23 06:34:53 PM,15.951,,,,,
41,09/08/23 08:34:53 PM,12.497,,,,,
42,09/08/23 10:34:53 PM,10.651,,,,,
43,09/09/23 12:34:53 AM,9.275,,,,,
44,09/09/23 02:34:53 AM,8.182,,,,,
45,09/09/23 04:34:53 AM,7.381,,,,,
46,09/09/23 06:34:53 AM,6.877,,,,,
47,09/09/23 08:34:53 AM,8.779,,,,,
48,09/09/23 10:34:53 AM,12.497,,,,,
49,09/09/23 12:34:53 PM,16.427,,,,,
50,09/09/23 02:34:53 PM,16.999,,,,,
51,09/09/23 04:34:53 PM,17.094,,,,,
52,09/09/23 06:34:53 PM,14.325,,,,,
53,09/09/23 08:34:53 PM,12.207,,,,,
54,09/09/23 10:34:53 PM,11.139,,,,,
55,09/10/23 12:34:53 AM,10.063,,,,,
56,09/10/23 02:34:53 AM,9.176,,,,,
57,09/10/23 04:34:53 AM,8.779,,,,,
58,09/10/23 06:34:53 AM,7.983,,,,,
59,09/10/23 08:34:53 AM,9.373,,,,,
60,09/10/23 10:34:53 AM,9.965,,,,,
61,09/10/23 12:34:53 PM,11.139,,,,,
62,09/10/23 02:34:53 PM,10.748,,,,,
63,09/10/23 04:34:53 PM,10.455,,,,,
64,09/10/23 06:34:53 PM,9.768,,,,,
65,09/10/23 08:34:53 PM,8.382,,,,,
66,09/10/23 10:34:53 PM,7.782,,,,,
67,09/11/23 12:34:53 AM,7.481,,,,,
68,09/11/23 02:34:53 AM,6.877,,,,,
69,09/11/23 04:34:53 AM,6.674,,,,,
70,09/11/23 06:34:53 AM,6.370,,,,,
71,09/11/23 08:34:53 AM,6.978,,,,,
72,09/11/23 10:34:53 AM,8.978,,,,,
73,09/11/23 12:34:53 PM,10.161,,,,,
74,09/11/23 02:34:53 PM,9.275,,,,,
75,09/11/23 04:34:53 PM,11.139,,,,,
76,09/11/23 06:34:53 PM,9.768,,,,,
77,09/11/23 08:34:53 PM,8.481,,,,,
78,09/11/23 10:34:53 PM,7.280,,,,,
79,09/12/23 12:34:53 AM,5.962,,,,,
80,09/12/23 02:34:53 AM,5.244,,,,,
81,09/12/23 04:34:53 AM,4.519,,,,,
82,09/12/23 06:34:53 AM,4.102,,,,,
83,09/12/23 08:34:53 AM,5.552,,,,,
84,09/12/23 10:34:53 AM,10.357,,,,,
85,09/12/23 12:34:53 PM,15.760,,,,,
86,09/12/23 02:34:53 PM,16.046,,,,,
87,09/12/23 04:34:53 PM,14.804,,,,,
88,09/12/23 06:34:53 PM,12.690,,,,,
89,09/12/23 08:34:53 PM,9.472,,,,,
90,09/12/23 10:34:53 PM,7.983,,,,,
91,09/13/23 12:34:53 AM,6.978,,,,,
92,09/13/23 02:34:53 AM,6.166,,,,,
93,09/13/23 04:34:53 AM,5.347,,,,,
94,09/13/23 06:34:53 AM,4.727,,,,,
95,09/13/23 08:34:53 AM,6.370,,,,,
96,09/13/23 10:34:53 AM,10.063,,,,,
97,09/13/23 12:34:53 PM,11.528,,,,,
98,09/13/23 02:34:53 PM,12.013,,,,,
99,09/13/23 04:34:53 PM,14.134,,,,,
100,09/13/23 06:34:53 PM,11.528,,,,,
101,09/13/23 08:34:53 PM,8.680,,,,,
102,09/13/23 10:34:53 PM,7.481,,,,,
103,09/14/23 12:34:53 AM,6.370,,,,,
104,09/14/23 02:34:53 AM,5.757,,,,,
105,09/14/23 04:34:53 AM,5.037,,,,,
106,09/14/23 06:34:53 AM,5.141,,,,,
107,09/14/23 08:34:53 AM,5.757,,,,,
108,09/14/23 10:34:53 AM,7.882,,,,,
109,09/14/23 12:34:53 PM,9.866,,,,,
110,09/14/23 02:34:53 PM,4.207,,,,,
111,09/14/23 04:34:53 PM,7.079,,,,,
112,09/14/23 06:34:53 PM,6.775,,,,,
113,09/14/23 08:34:53 PM,6.166,,,,,
114,09/14/23 10:34:53 PM,5.962,,,,,
115,09/15/23 12:34:53 AM,5.860,,,,,
116,09/15/23 02:34:53 AM,5.655,,,,,
117,09/15/23 04:34:53 AM,5.244,,,,,
118,09/15/23 06:34:53 AM,5.141,,,,,
119,09/15/23 08:34:53 AM,5.037,,,,,
120,09/15/23 10:34:53 AM,5.347,,,,,
121,09/15/23 12:34:53 PM,6.674,,,,,
122,09/15/23 02:34:53 PM,6.775,,,,,
123,09/15/23 04:34:53 PM,8.481,,,,,
124,09/15/23 06:34:53 PM,7.280,,,,,
125,09/15/23 08:34:53 PM,5.141,,,,,
126,09/15/23 10:34:53 PM,3.998,,,,,
127,09/16/23 12:34:53 AM,3.049,,,,,
128,09/16/23 02:34:53 AM,2.517,,,,,
129,09/16/23 04:34:53 AM,2.088,,,,,
130,09/16/23 06:34:53 AM,1.764,,,,,
131,09/16/23 08:34:53 AM,1.764,,,,,
132,09/16/23 10:34:53 AM,6.573,,,,,
133,09/16/23 12:34:53 PM,12.787,,,,,
134,09/16/23 02:34:53 PM,15.664,,,,,
135,09/16/23 04:34:53 PM,15.569,,,,,
136,09/16/23 06:34:53 PM,12.497,,,,,
137,09/16/23 08:34:53 PM,8.779,,,,,
138,09/16/23 10:34:53 PM,6.978,,,,,
139,09/17/23 12:34:53 AM,5.655,,,,,
