"Plot Title: 20406037"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406037, SEN S/N: 20406037)","Coupler Detached (LGR S/N: 20406037)","Bad Battery (LGR S/N: 20406037)","Good Battery (LGR S/N: 20406037)","Coupler Attached (LGR S/N: 20406037)","Host Connected (LGR S/N: 20406037)","Stopped (LGR S/N: 20406037)","End Of File (LGR S/N: 20406037)"
1,09/05/23 11:19:29 AM,25.125,,,,,,,
2,09/05/23 11:19:41 AM,,Logged,,,,,,
3,09/05/23 01:19:29 PM,12.207,,,,,,,
4,09/05/23 03:19:29 PM,14.613,,,,,,,
5,09/05/23 05:19:29 PM,14.038,,,,,,,
6,09/05/23 07:19:29 PM,12.013,,,,,,,
7,09/05/23 09:19:29 PM,9.965,,,,,,,
8,09/05/23 11:19:29 PM,8.581,,,,,,,
9,09/06/23 01:19:29 AM,7.582,,,,,,,
10,09/06/23 03:19:29 AM,6.978,,,,,,,
11,09/06/23 05:19:29 AM,6.471,,,,,,,
12,09/06/23 07:19:29 AM,6.166,,,,,,,
13,09/06/23 09:19:29 AM,7.179,,,,,,,
14,09/06/23 11:19:29 AM,9.669,,,,,,,
15,09/06/23 01:19:29 PM,13.365,,,,,,,
16,09/06/23 03:19:29 PM,16.427,,,,,,,
17,09/06/23 05:19:29 PM,16.523,,,,,,,
18,09/06/23 07:19:29 PM,14.134,,,,,,,
19,09/06/23 09:19:29 PM,11.722,,,,,,,
20,09/06/23 11:19:29 PM,10.063,,,,,,,
21,09/07/23 01:19:29 AM,8.978,,,,,,,
22,09/07/23 03:19:29 AM,7.882,,,,,,,
23,09/07/23 05:19:29 AM,7.481,,,,,,,
24,09/07/23 07:19:29 AM,6.978,,,,,,,
25,09/07/23 09:19:29 AM,7.682,,,,,,,
26,09/07/23 11:19:29 AM,9.669,,,,,,,
27,09/07/23 01:19:29 PM,12.401,,,,,,,
28,09/07/23 03:19:29 PM,14.804,,,,,,,
29,09/07/23 05:19:29 PM,15.187,,,,,,,
30,09/07/23 07:19:29 PM,13.654,,,,,,,
31,09/07/23 09:19:29 PM,11.139,,,,,,,
32,09/07/23 11:19:29 PM,9.571,,,,,,,
33,09/08/23 01:19:29 AM,8.481,,,,,,,
34,09/08/23 03:19:29 AM,7.582,,,,,,,
35,09/08/23 05:19:29 AM,6.877,,,,,,,
36,09/08/23 07:19:29 AM,6.166,,,,,,,
37,09/08/23 09:19:29 AM,7.682,,,,,,,
38,09/08/23 11:19:29 AM,11.139,,,,,,,
39,09/08/23 01:19:29 PM,14.709,,,,,,,
40,09/08/23 03:19:29 PM,16.999,,,,,,,
41,09/08/23 05:19:29 PM,16.903,,,,,,,
42,09/08/23 07:19:29 PM,14.613,,,,,,,
43,09/08/23 09:19:29 PM,12.013,,,,,,,
44,09/08/23 11:19:29 PM,10.357,,,,,,,
45,09/09/23 01:19:29 AM,8.879,,,,,,,
46,09/09/23 03:19:29 AM,7.882,,,,,,,
47,09/09/23 05:19:29 AM,7.079,,,,,,,
48,09/09/23 07:19:29 AM,6.674,,,,,,,
49,09/09/23 09:19:29 AM,8.082,,,,,,,
50,09/09/23 11:19:29 AM,11.625,,,,,,,
51,09/09/23 01:19:29 PM,14.421,,,,,,,
52,09/09/23 03:19:29 PM,16.618,,,,,,,
53,09/09/23 05:19:29 PM,15.569,,,,,,,
54,09/09/23 07:19:29 PM,13.558,,,,,,,
55,09/09/23 09:19:29 PM,11.625,,,,,,,
56,09/09/23 11:19:29 PM,10.651,,,,,,,
57,09/10/23 01:19:29 AM,9.571,,,,,,,
58,09/10/23 03:19:29 AM,8.779,,,,,,,
59,09/10/23 05:19:29 AM,8.182,,,,,,,
60,09/10/23 07:19:29 AM,7.481,,,,,,,
61,09/10/23 09:19:29 AM,8.282,,,,,,,
62,09/10/23 11:19:29 AM,9.077,,,,,,,
63,09/10/23 01:19:29 PM,10.161,,,,,,,
64,09/10/23 03:19:29 PM,10.553,,,,,,,
65,09/10/23 05:19:29 PM,9.965,,,,,,,
66,09/10/23 07:19:29 PM,8.879,,,,,,,
67,09/10/23 09:19:29 PM,7.782,,,,,,,
68,09/10/23 11:19:29 PM,7.179,,,,,,,
69,09/11/23 01:19:29 AM,6.471,,,,,,,
70,09/11/23 03:19:29 AM,6.166,,,,,,,
71,09/11/23 05:19:29 AM,5.757,,,,,,,
72,09/11/23 07:19:29 AM,5.552,,,,,,,
73,09/11/23 09:19:29 AM,6.370,,,,,,,
74,09/11/23 11:19:29 AM,7.782,,,,,,,
75,09/11/23 01:19:29 PM,7.280,,,,,,,
76,09/11/23 03:19:29 PM,7.582,,,,,,,
77,09/11/23 05:19:29 PM,9.669,,,,,,,
78,09/11/23 07:19:29 PM,8.481,,,,,,,
79,09/11/23 09:19:29 PM,7.582,,,,,,,
80,09/11/23 11:19:29 PM,6.370,,,,,,,
81,09/12/23 01:19:29 AM,5.244,,,,,,,
82,09/12/23 03:19:29 AM,4.415,,,,,,,
83,09/12/23 05:19:29 AM,3.683,,,,,,,
84,09/12/23 07:19:29 AM,3.261,,,,,,,
85,09/12/23 09:19:29 AM,4.831,,,,,,,
86,09/12/23 11:19:29 AM,9.275,,,,,,,
87,09/12/23 01:19:29 PM,12.497,,,,,,,
88,09/12/23 03:19:29 PM,12.787,,,,,,,
89,09/12/23 05:19:29 PM,12.594,,,,,,,
90,09/12/23 07:19:29 PM,10.748,,,,,,,
91,09/12/23 09:19:29 PM,8.382,,,,,,,
92,09/12/23 11:19:29 PM,6.978,,,,,,,
93,09/13/23 01:19:29 AM,5.860,,,,,,,
94,09/13/23 03:19:29 AM,5.141,,,,,,,
95,09/13/23 05:19:29 AM,4.311,,,,,,,
96,09/13/23 07:19:29 AM,3.683,,,,,,,
97,09/13/23 09:19:29 AM,5.141,,,,,,,
98,09/13/23 11:19:29 AM,8.182,,,,,,,
99,09/13/23 01:19:29 PM,9.669,,,,,,,
100,09/13/23 03:19:29 PM,9.472,,,,,,,
101,09/13/23 05:19:29 PM,11.722,,,,,,,
102,09/13/23 07:19:29 PM,9.669,,,,,,,
103,09/13/23 09:19:29 PM,7.682,,,,,,,
104,09/13/23 11:19:29 PM,6.471,,,,,,,
105,09/14/23 01:19:29 AM,5.450,,,,,,,
106,09/14/23 03:19:29 AM,4.727,,,,,,,
107,09/14/23 05:19:29 AM,4.102,,,,,,,
108,09/14/23 07:19:29 AM,4.207,,,,,,,
109,09/14/23 09:19:29 AM,4.934,,,,,,,
110,09/14/23 11:19:29 AM,6.674,,,,,,,
111,09/14/23 01:19:29 PM,7.782,,,,,,,
112,09/14/23 03:19:29 PM,4.831,,,,,,,
113,09/14/23 05:19:29 PM,5.244,,,,,,,
114,09/14/23 07:19:29 PM,5.244,,,,,,,
115,09/14/23 09:19:29 PM,4.831,,,,,,,
116,09/14/23 11:19:29 PM,4.727,,,,,,,
117,09/15/23 01:19:29 AM,4.623,,,,,,,
118,09/15/23 03:19:29 AM,4.415,,,,,,,
119,09/15/23 05:19:29 AM,3.788,,,,,,,
120,09/15/23 07:19:29 AM,3.788,,,,,,,
121,09/15/23 09:19:29 AM,3.788,,,,,,,
122,09/15/23 11:19:29 AM,4.519,,,,,,,
123,09/15/23 01:19:29 PM,5.244,,,,,,,
124,09/15/23 03:19:29 PM,6.166,,,,,,,
125,09/15/23 05:19:29 PM,6.573,,,,,,,
126,09/15/23 07:19:29 PM,5.552,,,,,,,
127,09/15/23 09:19:29 PM,3.998,,,,,,,
128,09/15/23 11:19:29 PM,2.837,,,,,,,
129,09/16/23 01:19:29 AM,2.088,,,,,,,
130,09/16/23 03:19:29 AM,1.548,,,,,,,
131,09/16/23 05:19:29 AM,1.221,,,,,,,
132,09/16/23 07:19:29 AM,1.003,,,,,,,
133,09/16/23 09:19:29 AM,1.112,,,,,,,
134,09/16/23 11:19:29 AM,5.141,,,,,,,
135,09/16/23 01:19:29 PM,10.846,,,,,,,
136,09/16/23 03:19:29 PM,13.461,,,,,,,
137,09/16/23 05:19:29 PM,13.365,,,,,,,
138,09/16/23 07:19:29 PM,10.944,,,,,,,
139,09/16/23 09:19:29 PM,8.282,,,,,,,
140,09/16/23 11:19:29 PM,6.370,,,,,,,
141,09/17/23 01:19:29 AM,5.037,,,,,,,
142,09/17/23 03:19:29 AM,3.998,,,,,,,
143,09/17/23 05:19:29 AM,3.578,,,,,,,
144,09/17/23 07:19:29 AM,3.049,,,,,,,
145,09/17/23 09:19:29 AM,4.311,,,,,,,
146,09/17/23 11:19:29 AM,7.682,,,,,,,
147,09/17/23 01:19:29 PM,10.944,,,,,,,
148,09/17/23 03:19:29 PM,13.365,,,,,,,
149,09/17/23 05:19:29 PM,13.173,,,,,,,
150,09/17/23 07:19:29 PM,10.748,,,,,,,
151,09/17/23 09:19:29 PM,8.680,,,,,,,
152,09/17/23 11:19:29 PM,7.179,,,,,,,
153,09/18/23 01:19:29 AM,6.166,,,,,,,
154,09/18/23 03:19:29 AM,5.347,,,,,,,
155,09/18/23 05:19:29 AM,4.727,,,,,,,
156,09/18/23 07:19:29 AM,4.311,,,,,,,
157,09/18/23 09:19:29 AM,6.064,,,,,,,
158,09/18/23 11:19:29 AM,8.581,,,,,,,
159,09/18/23 01:19:29 PM,8.978,,,,,,,
160,09/18/23 03:19:29 PM,10.063,,,,,,,
161,09/18/23 05:19:29 PM,9.965,,,,,,,
162,09/18/23 07:19:29 PM,7.983,,,,,,,
163,09/18/23 09:19:29 PM,6.775,,,,,,,
164,09/18/23 11:19:29 PM,5.860,,,,,,,
165,09/19/23 01:19:29 AM,5.244,,,,,,,
166,09/19/23 03:19:29 AM,4.727,,,,,,,
167,09/19/23 05:19:29 AM,4.207,,,,,,,
168,09/19/23 07:19:29 AM,3.683,,,,,,,
169,09/19/23 09:19:29 AM,4.102,,,,,,,
170,09/19/23 11:19:29 AM,7.179,,,,,,,
171,09/19/23 01:19:29 PM,10.748,,,,,,,
172,09/19/23 03:19:29 PM,12.980,,,,,,,
173,09/19/23 05:19:29 PM,11.236,,,,,,,
174,09/19/23 07:19:29 PM,9.077,,,,,,,
175,09/19/23 09:19:29 PM,7.179,,,,,,,
176,09/19/23 11:19:29 PM,6.166,,,,,,,
177,09/20/23 01:19:29 AM,5.141,,,,,,,
