"Plot Title: 20848151"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20848151, SEN S/N: 20848151)","Coupler Detached (LGR S/N: 20848151)","Coupler Attached (LGR S/N: 20848151)","Host Connected (LGR S/N: 20848151)","Stopped (LGR S/N: 20848151)","End Of File (LGR S/N: 20848151)"
1,05/29/25 03:56:38 PM,21.855,,,,,
2,05/29/25 03:56:57 PM,,Logged,,,,
3,05/29/25 05:56:38 PM,20.901,,,,,
4,05/29/25 07:56:38 PM,21.091,,,,,
5,05/29/25 09:56:38 PM,20.996,,,,,
6,05/29/25 11:56:38 PM,20.615,,,,,
7,05/30/25 01:56:38 AM,19.948,,,,,
8,05/30/25 03:56:38 AM,19.187,,,,,
9,05/30/25 05:56:38 AM,18.331,,,,,
10,05/30/25 07:56:38 AM,17.855,,,,,
11,05/30/25 09:56:38 AM,17.950,,,,,
12,05/30/25 11:56:38 AM,18.901,,,,,
13,05/30/25 01:56:38 PM,20.615,,,,,
14,05/30/25 03:56:38 PM,22.238,,,,,
15,05/30/25 05:56:38 PM,22.621,,,,,
16,05/30/25 07:56:38 PM,22.812,,,,,
17,05/30/25 09:56:38 PM,22.717,,,,,
18,05/30/25 11:56:38 PM,21.855,,,,,
19,05/31/25 01:56:38 AM,21.187,,,,,
20,05/31/25 03:56:38 AM,20.615,,,,,
21,05/31/25 05:56:38 AM,19.758,,,,,
22,05/31/25 07:56:38 AM,19.662,,,,,
23,05/31/25 09:56:38 AM,19.282,,,,,
24,05/31/25 11:56:38 AM,19.377,,,,,
25,05/31/25 01:56:38 PM,20.329,,,,,
26,05/31/25 03:56:38 PM,18.711,,,,,
27,05/31/25 05:56:38 PM,18.140,,,,,
28,05/31/25 07:56:38 PM,19.758,,,,,
29,05/31/25 09:56:38 PM,20.805,,,,,
30,05/31/25 11:56:38 PM,21.378,,,,,
31,06/01/25 01:56:38 AM,21.378,,,,,
32,06/01/25 03:56:38 AM,20.901,,,,,
33,06/01/25 05:56:38 AM,20.138,,,,,
34,06/01/25 07:56:38 AM,19.377,,,,,
35,06/01/25 09:56:38 AM,19.187,,,,,
36,06/01/25 11:56:38 AM,19.567,,,,,
37,06/01/25 01:56:38 PM,20.329,,,,,
38,06/01/25 03:56:38 PM,20.996,,,,,
39,06/01/25 05:56:38 PM,21.664,,,,,
40,06/01/25 07:56:38 PM,22.333,,,,,
41,06/01/25 09:56:38 PM,22.142,,,,,
42,06/01/25 11:56:38 PM,21.951,,,,,
43,06/02/25 01:56:38 AM,21.473,,,,,
44,06/02/25 03:56:38 AM,20.424,,,,,
45,06/02/25 05:56:38 AM,19.187,,,,,
46,06/02/25 07:56:38 AM,16.618,,,,,
47,06/02/25 09:56:38 AM,10.553,,,,,
48,06/02/25 11:56:38 AM,11.334,,,,,
49,06/02/25 01:56:38 PM,11.916,,,,,
50,06/02/25 03:56:38 PM,13.558,,,,,
51,06/02/25 05:56:38 PM,12.110,,,,,
52,06/02/25 07:56:38 PM,11.041,,,,,
53,06/02/25 09:56:38 PM,8.282,,,,,
54,06/02/25 11:56:38 PM,7.983,,,,,
55,06/03/25 01:56:38 AM,6.877,,,,,
56,06/03/25 03:56:38 AM,5.655,,,,,
57,06/03/25 05:56:38 AM,5.141,,,,,
58,06/03/25 07:56:38 AM,6.674,,,,,
59,06/03/25 09:56:38 AM,9.275,,,,,
60,06/03/25 11:56:38 AM,10.944,,,,,
61,06/03/25 01:56:38 PM,11.528,,,,,
62,06/03/25 03:56:38 PM,12.594,,,,,
63,06/03/25 05:56:38 PM,9.866,,,,,
64,06/03/25 07:56:38 PM,8.581,,,,,
65,06/03/25 09:56:38 PM,7.179,,,,,
66,06/03/25 11:56:38 PM,6.064,,,,,
67,06/04/25 01:56:38 AM,5.552,,,,,
68,06/04/25 03:56:38 AM,4.831,,,,,
69,06/04/25 05:56:38 AM,3.683,,,,,
70,06/04/25 07:56:38 AM,3.367,,,,,
71,06/04/25 09:56:38 AM,9.275,,,,,
72,06/04/25 11:56:38 AM,15.091,,,,,
73,06/04/25 01:56:38 PM,16.427,,,,,
74,06/04/25 03:56:38 PM,14.613,,,,,
75,06/04/25 05:56:38 PM,14.038,,,,,
76,06/04/25 07:56:38 PM,11.431,,,,,
77,06/04/25 09:56:38 PM,9.373,,,,,
78,06/04/25 11:56:38 PM,8.282,,,,,
79,06/05/25 01:56:38 AM,7.381,,,,,
80,06/05/25 03:56:38 AM,6.775,,,,,
81,06/05/25 05:56:38 AM,5.655,,,,,
82,06/05/25 07:56:38 AM,5.655,,,,,
83,06/05/25 09:56:38 AM,8.879,,,,,
84,06/05/25 11:56:38 AM,12.110,,,,,
85,06/05/25 01:56:38 PM,12.207,,,,,
86,06/05/25 03:56:38 PM,12.401,,,,,
87,06/05/25 05:56:38 PM,10.063,,,,,
88,06/05/25 07:56:38 PM,9.571,,,,,
89,06/05/25 09:56:38 PM,8.282,,,,,
90,06/05/25 11:56:38 PM,7.280,,,,,
91,06/06/25 01:56:38 AM,6.877,,,,,
92,06/06/25 03:56:38 AM,6.268,,,,,
93,06/06/25 05:56:38 AM,5.962,,,,,
94,06/06/25 07:56:38 AM,5.244,,,,,
95,06/06/25 09:56:38 AM,5.450,,,,,
96,06/06/25 11:56:38 AM,9.768,,,,,
97,06/06/25 01:56:38 PM,8.581,,,,,
98,06/06/25 03:56:38 PM,10.846,,,,,
99,06/06/25 05:56:38 PM,7.582,,,,,
100,06/06/25 07:56:38 PM,5.037,,,,,
101,06/06/25 09:56:38 PM,4.207,,,,,
102,06/06/25 11:56:38 PM,3.788,,,,,
103,06/07/25 01:56:38 AM,3.155,,,,,
104,06/07/25 03:56:38 AM,2.624,,,,,
105,06/07/25 05:56:38 AM,2.303,,,,,
106,06/07/25 07:56:38 AM,2.624,,,,,
107,06/07/25 09:56:38 AM,8.282,,,,,
108,06/07/25 11:56:38 AM,13.461,,,,,
109,06/07/25 01:56:38 PM,16.618,,,,,
110,06/07/25 03:56:38 PM,17.189,,,,,
111,06/07/25 05:56:38 PM,13.846,,,,,
112,06/07/25 07:56:38 PM,10.259,,,,,
113,06/07/25 09:56:38 PM,8.282,,,,,
114,06/07/25 11:56:38 PM,7.179,,,,,
115,06/08/25 01:56:38 AM,6.471,,,,,
116,06/08/25 03:56:38 AM,6.268,,,,,
117,06/08/25 05:56:38 AM,5.141,,,,,
118,06/08/25 07:56:38 AM,7.381,,,,,
119,06/08/25 09:56:38 AM,12.883,,,,,
120,06/08/25 11:56:38 AM,18.140,,,,,
121,06/08/25 01:56:38 PM,20.043,,,,,
122,06/08/25 03:56:38 PM,19.662,,,,,
123,06/08/25 05:56:38 PM,16.999,,,,,
124,06/08/25 07:56:38 PM,13.654,,,,,
125,06/08/25 09:56:38 PM,11.139,,,,,
