"Plot Title: 20406013"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406013, SEN S/N: 20406013)","Coupler Detached (LGR S/N: 20406013)","Coupler Attached (LGR S/N: 20406013)","Host Connected (LGR S/N: 20406013)","Stopped (LGR S/N: 20406013)","End Of File (LGR S/N: 20406013)"
1,05/29/25 03:54:52 PM,23.196,,,,,
2,05/29/25 03:55:21 PM,,Logged,,,,
3,05/29/25 05:54:52 PM,20.901,,,,,
4,05/29/25 07:54:52 PM,21.187,,,,,
5,05/29/25 09:54:52 PM,21.091,,,,,
6,05/29/25 11:54:52 PM,20.710,,,,,
7,05/30/25 01:54:52 AM,20.138,,,,,
8,05/30/25 03:54:52 AM,19.282,,,,,
9,05/30/25 05:54:52 AM,18.521,,,,,
10,05/30/25 07:54:52 AM,17.950,,,,,
11,05/30/25 09:54:52 AM,18.045,,,,,
12,05/30/25 11:54:52 AM,18.901,,,,,
13,05/30/25 01:54:52 PM,20.615,,,,,
14,05/30/25 03:54:52 PM,22.333,,,,,
15,05/30/25 05:54:52 PM,22.717,,,,,
16,05/30/25 07:54:52 PM,22.908,,,,,
17,05/30/25 09:54:52 PM,22.812,,,,,
18,05/30/25 11:54:52 PM,21.951,,,,,
19,05/31/25 01:54:52 AM,21.282,,,,,
20,05/31/25 03:54:52 AM,20.710,,,,,
21,05/31/25 05:54:52 AM,19.853,,,,,
22,05/31/25 07:54:52 AM,19.853,,,,,
23,05/31/25 09:54:52 AM,19.187,,,,,
24,05/31/25 11:54:52 AM,19.092,,,,,
25,05/31/25 01:54:52 PM,20.043,,,,,
26,05/31/25 03:54:52 PM,21.091,,,,,
27,05/31/25 05:54:52 PM,18.901,,,,,
28,05/31/25 07:54:52 PM,19.662,,,,,
29,05/31/25 09:54:52 PM,20.996,,,,,
30,05/31/25 11:54:52 PM,21.664,,,,,
31,06/01/25 01:54:52 AM,21.855,,,,,
32,06/01/25 03:54:52 AM,21.473,,,,,
33,06/01/25 05:54:52 AM,20.710,,,,,
34,06/01/25 07:54:52 AM,19.948,,,,,
35,06/01/25 09:54:52 AM,19.662,,,,,
36,06/01/25 11:54:52 AM,19.853,,,,,
37,06/01/25 01:54:52 PM,20.615,,,,,
38,06/01/25 03:54:52 PM,21.378,,,,,
39,06/01/25 05:54:52 PM,22.046,,,,,
40,06/01/25 07:54:52 PM,22.621,,,,,
41,06/01/25 09:54:52 PM,22.525,,,,,
42,06/01/25 11:54:52 PM,21.855,,,,,
43,06/02/25 01:54:52 AM,21.282,,,,,
44,06/02/25 03:54:52 AM,20.234,,,,,
45,06/02/25 05:54:52 AM,18.901,,,,,
46,06/02/25 07:54:52 AM,17.379,,,,,
47,06/02/25 08:34:40 AM,,,Logged,,,
48,06/02/25 08:34:41 AM,,Logged,,,,
49,06/02/25 08:34:42 AM,,,Logged,,,
50,06/02/25 08:34:44 AM,,Logged,,,,
51,06/02/25 09:54:52 AM,10.944,,,,,
52,06/02/25 11:54:52 AM,11.916,,,,,
53,06/02/25 01:54:52 PM,12.497,,,,,
54,06/02/25 03:54:52 PM,13.654,,,,,
55,06/02/25 05:54:52 PM,12.787,,,,,
56,06/02/25 07:54:52 PM,12.013,,,,,
57,06/02/25 09:54:52 PM,9.768,,,,,
58,06/02/25 11:54:52 PM,9.077,,,,,
59,06/03/25 01:54:52 AM,8.182,,,,,
60,06/03/25 03:54:52 AM,6.978,,,,,
61,06/03/25 05:54:52 AM,6.370,,,,,
62,06/03/25 07:54:52 AM,6.978,,,,,
63,06/03/25 09:54:52 AM,8.680,,,,,
64,06/03/25 11:54:52 AM,9.866,,,,,
65,06/03/25 01:54:52 PM,10.553,,,,,
66,06/03/25 03:54:52 PM,12.594,,,,,
67,06/03/25 05:54:52 PM,10.455,,,,,
68,06/03/25 07:54:52 PM,9.275,,,,,
69,06/03/25 09:54:52 PM,7.983,,,,,
70,06/03/25 11:54:52 PM,6.978,,,,,
71,06/04/25 01:54:52 AM,6.370,,,,,
72,06/04/25 03:54:52 AM,5.757,,,,,
73,06/04/25 05:54:52 AM,4.831,,,,,
74,06/04/25 07:54:52 AM,4.415,,,,,
75,06/04/25 09:54:52 AM,8.382,,,,,
76,06/04/25 11:54:52 AM,13.654,,,,,
77,06/04/25 01:54:52 PM,16.332,,,,,
78,06/04/25 03:54:52 PM,15.282,,,,,
79,06/04/25 05:54:52 PM,15.091,,,,,
80,06/04/25 07:54:52 PM,12.690,,,,,
81,06/04/25 09:54:52 PM,10.846,,,,,
82,06/04/25 11:54:52 PM,9.472,,,,,
83,06/05/25 01:54:52 AM,8.581,,,,,
84,06/05/25 03:54:52 AM,7.882,,,,,
85,06/05/25 05:54:52 AM,6.978,,,,,
86,06/05/25 07:54:52 AM,6.775,,,,,
87,06/05/25 09:54:52 AM,8.779,,,,,
88,06/05/25 11:54:52 AM,11.722,,,,,
89,06/05/25 01:54:52 PM,12.690,,,,,
90,06/05/25 03:54:52 PM,13.654,,,,,
91,06/05/25 05:54:52 PM,11.625,,,,,
92,06/05/25 07:54:52 PM,10.846,,,,,
93,06/05/25 09:54:52 PM,9.571,,,,,
94,06/05/25 11:54:52 PM,8.581,,,,,
95,06/06/25 01:54:52 AM,7.882,,,,,
96,06/06/25 03:54:52 AM,7.381,,,,,
97,06/06/25 05:54:52 AM,6.978,,,,,
98,06/06/25 07:54:52 AM,6.370,,,,,
99,06/06/25 09:54:52 AM,6.370,,,,,
100,06/06/25 11:54:52 AM,8.978,,,,,
101,06/06/25 01:54:52 PM,9.571,,,,,
102,06/06/25 03:54:52 PM,11.625,,,,,
103,06/06/25 05:54:52 PM,9.472,,,,,
104,06/06/25 07:54:52 PM,6.978,,,,,
105,06/06/25 09:54:52 PM,5.757,,,,,
106,06/06/25 11:54:52 PM,5.141,,,,,
107,06/07/25 01:54:52 AM,4.311,,,,,
108,06/07/25 03:54:52 AM,3.683,,,,,
109,06/07/25 05:54:52 AM,3.261,,,,,
110,06/07/25 07:54:52 AM,3.788,,,,,
111,06/07/25 09:54:52 AM,7.983,,,,,
112,06/07/25 11:54:52 AM,12.110,,,,,
113,06/07/25 01:54:52 PM,15.760,,,,,
114,06/07/25 03:54:52 PM,17.475,,,,,
115,06/07/25 05:54:52 PM,15.855,,,,,
116,06/07/25 07:54:52 PM,12.497,,,,,
117,06/07/25 09:54:52 PM,10.357,,,,,
118,06/07/25 11:54:52 PM,8.879,,,,,
119,06/08/25 01:54:52 AM,7.983,,,,,
120,06/08/25 03:54:52 AM,7.381,,,,,
121,06/08/25 05:54:52 AM,6.471,,,,,
122,06/08/25 07:54:52 AM,7.782,,,,,
123,06/08/25 09:54:52 AM,11.722,,,,,
124,06/08/25 11:54:52 AM,16.427,,,,,
125,06/08/25 01:54:52 PM,19.187,,,,,
126,06/08/25 03:54:52 PM,20.043,,,,,
127,06/08/25 05:54:52 PM,18.045,,,,,
128,06/08/25 07:54:52 PM,15.378,,,,,
129,06/08/25 09:54:52 PM,12.883,,,,,
130,06/08/25 11:54:52 PM,11.431,,,,,
131,06/09/25 01:54:52 AM,10.357,,,,,
132,06/09/25 03:54:52 AM,8.879,,,,,
133,06/09/25 05:54:52 AM,7.582,,,,,
134,06/09/25 07:54:52 AM,8.182,,,,,
135,06/09/25 09:54:52 AM,12.497,,,,,
136,06/09/25 11:54:52 AM,17.189,,,,,
137,06/09/25 01:54:52 PM,20.615,,,,,
138,06/09/25 03:54:52 PM,21.569,,,,,
139,06/09/25 05:54:52 PM,19.758,,,,,
140,06/09/25 07:54:52 PM,16.332,,,,,
141,06/09/25 09:54:52 PM,13.942,,,,,
142,06/09/25 11:54:52 PM,12.110,,,,,
143,06/10/25 01:54:52 AM,10.553,,,,,
144,06/10/25 03:54:52 AM,9.275,,,,,
145,06/10/25 05:54:52 AM,8.282,,,,,
146,06/10/25 07:54:52 AM,8.779,,,,,
147,06/10/25 09:54:52 AM,12.690,,,,,
148,06/10/25 11:54:52 AM,17.665,,,,,
149,06/10/25 01:54:52 PM,21.855,,,,,
150,06/10/25 03:54:52 PM,23.292,,,,,
151,06/10/25 05:54:52 PM,21.378,,,,,
152,06/10/25 07:54:52 PM,18.236,,,,,
153,06/10/25 09:54:52 PM,15.760,,,,,
154,06/10/25 11:54:52 PM,13.846,,,,,
155,06/11/25 01:54:52 AM,12.207,,,,,
156,06/11/25 03:54:52 AM,11.139,,,,,
157,06/11/25 05:54:52 AM,10.357,,,,,
158,06/11/25 07:54:52 AM,10.553,,,,,
159,06/11/25 09:54:52 AM,12.497,,,,,
160,06/11/25 11:54:52 AM,16.808,,,,,
161,06/11/25 01:54:52 PM,20.424,,,,,
162,06/11/25 03:54:52 PM,18.045,,,,,
163,06/11/25 05:54:52 PM,17.475,,,,,
164,06/11/25 07:54:52 PM,15.091,,,,,
165,06/11/25 09:54:52 PM,12.883,,,,,
166,06/11/25 11:54:52 PM,11.625,,,,,
167,06/12/25 01:54:52 AM,10.259,,,,,
168,06/12/25 03:54:52 AM,9.373,,,,,
169,06/12/25 05:54:52 AM,8.978,,,,,
170,06/12/25 07:54:52 AM,8.978,,,,,
171,06/12/25 09:54:52 AM,11.528,,,,,
172,06/12/25 11:54:52 AM,15.378,,,,,
173,06/12/25 01:54:52 PM,17.189,,,,,
174,06/12/25 03:54:52 PM,16.237,,,,,
175,06/12/25 05:54:52 PM,15.187,,,,,
176,06/12/25 07:54:52 PM,12.883,,,,,
177,06/12/25 09:54:52 PM,11.431,,,,,
178,06/12/25 11:54:52 PM,10.063,,,,,
179,06/13/25 01:54:52 AM,8.978,,,,,
180,06/13/25 03:54:52 AM,8.182,,,,,
181,06/13/25 05:54:52 AM,7.280,,,,,
