1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5F000000630D2A21
Is Mission Active?  true
Mission Start:  Thu Aug 22 21:25:00 MDT 2024
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2111
Total Samples:  2111
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/22/24, 9:25:00 PM,C,27
8/23/24, 1:40:00 AM,C,22.5
8/23/24, 5:55:00 AM,C,21
8/23/24, 10:10:00 AM,C,20
8/23/24, 2:25:00 PM,C,28
8/23/24, 6:40:00 PM,C,25
8/23/24, 10:55:00 PM,C,26
8/24/24, 3:10:00 AM,C,23.5
8/24/24, 7:25:00 AM,C,21
8/24/24, 11:40:00 AM,C,26
8/24/24, 3:55:00 PM,C,32.5
8/24/24, 8:10:00 PM,C,33
8/25/24, 12:25:00 AM,C,27.5
8/25/24, 4:40:00 AM,C,24
8/25/24, 8:55:00 AM,C,22
8/25/24, 1:10:00 PM,C,30
8/25/24, 5:25:00 PM,C,39.5
8/25/24, 9:40:00 PM,C,33.5
8/26/24, 1:55:00 AM,C,24
8/26/24, 6:10:00 AM,C,19.5
8/26/24, 10:25:00 AM,C,19.5
8/26/24, 2:40:00 PM,C,28.5
8/26/24, 6:55:00 PM,C,34.5
8/26/24, 11:10:00 PM,C,23.5
8/27/24, 3:25:00 AM,C,22.5
8/27/24, 7:40:00 AM,C,15
8/27/24, 11:55:00 AM,C,22
8/27/24, 4:10:00 PM,C,32
8/27/24, 8:25:00 PM,C,13
8/28/24, 12:40:00 AM,C,10.5
8/28/24, 4:55:00 AM,C,9
8/28/24, 9:10:00 AM,C,10
8/28/24, 1:25:00 PM,C,17
8/28/24, 5:40:00 PM,C,17
8/28/24, 9:55:00 PM,C,12.5
8/29/24, 2:10:00 AM,C,11
8/29/24, 6:25:00 AM,C,9.5
8/29/24, 10:40:00 AM,C,15
8/29/24, 2:55:00 PM,C,20.5
8/29/24, 7:10:00 PM,C,16
8/29/24, 11:25:00 PM,C,11
8/30/24, 3:40:00 AM,C,9.5
8/30/24, 7:55:00 AM,C,8.5
8/30/24, 12:10:00 PM,C,16
8/30/24, 4:25:00 PM,C,21.5
8/30/24, 8:40:00 PM,C,13.5
8/31/24, 12:55:00 AM,C,11
8/31/24, 5:10:00 AM,C,9
8/31/24, 9:25:00 AM,C,13
8/31/24, 1:40:00 PM,C,21
8/31/24, 5:55:00 PM,C,21.5
8/31/24, 10:10:00 PM,C,12.5
9/1/24, 2:25:00 AM,C,10.5
9/1/24, 6:40:00 AM,C,9
9/1/24, 10:55:00 AM,C,15.5
9/1/24, 3:10:00 PM,C,22.5
9/1/24, 7:25:00 PM,C,16
9/1/24, 11:40:00 PM,C,11.5
9/2/24, 3:55:00 AM,C,10
9/2/24, 8:10:00 AM,C,10.5
9/2/24, 12:25:00 PM,C,16.5
9/2/24, 4:40:00 PM,C,17.5
9/2/24, 8:55:00 PM,C,12
9/3/24, 1:10:00 AM,C,10
9/3/24, 5:25:00 AM,C,9.5
9/3/24, 9:40:00 AM,C,12.5
9/3/24, 1:55:00 PM,C,20
9/3/24, 6:10:00 PM,C,19.5
9/3/24, 10:25:00 PM,C,13.5
9/4/24, 2:40:00 AM,C,11.5
9/4/24, 6:55:00 AM,C,9.5
9/4/24, 11:10:00 AM,C,15
9/4/24, 3:25:00 PM,C,16
9/4/24, 7:40:00 PM,C,14
9/4/24, 11:55:00 PM,C,7.5
9/5/24, 4:10:00 AM,C,6.5
9/5/24, 8:25:00 AM,C,7
9/5/24, 12:40:00 PM,C,10.5
9/5/24, 4:55:00 PM,C,11.5
9/5/24, 9:10:00 PM,C,7
9/6/24, 1:25:00 AM,C,5
9/6/24, 5:40:00 AM,C,3.5
9/6/24, 9:55:00 AM,C,10.5
9/6/24, 2:10:00 PM,C,19
9/6/24, 6:25:00 PM,C,16.5
9/6/24, 10:40:00 PM,C,9
9/7/24, 2:55:00 AM,C,7
9/7/24, 7:10:00 AM,C,6.5
