"Plot Title: nr.fl.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365596, SEN S/N: 20365596)","Coupler Detached (LGR S/N: 20365596)","Bad Battery (LGR S/N: 20365596)","Coupler Attached (LGR S/N: 20365596)","Host Connected (LGR S/N: 20365596)","Good Battery (LGR S/N: 20365596)","Stopped (LGR S/N: 20365596)","End Of File (LGR S/N: 20365596)"
1,08/27/24 05:34:54 PM,20.424,,,,,,,
2,08/27/24 05:35:18 PM,,Logged,,,,,,
3,08/27/24 07:34:54 PM,14.709,,,,,,,
4,08/27/24 09:34:54 PM,11.916,,,,,,,
5,08/27/24 11:34:54 PM,10.553,,,,,,,
6,08/28/24 01:34:54 AM,9.571,,,,,,,
7,08/28/24 03:34:54 AM,8.879,,,,,,,
8,08/28/24 05:34:54 AM,8.581,,,,,,,
9,08/28/24 07:34:54 AM,8.481,,,,,,,
10,08/28/24 09:34:54 AM,11.625,,,,,,,
11,08/28/24 11:34:54 AM,16.141,,,,,,,
12,08/28/24 01:34:54 PM,20.615,,,,,,,
13,08/28/24 03:34:54 PM,21.951,,,,,,,
14,08/28/24 05:34:54 PM,19.948,,,,,,,
15,08/28/24 07:34:54 PM,15.569,,,,,,,
16,08/28/24 09:34:54 PM,13.365,,,,,,,
17,08/28/24 11:34:54 PM,12.110,,,,,,,
18,08/29/24 01:34:54 AM,11.334,,,,,,,
19,08/29/24 03:34:54 AM,10.651,,,,,,,
20,08/29/24 05:34:54 AM,9.669,,,,,,,
21,08/29/24 07:34:54 AM,9.176,,,,,,,
22,08/29/24 09:34:54 AM,13.461,,,,,,,
23,08/29/24 11:34:54 AM,19.377,,,,,,,
24,08/29/24 01:34:54 PM,23.484,,,,,,,
25,08/29/24 03:34:54 PM,20.805,,,,,,,
26,08/29/24 05:34:54 PM,20.138,,,,,,,
27,08/29/24 07:34:54 PM,16.237,,,,,,,
28,08/29/24 09:34:54 PM,12.690,,,,,,,
29,08/29/24 11:34:54 PM,11.041,,,,,,,
30,08/30/24 01:34:54 AM,9.866,,,,,,,
31,08/30/24 03:34:54 AM,8.978,,,,,,,
32,08/30/24 05:34:54 AM,8.182,,,,,,,
33,08/30/24 07:34:54 AM,7.481,,,,,,,
34,08/30/24 09:34:54 AM,12.883,,,,,,,
35,08/30/24 11:34:54 AM,18.521,,,,,,,
36,08/30/24 01:34:54 PM,21.855,,,,,,,
37,08/30/24 03:34:54 PM,25.319,,,,,,,
38,08/30/24 05:34:54 PM,22.046,,,,,,,
39,08/30/24 07:34:54 PM,16.903,,,,,,,
40,08/30/24 09:34:54 PM,13.365,,,,,,,
41,08/30/24 11:34:54 PM,11.819,,,,,,,
42,08/31/24 01:34:54 AM,10.455,,,,,,,
43,08/31/24 03:34:54 AM,9.571,,,,,,,
