"Plot Title: nr.nl.2start"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365632, SEN S/N: 20365632)","Coupler Detached (LGR S/N: 20365632)","Bad Battery (LGR S/N: 20365632)","Coupler Attached (LGR S/N: 20365632)","Host Connected (LGR S/N: 20365632)","End Of File (LGR S/N: 20365632)"
1,08/27/24 07:21:25 AM,15.473,,,,,
2,08/27/24 07:22:05 AM,,Logged,,,,
3,08/27/24 09:21:25 AM,7.882,,,,,
4,08/27/24 11:21:25 AM,11.041,,,,,
5,08/27/24 01:21:25 PM,14.613,,,,,
6,08/27/24 03:21:25 PM,18.140,,,,,
7,08/27/24 05:21:25 PM,17.760,,,,,
8,08/27/24 07:21:25 PM,14.325,,,,,
9,08/27/24 09:21:25 PM,11.819,,,,,
10,08/27/24 11:21:25 PM,10.455,,,,,
11,08/28/24 01:21:25 AM,9.472,,,,,
12,08/28/24 03:21:25 AM,8.779,,,,,
13,08/28/24 05:21:25 AM,8.382,,,,,
14,08/28/24 07:21:25 AM,7.983,,,,,
15,08/28/24 09:21:25 AM,9.373,,,,,
16,08/28/24 11:21:25 AM,12.304,,,,,
17,08/28/24 01:21:25 PM,15.760,,,,,
18,08/28/24 03:21:25 PM,18.045,,,,,
19,08/28/24 05:21:25 PM,18.045,,,,,
20,08/28/24 07:21:25 PM,15.187,,,,,
21,08/28/24 09:21:25 PM,12.883,,,,,
22,08/28/24 11:21:25 PM,11.722,,,,,
23,08/29/24 01:21:25 AM,10.944,,,,,
24,08/29/24 03:21:25 AM,10.259,,,,,
25,08/29/24 05:21:25 AM,9.373,,,,,
26,08/29/24 07:21:25 AM,8.779,,,,,
27,08/29/24 09:21:25 AM,10.455,,,,,
28,08/29/24 11:21:25 AM,14.325,,,,,
29,08/29/24 01:21:25 PM,17.570,,,,,
30,08/29/24 03:21:25 PM,18.426,,,,,
31,08/29/24 05:21:25 PM,16.903,,,,,
32,08/29/24 07:21:25 PM,15.473,,,,,
33,08/29/24 09:21:25 PM,12.497,,,,,
34,08/29/24 11:21:25 PM,10.846,,,,,
35,08/30/24 01:21:25 AM,9.669,,,,,
36,08/30/24 03:21:25 AM,8.779,,,,,
37,08/30/24 05:21:25 AM,8.082,,,,,
38,08/30/24 07:21:25 AM,6.978,,,,,
39,08/30/24 09:21:25 AM,9.571,,,,,
40,08/30/24 11:21:25 AM,13.558,,,,,
41,08/30/24 01:21:25 PM,16.427,,,,,
42,08/30/24 03:21:25 PM,19.187,,,,,
43,08/30/24 05:21:25 PM,19.187,,,,,
44,08/30/24 07:21:25 PM,16.141,,,,,
45,08/30/24 09:21:25 PM,13.076,,,,,
46,08/30/24 11:21:25 PM,11.334,,,,,
47,08/31/24 01:21:25 AM,10.259,,,,,
48,08/31/24 03:21:25 AM,9.176,,,,,
49,08/31/24 05:21:25 AM,8.382,,,,,
50,08/31/24 07:21:25 AM,7.682,,,,,
51,08/31/24 09:21:25 AM,10.357,,,,,
52,08/31/24 11:21:25 AM,14.709,,,,,
53,08/31/24 01:21:25 PM,18.236,,,,,
54,08/31/24 03:21:25 PM,20.234,,,,,
55,08/31/24 05:21:25 PM,20.329,,,,,
56,08/31/24 07:21:25 PM,17.094,,,,,
57,08/31/24 09:21:25 PM,13.846,,,,,
58,08/31/24 11:21:25 PM,12.207,,,,,
59,09/01/24 01:21:25 AM,10.944,,,,,
60,09/01/24 03:21:25 AM,9.965,,,,,
61,09/01/24 05:21:25 AM,9.176,,,,,
62,09/01/24 07:21:25 AM,8.581,,,,,
63,09/01/24 09:21:25 AM,10.748,,,,,
64,09/01/24 11:21:25 AM,14.134,,,,,
65,09/01/24 01:21:25 PM,17.379,,,,,
66,09/01/24 03:21:25 PM,19.472,,,,,
67,09/01/24 05:21:25 PM,19.092,,,,,
68,09/01/24 07:21:25 PM,15.951,,,,,
69,09/01/24 09:21:25 PM,13.076,,,,,
70,09/01/24 11:21:25 PM,11.528,,,,,
71,09/02/24 01:21:25 AM,10.553,,,,,
72,09/02/24 03:21:25 AM,9.965,,,,,
73,09/02/24 05:21:25 AM,9.373,,,,,
74,09/02/24 07:21:25 AM,9.176,,,,,
75,09/02/24 09:21:25 AM,10.944,,,,,
76,09/02/24 11:21:25 AM,14.613,,,,,
77,09/02/24 01:21:25 PM,15.091,,,,,
78,09/02/24 03:21:25 PM,16.808,,,,,
79,09/02/24 05:21:25 PM,16.141,,,,,
80,09/02/24 07:21:25 PM,14.517,,,,,
81,09/02/24 09:21:25 PM,12.110,,,,,
82,09/02/24 11:21:25 PM,10.846,,,,,
83,09/03/24 01:21:25 AM,10.161,,,,,
84,09/03/24 03:21:25 AM,9.669,,,,,
85,09/03/24 05:21:25 AM,9.176,,,,,
86,09/03/24 07:21:25 AM,8.978,,,,,
87,09/03/24 09:21:25 AM,10.846,,,,,
88,09/03/24 11:21:25 AM,14.134,,,,,
89,09/03/24 01:21:25 PM,17.379,,,,,
90,09/03/24 03:21:25 PM,20.710,,,,,
91,09/03/24 05:21:25 PM,20.424,,,,,
92,09/03/24 07:21:25 PM,16.999,,,,,
93,09/03/24 09:21:25 PM,14.613,,,,,
94,09/03/24 11:21:25 PM,13.076,,,,,
95,09/04/24 01:21:25 AM,12.497,,,,,
96,09/04/24 03:21:25 AM,11.431,,,,,
97,09/04/24 05:21:25 AM,10.357,,,,,
98,09/04/24 07:21:25 AM,9.768,,,,,
99,09/04/24 09:21:25 AM,11.625,,,,,
100,09/04/24 11:21:25 AM,14.325,,,,,
101,09/04/24 01:21:25 PM,12.207,,,,,
102,09/04/24 03:21:25 PM,14.804,,,,,
103,09/04/24 05:21:25 PM,16.808,,,,,
104,09/04/24 07:21:25 PM,14.325,,,,,
105,09/04/24 09:21:25 PM,12.690,,,,,
106,09/04/24 11:21:25 PM,7.381,,,,,
107,09/05/24 01:21:25 AM,7.682,,,,,
108,09/05/24 03:21:25 AM,7.381,,,,,
109,09/05/24 05:21:25 AM,6.370,,,,,
110,09/05/24 07:21:25 AM,6.268,,,,,
111,09/05/24 09:21:25 AM,7.179,,,,,
112,09/05/24 11:21:25 AM,9.275,,,,,
113,09/05/24 01:21:25 PM,9.965,,,,,
114,09/05/24 03:21:25 PM,9.768,,,,,
115,09/05/24 05:21:25 PM,10.748,,,,,
116,09/05/24 07:21:25 PM,9.768,,,,,
117,09/05/24 09:21:25 PM,7.179,,,,,
118,09/05/24 11:21:25 PM,5.757,,,,,
119,09/06/24 01:21:25 AM,4.831,,,,,
120,09/06/24 03:21:25 AM,4.102,,,,,
121,09/06/24 05:21:25 AM,3.683,,,,,
122,09/06/24 07:21:25 AM,3.261,,,,,
123,09/06/24 09:21:25 AM,5.860,,,,,
124,09/06/24 11:21:25 AM,11.916,,,,,
125,09/06/24 01:21:25 PM,15.664,,,,,
126,09/06/24 03:21:25 PM,17.094,,,,,
127,09/06/24 05:21:25 PM,16.903,,,,,
128,09/06/24 07:21:25 PM,13.269,,,,,
129,09/06/24 09:21:25 PM,10.161,,,,,
130,09/06/24 11:21:25 PM,8.581,,,,,
131,09/07/24 01:21:25 AM,7.682,,,,,
132,09/07/24 03:21:25 AM,6.674,,,,,
133,09/07/24 05:21:25 AM,6.064,,,,,
134,09/07/24 07:21:25 AM,5.757,,,,,
135,09/07/24 09:21:25 AM,8.182,,,,,
136,09/07/24 11:21:25 AM,11.722,,,,,
137,09/07/24 01:21:25 PM,16.141,,,,,
138,09/07/24 03:21:25 PM,20.138,,,,,
139,09/07/24 05:21:25 PM,16.713,,,,,
140,09/07/24 07:21:25 PM,12.497,,,,,
141,09/07/24 09:21:25 PM,10.455,,,,,
142,09/07/24 11:21:25 PM,9.077,,,,,
143,09/08/24 01:21:25 AM,8.082,,,,,
144,09/08/24 03:21:25 AM,7.582,,,,,
145,09/08/24 05:21:25 AM,6.978,,,,,
146,09/08/24 07:21:25 AM,6.674,,,,,
147,09/08/24 09:21:25 AM,8.879,,,,,
148,09/08/24 11:21:25 AM,12.304,,,,,
149,09/08/24 01:21:25 PM,15.664,,,,,
150,09/08/24 03:21:25 PM,17.094,,,,,
151,09/08/24 05:21:25 PM,16.618,,,,,
152,09/08/24 07:21:25 PM,14.038,,,,,
153,09/08/24 09:21:25 PM,11.528,,,,,
154,09/08/24 11:21:25 PM,10.357,,,,,
155,09/09/24 01:21:25 AM,9.472,,,,,
156,09/09/24 03:21:25 AM,8.879,,,,,
157,09/09/24 05:21:25 AM,8.382,,,,,
158,09/09/24 07:21:25 AM,7.983,,,,,
