"Plot Title: nr.ln.2end"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20848135, SEN S/N: 20848135)","Coupler Detached (LGR S/N: 20848135)","Bad Battery (LGR S/N: 20848135)","Coupler Attached (LGR S/N: 20848135)","Host Connected (LGR S/N: 20848135)","End Of File (LGR S/N: 20848135)"
1,08/27/24 07:33:12 AM,14.709,,,,,
2,08/27/24 07:33:25 AM,,Logged,,,,
3,08/27/24 09:33:12 AM,8.581,,,,,
4,08/27/24 11:33:12 AM,11.625,,,,,
5,08/27/24 01:33:12 PM,15.282,,,,,
6,08/27/24 03:33:12 PM,17.665,,,,,
7,08/27/24 05:33:12 PM,17.379,,,,,
8,08/27/24 07:33:12 PM,15.091,,,,,
9,08/27/24 09:33:12 PM,12.594,,,,,
10,08/27/24 11:33:12 PM,11.041,,,,,
11,08/28/24 01:33:12 AM,9.965,,,,,
12,08/28/24 03:33:12 AM,9.176,,,,,
13,08/28/24 05:33:12 AM,8.680,,,,,
14,08/28/24 07:33:12 AM,8.382,,,,,
15,08/28/24 09:33:12 AM,9.965,,,,,
16,08/28/24 11:33:12 AM,12.787,,,,,
17,08/28/24 01:33:12 PM,15.951,,,,,
18,08/28/24 03:33:12 PM,17.950,,,,,
19,08/28/24 05:33:12 PM,17.760,,,,,
20,08/28/24 07:33:12 PM,15.378,,,,,
21,08/28/24 09:33:12 PM,13.173,,,,,
22,08/28/24 11:33:12 PM,11.916,,,,,
23,08/29/24 01:33:12 AM,11.041,,,,,
24,08/29/24 03:33:12 AM,10.259,,,,,
25,08/29/24 05:33:12 AM,9.373,,,,,
26,08/29/24 07:33:12 AM,8.680,,,,,
27,08/29/24 09:33:12 AM,10.748,,,,,
28,08/29/24 11:33:12 AM,14.421,,,,,
29,08/29/24 01:33:12 PM,17.475,,,,,
30,08/29/24 03:33:12 PM,17.665,,,,,
31,08/29/24 05:33:12 PM,16.808,,,,,
32,08/29/24 07:33:12 PM,15.569,,,,,
33,08/29/24 09:33:12 PM,12.883,,,,,
34,08/29/24 11:33:12 PM,11.041,,,,,
35,08/30/24 01:33:12 AM,9.768,,,,,
36,08/30/24 03:33:12 AM,8.779,,,,,
37,08/30/24 05:33:12 AM,7.882,,,,,
38,08/30/24 07:33:12 AM,6.978,,,,,
39,08/30/24 09:33:12 AM,9.768,,,,,
40,08/30/24 11:33:12 AM,13.461,,,,,
41,08/30/24 01:33:12 PM,16.332,,,,,
42,08/30/24 03:33:12 PM,18.616,,,,,
43,08/30/24 05:33:12 PM,18.045,,,,,
44,08/30/24 07:33:12 PM,16.046,,,,,
45,08/30/24 09:33:12 PM,13.269,,,,,
46,08/30/24 11:33:12 PM,11.431,,,,,
47,08/31/24 01:33:12 AM,10.063,,,,,
