"Plot Title: nr.nu.1start"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397967, SEN S/N: 21397967)","Coupler Detached (LGR S/N: 21397967)","Bad Battery (LGR S/N: 21397967)","Host Connected (LGR S/N: 21397967)","Coupler Attached (LGR S/N: 21397967)","End Of File (LGR S/N: 21397967)"
1,08/27/24 07:55:47 AM,10.455,,,,,
2,08/27/24 07:56:04 AM,,Logged,,,,
3,08/27/24 09:55:47 AM,8.879,,,,,
4,08/27/24 11:55:47 AM,12.883,,,,,
5,08/27/24 01:55:47 PM,17.094,,,,,
6,08/27/24 03:55:47 PM,19.853,,,,,
7,08/27/24 05:55:47 PM,18.331,,,,,
8,08/27/24 07:55:47 PM,15.378,,,,,
9,08/27/24 09:55:47 PM,12.497,,,,,
10,08/27/24 11:55:47 PM,10.748,,,,,
11,08/28/24 01:55:47 AM,9.669,,,,,
12,08/28/24 03:55:47 AM,8.978,,,,,
13,08/28/24 05:55:47 AM,8.581,,,,,
14,08/28/24 07:55:47 AM,8.282,,,,,
15,08/28/24 09:55:47 AM,10.651,,,,,
16,08/28/24 11:55:47 AM,13.750,,,,,
17,08/28/24 01:55:47 PM,17.475,,,,,
18,08/28/24 03:55:47 PM,19.662,,,,,
19,08/28/24 05:55:47 PM,19.282,,,,,
20,08/28/24 07:55:47 PM,15.664,,,,,
21,08/28/24 09:55:47 PM,13.269,,,,,
22,08/28/24 11:55:47 PM,11.916,,,,,
23,08/29/24 01:55:47 AM,10.944,,,,,
24,08/29/24 03:55:47 AM,10.063,,,,,
25,08/29/24 05:55:47 AM,9.275,,,,,
26,08/29/24 07:55:47 AM,8.581,,,,,
27,08/29/24 09:55:47 AM,11.625,,,,,
28,08/29/24 11:55:47 AM,15.951,,,,,
29,08/29/24 01:55:47 PM,19.092,,,,,
30,08/29/24 03:55:47 PM,17.665,,,,,
31,08/29/24 05:55:47 PM,17.760,,,,,
32,08/29/24 07:55:47 PM,15.951,,,,,
33,08/29/24 09:55:47 PM,12.690,,,,,
34,08/29/24 11:55:47 PM,10.748,,,,,
35,08/30/24 01:55:47 AM,9.275,,,,,
36,08/30/24 03:55:47 AM,8.182,,,,,
37,08/30/24 05:55:47 AM,7.179,,,,,
38,08/30/24 07:55:47 AM,6.166,,,,,
39,08/30/24 09:55:47 AM,9.866,,,,,
40,08/30/24 11:55:47 AM,14.325,,,,,
41,08/30/24 01:55:47 PM,17.855,,,,,
42,08/30/24 03:55:47 PM,21.091,,,,,
43,08/30/24 05:55:47 PM,19.853,,,,,
44,08/30/24 07:55:47 PM,16.808,,,,,
45,08/30/24 09:55:47 PM,13.461,,,,,
