"Plot Title: nr.nl.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406027, SEN S/N: 20406027)","Coupler Detached (LGR S/N: 20406027)","Bad Battery (LGR S/N: 20406027)","Coupler Attached (LGR S/N: 20406027)","Host Connected (LGR S/N: 20406027)","End Of File (LGR S/N: 20406027)"
1,08/27/24 08:07:41 AM,11.139,,,,,
2,08/27/24 08:08:03 AM,,Logged,,,,
3,08/27/24 10:07:41 AM,8.680,,,,,
4,08/27/24 12:07:41 PM,13.654,,,,,
5,08/27/24 02:07:41 PM,18.331,,,,,
6,08/27/24 04:07:41 PM,20.996,,,,,
7,08/27/24 06:07:41 PM,17.760,,,,,
8,08/27/24 08:07:41 PM,14.134,,,,,
9,08/27/24 10:07:41 PM,11.431,,,,,
10,08/28/24 12:07:41 AM,9.866,,,,,
11,08/28/24 02:07:41 AM,8.978,,,,,
12,08/28/24 04:07:41 AM,8.382,,,,,
13,08/28/24 06:07:41 AM,7.983,,,,,
14,08/28/24 08:07:41 AM,7.682,,,,,
15,08/28/24 10:07:41 AM,10.161,,,,,
16,08/28/24 12:07:41 PM,14.134,,,,,
17,08/28/24 02:07:41 PM,18.521,,,,,
18,08/28/24 04:07:41 PM,20.043,,,,,
19,08/28/24 06:07:41 PM,18.426,,,,,
20,08/28/24 08:07:41 PM,14.325,,,,,
21,08/28/24 10:07:41 PM,12.401,,,,,
22,08/29/24 12:07:41 AM,11.236,,,,,
23,08/29/24 02:07:41 AM,10.357,,,,,
24,08/29/24 04:07:41 AM,9.472,,,,,
25,08/29/24 06:07:41 AM,8.680,,,,,
26,08/29/24 08:07:41 AM,7.983,,,,,
27,08/29/24 10:07:41 AM,11.334,,,,,
28,08/29/24 12:07:41 PM,16.523,,,,,
29,08/29/24 02:07:41 PM,20.138,,,,,
30,08/29/24 04:07:41 PM,17.094,,,,,
31,08/29/24 06:07:41 PM,18.140,,,,,
32,08/29/24 08:07:41 PM,14.421,,,,,
33,08/29/24 10:07:41 PM,11.431,,,,,
34,08/30/24 12:07:41 AM,10.063,,,,,
35,08/30/24 02:07:41 AM,8.680,,,,,
36,08/30/24 04:07:41 AM,7.782,,,,,
37,08/30/24 06:07:41 AM,6.674,,,,,
38,08/30/24 08:07:41 AM,5.757,,,,,
39,08/30/24 10:07:41 AM,9.866,,,,,
40,08/30/24 12:07:41 PM,14.996,,,,,
41,08/30/24 02:07:41 PM,18.901,,,,,
42,08/30/24 04:07:41 PM,21.855,,,,,
43,08/30/24 06:07:41 PM,19.377,,,,,
44,08/30/24 08:07:41 PM,15.187,,,,,
45,08/30/24 10:07:41 PM,11.916,,,,,
46,08/31/24 12:07:41 AM,10.357,,,,,
47,08/31/24 02:07:41 AM,8.779,,,,,
48,08/31/24 04:07:41 AM,7.882,,,,,
49,08/31/24 06:07:41 AM,6.877,,,,,
50,08/31/24 08:07:41 AM,6.573,,,,,
51,08/31/24 10:07:41 AM,10.651,,,,,
52,08/31/24 12:07:41 PM,16.523,,,,,
53,08/31/24 02:07:41 PM,20.615,,,,,
54,08/31/24 04:07:41 PM,22.333,,,,,
55,08/31/24 06:07:41 PM,20.615,,,,,
56,08/31/24 08:07:41 PM,15.855,,,,,
57,08/31/24 10:07:41 PM,12.690,,,,,
58,09/01/24 12:07:41 AM,11.041,,,,,
59,09/01/24 02:07:41 AM,9.669,,,,,
60,09/01/24 04:07:41 AM,8.680,,,,,
61,09/01/24 06:07:41 AM,7.782,,,,,
62,09/01/24 08:07:41 AM,7.582,,,,,
63,09/01/24 10:07:41 AM,11.041,,,,,
64,09/01/24 12:07:41 PM,16.046,,,,,
65,09/01/24 02:07:41 PM,20.043,,,,,
66,09/01/24 04:07:41 PM,21.664,,,,,
67,09/01/24 06:07:41 PM,18.616,,,,,
68,09/01/24 08:07:41 PM,15.091,,,,,
69,09/01/24 10:07:41 PM,12.110,,,,,
70,09/02/24 12:07:41 AM,10.553,,,,,
71,09/02/24 02:07:41 AM,9.768,,,,,
72,09/02/24 04:07:41 AM,9.176,,,,,
73,09/02/24 06:07:41 AM,8.581,,,,,
74,09/02/24 08:07:41 AM,8.481,,,,,
75,09/02/24 10:07:41 AM,11.236,,,,,
76,09/02/24 12:07:41 PM,15.282,,,,,
77,09/02/24 02:07:41 PM,14.900,,,,,
78,09/02/24 04:07:41 PM,15.378,,,,,
79,09/02/24 06:07:41 PM,15.473,,,,,
80,09/02/24 08:07:41 PM,12.787,,,,,
81,09/02/24 10:07:41 PM,10.161,,,,,
82,09/03/24 12:07:41 AM,9.077,,,,,
83,09/03/24 02:07:41 AM,8.680,,,,,
84,09/03/24 04:07:41 AM,8.282,,,,,
85,09/03/24 06:07:41 AM,7.882,,,,,
86,09/03/24 08:07:41 AM,7.983,,,,,
87,09/03/24 10:07:41 AM,10.748,,,,,
88,09/03/24 12:07:41 PM,15.473,,,,,
89,09/03/24 02:07:41 PM,19.662,,,,,
90,09/03/24 04:07:41 PM,22.812,,,,,
91,09/03/24 06:07:41 PM,19.472,,,,,
92,09/03/24 08:07:41 PM,15.569,,,,,
93,09/03/24 10:07:41 PM,13.269,,,,,
94,09/04/24 12:07:41 AM,12.110,,,,,
95,09/04/24 02:07:41 AM,11.334,,,,,
96,09/04/24 04:07:41 AM,9.669,,,,,
97,09/04/24 06:07:41 AM,8.779,,,,,
98,09/04/24 08:07:41 AM,8.581,,,,,
99,09/04/24 10:07:41 AM,12.013,,,,,
100,09/04/24 12:07:41 PM,12.304,,,,,
101,09/04/24 02:07:41 PM,15.282,,,,,
102,09/04/24 04:07:41 PM,16.999,,,,,
103,09/04/24 06:07:41 PM,15.855,,,,,
104,09/04/24 08:07:41 PM,13.269,,,,,
105,09/04/24 10:07:41 PM,11.916,,,,,
106,09/05/24 12:07:41 AM,7.882,,,,,
107,09/05/24 02:07:41 AM,7.381,,,,,
108,09/05/24 04:07:41 AM,6.370,,,,,
109,09/05/24 06:07:41 AM,5.347,,,,,
110,09/05/24 08:07:41 AM,5.962,,,,,
111,09/05/24 10:07:41 AM,7.983,,,,,
112,09/05/24 12:07:41 PM,9.472,,,,,
113,09/05/24 02:07:41 PM,10.063,,,,,
114,09/05/24 04:07:41 PM,9.965,,,,,
