"Plot Title: nr.sl.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20578489, SEN S/N: 20578489)","Coupler Detached (LGR S/N: 20578489)","Bad Battery (LGR S/N: 20578489)","Coupler Attached (LGR S/N: 20578489)","Host Connected (LGR S/N: 20578489)","Stopped (LGR S/N: 20578489)","End Of File (LGR S/N: 20578489)"
1,08/27/24 04:37:19 PM,28.953,,,,,,
2,08/27/24 04:38:10 PM,,Logged,,,,,
3,08/27/24 06:37:19 PM,18.616,,,,,,
4,08/27/24 08:37:19 PM,15.664,,,,,,
5,08/27/24 10:37:19 PM,13.750,,,,,,
6,08/28/24 12:37:19 AM,12.401,,,,,,
7,08/28/24 02:37:19 AM,11.431,,,,,,
8,08/28/24 04:37:19 AM,10.651,,,,,,
9,08/28/24 06:37:19 AM,9.965,,,,,,
10,08/28/24 08:37:19 AM,11.528,,,,,,
11,08/28/24 10:37:19 AM,16.237,,,,,,
12,08/28/24 12:37:19 PM,20.901,,,,,,
13,08/28/24 02:37:19 PM,24.448,,,,,,
14,08/28/24 04:37:19 PM,23.004,,,,,,
15,08/28/24 06:37:19 PM,19.567,,,,,,
16,08/28/24 08:37:19 PM,16.713,,,,,,
17,08/28/24 10:37:19 PM,15.282,,,,,,
18,08/29/24 12:37:19 AM,13.942,,,,,,
19,08/29/24 02:37:19 AM,12.980,,,,,,
20,08/29/24 04:37:19 AM,11.916,,,,,,
21,08/29/24 06:37:19 AM,10.846,,,,,,
22,08/29/24 08:37:19 AM,11.722,,,,,,
23,08/29/24 10:37:19 AM,18.236,,,,,,
24,08/29/24 12:37:19 PM,22.812,,,,,,
25,08/29/24 02:37:19 PM,24.545,,,,,,
26,08/29/24 04:37:19 PM,20.234,,,,,,
27,08/29/24 06:37:19 PM,18.616,,,,,,
28,08/29/24 08:37:19 PM,15.760,,,,,,
29,08/29/24 10:37:19 PM,13.846,,,,,,
30,08/30/24 12:37:19 AM,12.594,,,,,,
31,08/30/24 02:37:19 AM,11.236,,,,,,
32,08/30/24 04:37:19 AM,10.259,,,,,,
33,08/30/24 06:37:19 AM,9.077,,,,,,
34,08/30/24 08:37:19 AM,11.334,,,,,,
35,08/30/24 10:37:19 AM,17.189,,,,,,
36,08/30/24 12:37:19 PM,21.855,,,,,,
37,08/30/24 02:37:19 PM,24.641,,,,,,
38,08/30/24 04:37:19 PM,24.062,,,,,,
39,08/30/24 06:37:19 PM,20.043,,,,,,
40,08/30/24 08:37:19 PM,16.999,,,,,,
41,08/30/24 10:37:19 PM,14.804,,,,,,
42,08/31/24 12:37:19 AM,13.365,,,,,,
43,08/31/24 02:37:19 AM,12.110,,,,,,
44,08/31/24 04:37:19 AM,10.944,,,,,,
45,08/31/24 06:37:19 AM,9.965,,,,,,
46,08/31/24 08:37:19 AM,12.401,,,,,,
47,08/31/24 10:37:19 AM,17.855,,,,,,
