"Plot Title: nr.sl.B"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397960, SEN S/N: 21397960)","Coupler Detached (LGR S/N: 21397960)","Coupler Attached (LGR S/N: 21397960)","Host Connected (LGR S/N: 21397960)","Stopped (LGR S/N: 21397960)","End Of File (LGR S/N: 21397960)"
1,08/27/24 04:45:18 PM,28.258,,,,,
2,08/27/24 04:45:30 PM,,Logged,,,,
3,08/27/24 06:45:18 PM,18.426,,,,,
4,08/27/24 08:45:18 PM,15.760,,,,,
5,08/27/24 10:45:18 PM,13.942,,,,,
6,08/28/24 12:45:18 AM,12.594,,,,,
7,08/28/24 02:45:18 AM,11.625,,,,,
8,08/28/24 04:45:18 AM,10.846,,,,,
9,08/28/24 06:45:18 AM,10.161,,,,,
10,08/28/24 08:45:18 AM,11.722,,,,,
11,08/28/24 10:45:18 AM,16.618,,,,,
12,08/28/24 12:45:18 PM,21.378,,,,,
13,08/28/24 02:45:18 PM,24.158,,,,,
14,08/28/24 04:45:18 PM,23.004,,,,,
15,08/28/24 06:45:18 PM,19.853,,,,,
16,08/28/24 08:45:18 PM,17.094,,,,,
17,08/28/24 10:45:18 PM,15.664,,,,,
18,08/29/24 12:45:18 AM,14.325,,,,,
19,08/29/24 02:45:18 AM,13.461,,,,,
20,08/29/24 04:45:18 AM,12.304,,,,,
21,08/29/24 06:45:18 AM,11.431,,,,,
22,08/29/24 08:45:18 AM,12.497,,,,,
23,08/29/24 10:45:18 AM,18.236,,,,,
24,08/29/24 12:45:18 PM,22.621,,,,,
25,08/29/24 02:45:18 PM,24.255,,,,,
26,08/29/24 04:45:18 PM,20.329,,,,,
27,08/29/24 06:45:18 PM,18.711,,,,,
28,08/29/24 08:45:18 PM,16.046,,,,,
29,08/29/24 10:45:18 PM,14.325,,,,,
30,08/30/24 12:45:18 AM,13.076,,,,,
31,08/30/24 02:45:18 AM,11.819,,,,,
32,08/30/24 04:45:18 AM,10.846,,,,,
33,08/30/24 06:45:18 AM,9.768,,,,,
34,08/30/24 08:45:18 AM,12.013,,,,,
35,08/30/24 10:45:18 AM,17.760,,,,,
36,08/30/24 12:45:18 PM,22.717,,,,,
37,08/30/24 02:45:18 PM,25.319,,,,,
38,08/30/24 04:45:18 PM,23.966,,,,,
39,08/30/24 06:45:18 PM,20.424,,,,,
40,08/30/24 08:45:18 PM,17.379,,,,,
41,08/30/24 10:45:18 PM,15.282,,,,,
42,08/31/24 12:45:18 AM,13.846,,,,,
43,08/31/24 02:45:18 AM,12.594,,,,,
44,08/31/24 04:45:18 AM,11.528,,,,,
45,08/31/24 06:45:18 AM,10.651,,,,,
46,08/31/24 08:45:18 AM,13.173,,,,,
47,08/31/24 10:45:18 AM,18.521,,,,,
48,08/31/24 12:45:18 PM,22.908,,,,,
49,08/31/24 02:45:18 PM,24.931,,,,,
50,08/31/24 04:45:18 PM,23.966,,,,,
51,08/31/24 06:45:18 PM,20.710,,,,,
52,08/31/24 08:45:18 PM,17.665,,,,,
53,08/31/24 10:45:18 PM,15.760,,,,,
54,09/01/24 12:45:18 AM,14.230,,,,,
55,09/01/24 02:45:18 AM,13.076,,,,,
56,09/01/24 04:45:18 AM,12.110,,,,,
57,09/01/24 06:45:18 AM,11.236,,,,,
58,09/01/24 08:45:18 AM,13.269,,,,,
59,09/01/24 10:45:18 AM,18.045,,,,,
60,09/01/24 12:45:18 PM,22.142,,,,,
61,09/01/24 02:45:18 PM,24.448,,,,,
62,09/01/24 04:45:18 PM,23.581,,,,,
63,09/01/24 06:45:18 PM,20.043,,,,,
64,09/01/24 08:45:18 PM,17.284,,,,,
65,09/01/24 10:45:18 PM,15.282,,,,,
66,09/02/24 12:45:18 AM,13.942,,,,,
67,09/02/24 02:45:18 AM,12.980,,,,,
68,09/02/24 04:45:18 AM,12.207,,,,,
69,09/02/24 06:45:18 AM,11.528,,,,,
70,09/02/24 08:45:18 AM,13.461,,,,,
71,09/02/24 10:45:18 AM,18.711,,,,,
72,09/02/24 12:45:18 PM,21.855,,,,,
73,09/02/24 02:45:18 PM,20.901,,,,,
74,09/02/24 04:45:18 PM,19.758,,,,,
75,09/02/24 06:45:18 PM,17.950,,,,,
76,09/02/24 08:45:18 PM,15.473,,,,,
77,09/02/24 10:45:18 PM,13.750,,,,,
78,09/03/24 12:45:18 AM,12.594,,,,,
79,09/03/24 02:45:18 AM,11.819,,,,,
80,09/03/24 04:45:18 AM,11.236,,,,,
81,09/03/24 06:45:18 AM,10.748,,,,,
82,09/03/24 08:45:18 AM,12.690,,,,,
83,09/03/24 10:45:18 AM,18.140,,,,,
84,09/03/24 12:45:18 PM,23.677,,,,,
85,09/03/24 02:45:18 PM,27.075,,,,,
86,09/03/24 04:45:18 PM,26.292,,,,,
87,09/03/24 06:45:18 PM,22.621,,,,,
88,09/03/24 08:45:18 PM,19.472,,,,,
89,09/03/24 10:45:18 PM,17.379,,,,,
90,09/04/24 12:45:18 AM,16.237,,,,,
91,09/04/24 02:45:18 AM,15.091,,,,,
92,09/04/24 04:45:18 AM,13.461,,,,,
93,09/04/24 06:45:18 AM,12.304,,,,,
94,09/04/24 08:45:18 AM,14.421,,,,,
95,09/04/24 10:45:18 AM,18.711,,,,,
96,09/04/24 12:45:18 PM,17.570,,,,,
97,09/04/24 02:45:18 PM,20.901,,,,,
98,09/04/24 04:45:18 PM,21.378,,,,,
99,09/04/24 06:45:18 PM,19.187,,,,,
100,09/04/24 08:45:18 PM,16.808,,,,,
101,09/04/24 10:45:18 PM,15.187,,,,,
102,09/05/24 12:45:18 AM,10.259,,,,,
103,09/05/24 02:45:18 AM,9.965,,,,,
104,09/05/24 04:45:18 AM,8.978,,,,,
105,09/05/24 06:45:18 AM,8.082,,,,,
106,09/05/24 08:45:18 AM,8.282,,,,,
107,09/05/24 10:45:18 AM,10.357,,,,,
108,09/05/24 12:45:18 PM,10.846,,,,,
109,09/05/24 02:45:18 PM,11.139,,,,,
110,09/05/24 04:45:18 PM,11.528,,,,,
111,09/05/24 06:45:18 PM,10.846,,,,,
112,09/05/24 08:45:18 PM,8.879,,,,,
113,09/05/24 10:45:18 PM,7.481,,,,,
114,09/06/24 12:45:18 AM,6.471,,,,,
115,09/06/24 02:45:18 AM,5.552,,,,,
116,09/06/24 04:45:18 AM,4.934,,,,,
117,09/06/24 06:45:18 AM,4.311,,,,,
118,09/06/24 08:45:18 AM,6.471,,,,,
119,09/06/24 10:45:18 AM,13.365,,,,,
120,09/06/24 12:45:18 PM,18.711,,,,,
121,09/06/24 02:45:18 PM,20.996,,,,,
122,09/06/24 04:45:18 PM,19.948,,,,,
123,09/06/24 06:45:18 PM,16.523,,,,,
124,09/06/24 08:45:18 PM,13.654,,,,,
125,09/06/24 10:45:18 PM,11.625,,,,,
126,09/07/24 12:45:18 AM,10.259,,,,,
127,09/07/24 02:45:18 AM,9.275,,,,,
128,09/07/24 04:45:18 AM,8.382,,,,,
129,09/07/24 06:45:18 AM,7.582,,,,,
130,09/07/24 08:45:18 AM,9.866,,,,,
131,09/07/24 10:45:18 AM,15.664,,,,,
132,09/07/24 12:45:18 PM,21.091,,,,,
133,09/07/24 02:45:18 PM,23.869,,,,,
134,09/07/24 04:45:18 PM,21.569,,,,,
135,09/07/24 06:45:18 PM,17.379,,,,,
136,09/07/24 08:45:18 PM,14.804,,,,,
137,09/07/24 10:45:18 PM,12.883,,,,,
138,09/08/24 12:45:18 AM,11.334,,,,,
139,09/08/24 02:45:18 AM,10.357,,,,,
140,09/08/24 04:45:18 AM,9.472,,,,,
141,09/08/24 06:45:18 AM,8.779,,,,,
142,09/08/24 08:45:18 AM,10.748,,,,,
143,09/08/24 10:45:18 AM,15.855,,,,,
144,09/08/24 12:45:18 PM,21.378,,,,,
145,09/08/24 02:45:18 PM,23.004,,,,,
146,09/08/24 04:45:18 PM,21.282,,,,,
147,09/08/24 06:45:18 PM,18.996,,,,,
148,09/08/24 08:45:18 PM,16.141,,,,,
149,09/08/24 10:45:18 PM,14.325,,,,,
150,09/09/24 12:45:18 AM,13.076,,,,,
151,09/09/24 02:45:18 AM,11.916,,,,,
152,09/09/24 04:45:18 AM,11.041,,,,,
153,09/09/24 06:45:18 AM,10.357,,,,,
154,09/09/24 08:45:18 AM,11.722,,,,,
155,09/09/24 10:45:18 AM,14.804,,,,,
156,09/09/24 12:45:18 PM,18.426,,,,,
157,09/09/24 02:45:18 PM,22.908,,,,,
158,09/09/24 04:45:18 PM,20.138,,,,,
159,09/09/24 06:45:18 PM,18.236,,,,,
160,09/09/24 08:45:18 PM,15.951,,,,,
161,09/09/24 10:45:18 PM,14.517,,,,,
162,09/10/24 12:45:18 AM,13.558,,,,,
163,09/10/24 02:45:18 AM,12.304,,,,,
164,09/10/24 04:45:18 AM,11.236,,,,,
165,09/10/24 06:45:18 AM,10.357,,,,,
166,09/10/24 08:45:18 AM,11.916,,,,,
167,09/10/24 10:45:18 AM,14.900,,,,,
168,09/10/24 12:45:18 PM,15.378,,,,,
169,09/10/24 02:45:18 PM,15.091,,,,,
170,09/10/24 04:45:18 PM,14.038,,,,,
171,09/10/24 06:45:18 PM,12.594,,,,,
172,09/10/24 08:45:18 PM,11.528,,,,,
173,09/10/24 10:45:18 PM,10.259,,,,,
174,09/11/24 12:45:18 AM,9.571,,,,,
175,09/11/24 02:45:18 AM,9.275,,,,,
176,09/11/24 04:45:18 AM,8.182,,,,,
177,09/11/24 06:45:18 AM,7.582,,,,,
178,09/11/24 08:45:18 AM,9.965,,,,,
179,09/11/24 10:45:18 AM,16.141,,,,,
180,09/11/24 12:45:18 PM,19.853,,,,,
181,09/11/24 02:45:18 PM,23.484,,,,,
182,09/11/24 04:45:18 PM,19.758,,,,,
183,09/11/24 06:45:18 PM,16.046,,,,,
184,09/11/24 08:45:18 PM,13.365,,,,,
185,09/11/24 10:45:18 PM,11.625,,,,,
186,09/12/24 12:45:18 AM,10.161,,,,,
187,09/12/24 02:45:18 AM,9.176,,,,,
188,09/12/24 04:45:18 AM,8.382,,,,,
189,09/12/24 06:45:18 AM,7.582,,,,,
190,09/12/24 08:45:18 AM,9.669,,,,,
191,09/12/24 10:45:18 AM,15.378,,,,,
192,09/12/24 12:45:18 PM,20.519,,,,,
193,09/12/24 02:45:18 PM,23.292,,,,,
194,09/12/24 04:45:18 PM,21.664,,,,,
195,09/12/24 06:45:18 PM,18.140,,,,,
196,09/12/24 08:45:18 PM,15.282,,,,,
197,09/12/24 10:45:18 PM,13.461,,,,,
198,09/13/24 12:45:18 AM,12.013,,,,,
199,09/13/24 02:45:18 AM,11.041,,,,,
200,09/13/24 04:45:18 AM,9.965,,,,,
201,09/13/24 06:45:18 AM,8.978,,,,,
202,09/13/24 08:45:18 AM,10.651,,,,,
203,09/13/24 10:45:18 AM,16.808,,,,,
204,09/13/24 12:45:18 PM,22.046,,,,,
205,09/13/24 02:45:18 PM,24.641,,,,,
206,09/13/24 04:45:18 PM,22.908,,,,,
207,09/13/24 06:45:18 PM,18.331,,,,,
208,09/13/24 08:45:18 PM,15.473,,,,,
209,09/13/24 10:45:18 PM,13.365,,,,,
210,09/14/24 12:45:18 AM,11.819,,,,,
211,09/14/24 02:45:18 AM,10.651,,,,,
212,09/14/24 04:45:18 AM,9.669,,,,,
213,09/14/24 06:45:18 AM,8.879,,,,,
214,09/14/24 08:45:18 AM,10.944,,,,,
215,09/14/24 10:45:18 AM,13.750,,,,,
216,09/14/24 12:45:18 PM,18.331,,,,,
217,09/14/24 02:45:18 PM,22.812,,,,,
218,09/14/24 04:45:18 PM,22.333,,,,,
219,09/14/24 06:45:18 PM,18.806,,,,,
220,09/14/24 08:45:18 PM,15.569,,,,,
221,09/14/24 10:45:18 PM,13.558,,,,,
222,09/15/24 12:45:18 AM,12.013,,,,,
223,09/15/24 02:45:18 AM,10.846,,,,,
224,09/15/24 04:45:18 AM,9.866,,,,,
225,09/15/24 06:45:18 AM,9.077,,,,,
226,09/15/24 08:45:18 AM,11.334,,,,,
227,09/15/24 10:45:18 AM,17.665,,,,,
228,09/15/24 12:45:18 PM,20.138,,,,,
229,09/15/24 02:45:18 PM,19.948,,,,,
230,09/15/24 04:45:18 PM,16.046,,,,,
231,09/15/24 06:45:18 PM,14.134,,,,,
232,09/15/24 08:45:18 PM,11.722,,,,,
233,09/15/24 10:45:18 PM,10.161,,,,,
234,09/16/24 12:45:18 AM,9.275,,,,,
235,09/16/24 02:45:18 AM,8.282,,,,,
236,09/16/24 04:45:18 AM,7.381,,,,,
237,09/16/24 06:45:18 AM,6.674,,,,,
238,09/16/24 08:45:18 AM,8.680,,,,,
239,09/16/24 10:45:18 AM,15.187,,,,,
240,09/16/24 12:45:18 PM,17.379,,,,,
241,09/16/24 02:45:18 PM,15.760,,,,,
242,09/16/24 04:45:18 PM,14.613,,,,,
243,09/16/24 06:45:18 PM,13.173,,,,,
244,09/16/24 08:45:18 PM,10.944,,,,,
245,09/16/24 10:45:18 PM,9.571,,,,,
246,09/17/24 12:45:18 AM,8.581,,,,,
247,09/17/24 02:45:18 AM,7.882,,,,,
248,09/17/24 04:45:18 AM,7.179,,,,,
249,09/17/24 06:45:18 AM,6.775,,,,,
250,09/17/24 08:45:18 AM,9.176,,,,,
251,09/17/24 10:45:18 AM,15.855,,,,,
252,09/17/24 12:45:18 PM,17.475,,,,,
253,09/17/24 02:45:18 PM,14.421,,,,,
254,09/17/24 04:45:18 PM,13.173,,,,,
255,09/17/24 06:45:18 PM,10.553,,,,,
256,09/17/24 08:45:18 PM,8.382,,,,,
257,09/17/24 10:45:18 PM,6.978,,,,,
258,09/18/24 12:45:18 AM,6.064,,,,,
259,09/18/24 02:45:18 AM,5.244,,,,,
260,09/18/24 04:45:18 AM,4.623,,,,,
