"Plot Title: nr.su.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365583, SEN S/N: 20365583)","Coupler Detached (LGR S/N: 20365583)","Bad Battery (LGR S/N: 20365583)","Coupler Attached (LGR S/N: 20365583)","Host Connected (LGR S/N: 20365583)","End Of File (LGR S/N: 20365583)"
1,08/27/24 04:10:20 PM,25.319,,,,,
2,08/27/24 04:10:58 PM,,Logged,,,,
3,08/27/24 06:10:20 PM,17.950,,,,,
4,08/27/24 08:10:20 PM,15.187,,,,,
5,08/27/24 10:10:20 PM,13.269,,,,,
6,08/28/24 12:10:20 AM,11.916,,,,,
7,08/28/24 02:10:20 AM,10.944,,,,,
8,08/28/24 04:10:20 AM,10.063,,,,,
9,08/28/24 06:10:20 AM,9.472,,,,,
10,08/28/24 08:10:20 AM,9.768,,,,,
11,08/28/24 10:10:20 AM,12.980,,,,,
12,08/28/24 12:10:20 PM,16.713,,,,,
13,08/28/24 02:10:20 PM,20.710,,,,,
14,08/28/24 04:10:20 PM,21.091,,,,,
15,08/28/24 06:10:20 PM,18.901,,,,,
16,08/28/24 08:10:20 PM,16.046,,,,,
17,08/28/24 10:10:20 PM,14.517,,,,,
18,08/29/24 12:10:20 AM,13.269,,,,,
19,08/29/24 02:10:20 AM,12.304,,,,,
20,08/29/24 04:10:20 AM,11.334,,,,,
21,08/29/24 06:10:20 AM,10.553,,,,,
22,08/29/24 08:10:20 AM,10.553,,,,,
23,08/29/24 10:10:20 AM,15.378,,,,,
24,08/29/24 12:10:20 PM,20.234,,,,,
25,08/29/24 02:10:20 PM,22.908,,,,,
26,08/29/24 04:10:20 PM,19.758,,,,,
27,08/29/24 06:10:20 PM,18.616,,,,,
28,08/29/24 08:10:20 PM,15.473,,,,,
29,08/29/24 10:10:20 PM,13.558,,,,,
30,08/30/24 12:10:20 AM,12.304,,,,,
31,08/30/24 02:10:20 AM,10.944,,,,,
32,08/30/24 04:10:20 AM,10.063,,,,,
33,08/30/24 06:10:20 AM,8.879,,,,,
34,08/30/24 08:10:20 AM,9.571,,,,,
35,08/30/24 10:10:20 AM,14.421,,,,,
36,08/30/24 12:10:20 PM,18.711,,,,,
37,08/30/24 02:10:20 PM,22.142,,,,,
38,08/30/24 04:10:20 PM,23.773,,,,,
39,08/30/24 06:10:20 PM,20.043,,,,,
40,08/30/24 08:10:20 PM,16.618,,,,,
41,08/30/24 10:10:20 PM,14.230,,,,,
42,08/31/24 12:10:20 AM,12.787,,,,,
43,08/31/24 02:10:20 AM,11.431,,,,,
44,08/31/24 04:10:20 AM,10.455,,,,,
45,08/31/24 06:10:20 AM,9.472,,,,,
46,08/31/24 08:10:20 AM,10.455,,,,,
47,08/31/24 10:10:20 AM,15.187,,,,,
48,08/31/24 12:10:20 PM,20.138,,,,,
49,08/31/24 02:10:20 PM,23.484,,,,,
50,08/31/24 04:10:20 PM,23.677,,,,,
51,08/31/24 06:10:20 PM,20.519,,,,,
52,08/31/24 08:10:20 PM,16.808,,,,,
53,08/31/24 10:10:20 PM,14.613,,,,,
54,09/01/24 12:10:20 AM,13.173,,,,,
55,09/01/24 02:10:20 AM,11.916,,,,,
56,09/01/24 04:10:20 AM,10.944,,,,,
57,09/01/24 06:10:20 AM,10.063,,,,,
58,09/01/24 08:10:20 AM,10.846,,,,,
59,09/01/24 10:10:20 AM,14.996,,,,,
60,09/01/24 12:10:20 PM,19.187,,,,,
61,09/01/24 02:10:20 PM,22.238,,,,,
62,09/01/24 04:10:20 PM,22.717,,,,,
63,09/01/24 06:10:20 PM,19.092,,,,,
64,09/01/24 08:10:20 PM,15.951,,,,,
65,09/01/24 10:10:20 PM,13.750,,,,,
66,09/02/24 12:10:20 AM,12.401,,,,,
67,09/02/24 02:10:20 AM,11.528,,,,,
68,09/02/24 04:10:20 AM,10.748,,,,,
69,09/02/24 06:10:20 AM,10.161,,,,,
70,09/02/24 08:10:20 AM,10.846,,,,,
