"Plot Title: nr.fl.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365594, SEN S/N: 20365594)","Coupler Detached (LGR S/N: 20365594)","Bad Battery (LGR S/N: 20365594)","Coupler Attached (LGR S/N: 20365594)","Host Connected (LGR S/N: 20365594)","End Of File (LGR S/N: 20365594)"
1,08/27/24 05:20:44 PM,25.513,,,,,
2,08/27/24 05:21:07 PM,,Logged,,,,
3,08/27/24 07:20:44 PM,15.664,,,,,
4,08/27/24 09:20:44 PM,13.558,,,,,
5,08/27/24 11:20:44 PM,12.207,,,,,
6,08/28/24 01:20:44 AM,11.139,,,,,
7,08/28/24 03:20:44 AM,10.357,,,,,
8,08/28/24 05:20:44 AM,9.768,,,,,
9,08/28/24 07:20:44 AM,9.373,,,,,
10,08/28/24 09:20:44 AM,10.748,,,,,
11,08/28/24 11:20:44 AM,13.558,,,,,
12,08/28/24 01:20:44 PM,16.808,,,,,
13,08/28/24 03:20:44 PM,18.711,,,,,
14,08/28/24 05:20:44 PM,18.236,,,,,
15,08/28/24 07:20:44 PM,15.855,,,,,
16,08/28/24 09:20:44 PM,14.134,,,,,
17,08/28/24 11:20:44 PM,12.980,,,,,
18,08/29/24 01:20:44 AM,12.110,,,,,
19,08/29/24 03:20:44 AM,11.431,,,,,
20,08/29/24 05:20:44 AM,10.651,,,,,
21,08/29/24 07:20:44 AM,10.063,,,,,
22,08/29/24 09:20:44 AM,11.916,,,,,
23,08/29/24 11:20:44 AM,15.664,,,,,
24,08/29/24 01:20:44 PM,18.521,,,,,
25,08/29/24 03:20:44 PM,18.806,,,,,
26,08/29/24 05:20:44 PM,17.570,,,,,
27,08/29/24 07:20:44 PM,16.237,,,,,
28,08/29/24 09:20:44 PM,13.942,,,,,
29,08/29/24 11:20:44 PM,12.497,,,,,
30,08/30/24 01:20:44 AM,11.431,,,,,
31,08/30/24 03:20:44 AM,10.651,,,,,
32,08/30/24 05:20:44 AM,9.866,,,,,
33,08/30/24 07:20:44 AM,8.879,,,,,
34,08/30/24 09:20:44 AM,11.431,,,,,
35,08/30/24 11:20:44 AM,14.996,,,,,
36,08/30/24 01:20:44 PM,17.379,,,,,
37,08/30/24 03:20:44 PM,20.043,,,,,
38,08/30/24 05:20:44 PM,19.282,,,,,
39,08/30/24 07:20:44 PM,17.094,,,,,
40,08/30/24 09:20:44 PM,14.517,,,,,
41,08/30/24 11:20:44 PM,13.076,,,,,
42,08/31/24 01:20:44 AM,11.819,,,,,
43,08/31/24 03:20:44 AM,10.944,,,,,
44,08/31/24 05:20:44 AM,10.161,,,,,
45,08/31/24 07:20:44 AM,9.571,,,,,
46,08/31/24 09:20:44 AM,12.110,,,,,
47,08/31/24 11:20:44 AM,15.760,,,,,
48,08/31/24 01:20:44 PM,18.616,,,,,
49,08/31/24 03:20:44 PM,20.424,,,,,
50,08/31/24 05:20:44 PM,20.424,,,,,
51,08/31/24 07:20:44 PM,17.855,,,,,
52,08/31/24 09:20:44 PM,15.282,,,,,
53,08/31/24 11:20:44 PM,13.654,,,,,
54,09/01/24 01:20:44 AM,12.497,,,,,
55,09/01/24 03:20:44 AM,11.625,,,,,
56,09/01/24 05:20:44 AM,10.944,,,,,
57,09/01/24 07:20:44 AM,10.357,,,,,
58,09/01/24 09:20:44 AM,12.401,,,,,
59,09/01/24 11:20:44 AM,15.378,,,,,
60,09/01/24 01:20:44 PM,18.045,,,,,
61,09/01/24 03:20:44 PM,19.948,,,,,
62,09/01/24 05:20:44 PM,19.567,,,,,
63,09/01/24 07:20:44 PM,17.094,,,,,
64,09/01/24 09:20:44 PM,14.613,,,,,
65,09/01/24 11:20:44 PM,13.173,,,,,
66,09/02/24 01:20:44 AM,12.110,,,,,
67,09/02/24 03:20:44 AM,11.431,,,,,
68,09/02/24 05:20:44 AM,10.846,,,,,
69,09/02/24 07:20:44 AM,10.553,,,,,
