"Plot Title: nr.fu.A"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20365629, SEN S/N: 20365629)","Coupler Detached (LGR S/N: 20365629)","Bad Battery (LGR S/N: 20365629)","Coupler Attached (LGR S/N: 20365629)","Host Connected (LGR S/N: 20365629)","End Of File (LGR S/N: 20365629)"
1,08/27/24 03:48:41 PM,26.781,,,,,
2,08/27/24 03:49:21 PM,,Logged,,,,
3,08/27/24 05:48:41 PM,18.426,,,,,
4,08/27/24 07:48:41 PM,14.900,,,,,
5,08/27/24 09:48:41 PM,12.401,,,,,
6,08/27/24 11:48:41 PM,10.846,,,,,
7,08/28/24 01:48:41 AM,9.866,,,,,
8,08/28/24 03:48:41 AM,9.176,,,,,
9,08/28/24 05:48:41 AM,8.680,,,,,
10,08/28/24 07:48:41 AM,8.481,,,,,
11,08/28/24 09:48:41 AM,10.651,,,,,
12,08/28/24 11:48:41 AM,14.421,,,,,
13,08/28/24 01:48:41 PM,17.950,,,,,
14,08/28/24 03:48:41 PM,19.567,,,,,
15,08/28/24 05:48:41 PM,18.616,,,,,
16,08/28/24 07:48:41 PM,15.378,,,,,
17,08/28/24 09:48:41 PM,13.365,,,,,
18,08/28/24 11:48:41 PM,12.013,,,,,
19,08/29/24 01:48:41 AM,11.139,,,,,
20,08/29/24 03:48:41 AM,10.357,,,,,
21,08/29/24 05:48:41 AM,9.472,,,,,
22,08/29/24 07:48:41 AM,8.879,,,,,
23,08/29/24 09:48:41 AM,11.819,,,,,
24,08/29/24 11:48:41 AM,16.808,,,,,
25,08/29/24 01:48:41 PM,19.948,,,,,
26,08/29/24 03:48:41 PM,18.901,,,,,
27,08/29/24 05:48:41 PM,18.140,,,,,
28,08/29/24 07:48:41 PM,15.187,,,,,
29,08/29/24 09:48:41 PM,12.497,,,,,
30,08/29/24 11:48:41 PM,10.944,,,,,
31,08/30/24 01:48:41 AM,9.669,,,,,
32,08/30/24 03:48:41 AM,8.680,,,,,
33,08/30/24 05:48:41 AM,7.682,,,,,
34,08/30/24 07:48:41 AM,6.775,,,,,
35,08/30/24 09:48:41 AM,10.651,,,,,
36,08/30/24 11:48:41 AM,15.187,,,,,
37,08/30/24 01:48:41 PM,18.711,,,,,
38,08/30/24 03:48:41 PM,21.378,,,,,
39,08/30/24 05:48:41 PM,19.377,,,,,
40,08/30/24 07:48:41 PM,15.855,,,,,
41,08/30/24 09:48:41 PM,12.787,,,,,
42,08/30/24 11:48:41 PM,11.236,,,,,
43,08/31/24 01:48:41 AM,9.768,,,,,
44,08/31/24 03:48:41 AM,8.680,,,,,
45,08/31/24 05:48:41 AM,7.882,,,,,
46,08/31/24 07:48:41 AM,7.682,,,,,
47,08/31/24 09:48:41 AM,11.431,,,,,
48,08/31/24 11:48:41 AM,16.523,,,,,
49,08/31/24 01:48:41 PM,20.234,,,,,
50,08/31/24 03:48:41 PM,21.760,,,,,
51,08/31/24 05:48:41 PM,20.424,,,,,
52,08/31/24 07:48:41 PM,16.523,,,,,
53,08/31/24 09:48:41 PM,13.654,,,,,
54,08/31/24 11:48:41 PM,11.916,,,,,
55,09/01/24 01:48:41 AM,10.553,,,,,
56,09/01/24 03:48:41 AM,9.571,,,,,
57,09/01/24 05:48:41 AM,8.779,,,,,
58,09/01/24 07:48:41 AM,8.581,,,,,
59,09/01/24 09:48:41 AM,11.722,,,,,
60,09/01/24 11:48:41 AM,15.760,,,,,
61,09/01/24 01:48:41 PM,19.377,,,,,
62,09/01/24 03:48:41 PM,20.901,,,,,
63,09/01/24 05:48:41 PM,18.996,,,,,
64,09/01/24 07:48:41 PM,15.664,,,,,
65,09/01/24 09:48:41 PM,12.883,,,,,
66,09/01/24 11:48:41 PM,11.236,,,,,
67,09/02/24 01:48:41 AM,10.259,,,,,
68,09/02/24 03:48:41 AM,9.669,,,,,
69,09/02/24 05:48:41 AM,9.077,,,,,
70,09/02/24 07:48:41 AM,9.077,,,,,
71,09/02/24 09:48:41 AM,11.528,,,,,
72,09/02/24 11:48:41 AM,15.569,,,,,
73,09/02/24 01:48:41 PM,15.855,,,,,
74,09/02/24 03:48:41 PM,16.332,,,,,
75,09/02/24 05:48:41 PM,15.855,,,,,
76,09/02/24 07:48:41 PM,13.750,,,,,
77,09/02/24 09:48:41 PM,11.334,,,,,
78,09/02/24 11:48:41 PM,9.965,,,,,
79,09/03/24 01:48:41 AM,9.472,,,,,
80,09/03/24 03:48:41 AM,8.978,,,,,
81,09/03/24 05:48:41 AM,8.581,,,,,
82,09/03/24 07:48:41 AM,8.581,,,,,
83,09/03/24 09:48:41 AM,11.139,,,,,
84,09/03/24 11:48:41 AM,15.473,,,,,
85,09/03/24 01:48:41 PM,19.377,,,,,
86,09/03/24 03:48:41 PM,22.908,,,,,
87,09/03/24 05:48:41 PM,20.519,,,,,
88,09/03/24 07:48:41 PM,16.999,,,,,
89,09/03/24 09:48:41 PM,14.421,,,,,
90,09/03/24 11:48:41 PM,12.980,,,,,
91,09/04/24 01:48:41 AM,12.110,,,,,
92,09/04/24 03:48:41 AM,10.651,,,,,
93,09/04/24 05:48:41 AM,9.669,,,,,
94,09/04/24 07:48:41 AM,9.373,,,,,
95,09/04/24 09:48:41 AM,12.401,,,,,
96,09/04/24 11:48:41 AM,13.846,,,,,
97,09/04/24 01:48:41 PM,14.134,,,,,
98,09/04/24 03:48:41 PM,16.046,,,,,
99,09/04/24 05:48:41 PM,16.427,,,,,
100,09/04/24 07:48:41 PM,14.134,,,,,
101,09/04/24 09:48:41 PM,12.497,,,,,
102,09/04/24 11:48:41 PM,9.176,,,,,
103,09/05/24 01:48:41 AM,7.782,,,,,
104,09/05/24 03:48:41 AM,6.978,,,,,
