"Plot Title: 20406037"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406037, SEN S/N: 20406037)","Coupler Detached (LGR S/N: 20406037)","Coupler Attached (LGR S/N: 20406037)","Host Connected (LGR S/N: 20406037)","Stopped (LGR S/N: 20406037)","End Of File (LGR S/N: 20406037)"
1,06/02/25 08:45:26 AM,10.944,,,,,
2,06/02/25 08:45:39 AM,,Logged,,,,
3,06/02/25 10:45:26 AM,9.373,,,,,
4,06/02/25 12:45:26 PM,10.455,,,,,
5,06/02/25 02:45:26 PM,11.528,,,,,
6,06/02/25 04:45:26 PM,12.207,,,,,
7,06/02/25 06:45:26 PM,11.041,,,,,
8,06/02/25 08:45:26 PM,8.481,,,,,
9,06/02/25 10:45:26 PM,6.978,,,,,
10,06/03/25 12:45:26 AM,6.166,,,,,
11,06/03/25 02:45:26 AM,4.727,,,,,
12,06/03/25 04:45:26 AM,4.102,,,,,
13,06/03/25 06:45:26 AM,3.788,,,,,
14,06/03/25 08:45:26 AM,5.860,,,,,
15,06/03/25 10:45:26 AM,7.682,,,,,
16,06/03/25 12:45:26 PM,9.176,,,,,
17,06/03/25 02:45:26 PM,11.819,,,,,
18,06/03/25 04:45:26 PM,8.680,,,,,
19,06/03/25 06:45:26 PM,7.782,,,,,
20,06/03/25 08:45:26 PM,6.370,,,,,
21,06/03/25 10:45:26 PM,5.037,,,,,
22,06/04/25 12:45:26 AM,4.102,,,,,
23,06/04/25 02:45:26 AM,3.788,,,,,
24,06/04/25 04:45:26 AM,2.837,,,,,
25,06/04/25 06:45:26 AM,2.195,,,,,
26,06/04/25 08:45:26 AM,2.837,,,,,
27,06/04/25 10:45:26 AM,7.782,,,,,
28,06/04/25 12:45:26 PM,11.916,,,,,
29,06/04/25 02:45:26 PM,11.722,,,,,
30,06/04/25 04:45:26 PM,12.497,,,,,
31,06/04/25 06:45:26 PM,11.236,,,,,
32,06/04/25 08:45:26 PM,8.978,,,,,
33,06/04/25 10:45:26 PM,6.978,,,,,
34,06/05/25 12:45:26 AM,6.064,,,,,
35,06/05/25 02:45:26 AM,5.347,,,,,
36,06/05/25 04:45:26 AM,4.727,,,,,
37,06/05/25 06:45:26 AM,4.311,,,,,
38,06/05/25 08:45:26 AM,4.311,,,,,
39,06/05/25 10:45:26 AM,7.280,,,,,
40,06/05/25 12:45:26 PM,10.748,,,,,
41,06/05/25 02:45:26 PM,9.965,,,,,
42,06/05/25 04:45:26 PM,8.779,,,,,
43,06/05/25 06:45:26 PM,8.481,,,,,
44,06/05/25 08:45:26 PM,7.381,,,,,
45,06/05/25 10:45:26 PM,5.860,,,,,
46,06/06/25 12:45:26 AM,5.244,,,,,
47,06/06/25 02:45:26 AM,4.623,,,,,
48,06/06/25 04:45:26 AM,4.311,,,,,
49,06/06/25 06:45:26 AM,4.102,,,,,
