"Plot Title: 20406037"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20406037, SEN S/N: 20406037)","Coupler Detached (LGR S/N: 20406037)","Coupler Attached (LGR S/N: 20406037)","Host Connected (LGR S/N: 20406037)","Stopped (LGR S/N: 20406037)","End Of File (LGR S/N: 20406037)"
1,07/03/24 11:18:14 AM,17.189,,,,,
2,07/03/24 11:19:19 AM,,Logged,,,,
3,07/03/24 01:18:14 PM,16.237,,,,,
4,07/03/24 03:18:14 PM,18.711,,,,,
5,07/03/24 05:18:14 PM,17.950,,,,,
6,07/03/24 07:18:14 PM,15.378,,,,,
7,07/03/24 09:18:14 PM,12.401,,,,,
8,07/03/24 11:18:14 PM,10.846,,,,,
9,07/04/24 01:18:14 AM,9.176,,,,,
10,07/04/24 03:18:14 AM,7.782,,,,,
11,07/04/24 05:18:14 AM,6.775,,,,,
12,07/04/24 07:18:14 AM,6.370,,,,,
13,07/04/24 09:18:14 AM,9.275,,,,,
14,07/04/24 11:18:14 AM,13.269,,,,,
15,07/04/24 01:18:14 PM,16.523,,,,,
16,07/04/24 03:18:14 PM,19.092,,,,,
17,07/04/24 05:18:14 PM,18.996,,,,,
18,07/04/24 07:18:14 PM,16.141,,,,,
19,07/04/24 09:18:14 PM,12.594,,,,,
20,07/04/24 11:18:14 PM,10.259,,,,,
21,07/05/24 01:18:14 AM,8.581,,,,,
22,07/05/24 03:18:14 AM,7.179,,,,,
23,07/05/24 05:18:14 AM,6.268,,,,,
24,07/05/24 07:18:14 AM,5.757,,,,,
25,07/05/24 09:18:14 AM,9.373,,,,,
26,07/05/24 11:18:14 AM,13.173,,,,,
27,07/05/24 01:18:14 PM,16.808,,,,,
28,07/05/24 03:18:14 PM,20.615,,,,,
29,07/05/24 05:18:14 PM,19.377,,,,,
30,07/05/24 07:18:14 PM,16.427,,,,,
31,07/05/24 09:18:14 PM,12.883,,,,,
32,07/05/24 11:18:14 PM,10.651,,,,,
33,07/06/24 01:18:14 AM,9.275,,,,,
34,07/06/24 03:18:14 AM,8.581,,,,,
35,07/06/24 05:18:14 AM,7.481,,,,,
36,07/06/24 07:18:14 AM,7.179,,,,,
37,07/06/24 09:18:14 AM,11.041,,,,,
38,07/06/24 11:18:14 AM,15.664,,,,,
39,07/06/24 01:18:14 PM,19.377,,,,,
40,07/06/24 03:18:14 PM,21.282,,,,,
41,07/06/24 05:18:14 PM,20.710,,,,,
42,07/06/24 07:18:14 PM,16.427,,,,,
43,07/06/24 09:18:14 PM,13.461,,,,,
44,07/06/24 11:18:14 PM,12.013,,,,,
45,07/07/24 01:18:14 AM,10.944,,,,,
46,07/07/24 03:18:14 AM,9.373,,,,,
47,07/07/24 05:18:14 AM,7.682,,,,,
48,07/07/24 07:18:14 AM,7.782,,,,,
49,07/07/24 09:18:14 AM,11.431,,,,,
50,07/07/24 11:18:14 AM,16.618,,,,,
51,07/07/24 01:18:14 PM,19.092,,,,,
52,07/07/24 03:18:14 PM,18.426,,,,,
53,07/07/24 05:18:14 PM,16.046,,,,,
54,07/07/24 07:18:14 PM,13.942,,,,,
55,07/07/24 09:18:14 PM,11.819,,,,,
56,07/07/24 11:18:14 PM,9.669,,,,,
57,07/08/24 01:18:14 AM,8.481,,,,,
58,07/08/24 03:18:14 AM,7.079,,,,,
59,07/08/24 05:18:14 AM,5.860,,,,,
60,07/08/24 07:18:14 AM,5.347,,,,,
61,07/08/24 09:18:14 AM,7.983,,,,,
62,07/08/24 11:18:14 AM,11.236,,,,,
63,07/08/24 01:18:14 PM,17.094,,,,,
64,07/08/24 03:18:14 PM,18.711,,,,,
65,07/08/24 05:18:14 PM,19.472,,,,,
66,07/08/24 07:18:14 PM,17.094,,,,,
67,07/08/24 09:18:14 PM,12.980,,,,,
68,07/08/24 11:18:14 PM,10.455,,,,,
69,07/09/24 01:18:14 AM,8.779,,,,,
70,07/09/24 03:18:14 AM,7.983,,,,,
71,07/09/24 05:18:14 AM,7.280,,,,,
72,07/09/24 07:18:14 AM,7.481,,,,,
73,07/09/24 09:18:14 AM,12.013,,,,,
74,07/09/24 11:18:14 AM,15.378,,,,,
75,07/09/24 01:18:14 PM,16.427,,,,,
76,07/09/24 03:18:14 PM,18.236,,,,,
77,07/09/24 05:18:14 PM,14.421,,,,,
78,07/09/24 07:18:14 PM,14.804,,,,,
79,07/09/24 09:18:14 PM,11.819,,,,,
80,07/09/24 11:18:14 PM,9.669,,,,,
81,07/10/24 01:18:14 AM,7.983,,,,,
82,07/10/24 03:18:14 AM,6.775,,,,,
83,07/10/24 05:18:14 AM,6.064,,,,,
84,07/10/24 07:18:14 AM,6.268,,,,,
85,07/10/24 09:18:14 AM,10.846,,,,,
86,07/10/24 11:18:14 AM,16.523,,,,,
87,07/10/24 01:18:14 PM,18.806,,,,,
88,07/10/24 03:18:14 PM,17.189,,,,,
89,07/10/24 05:18:14 PM,17.665,,,,,
90,07/10/24 07:18:14 PM,12.207,,,,,
91,07/10/24 09:18:14 PM,10.357,,,,,
92,07/10/24 11:18:14 PM,8.779,,,,,
93,07/11/24 01:18:14 AM,7.582,,,,,
94,07/11/24 03:18:14 AM,6.775,,,,,
95,07/11/24 05:18:14 AM,6.573,,,,,
96,07/11/24 07:18:14 AM,6.978,,,,,
97,07/11/24 09:18:14 AM,10.553,,,,,
98,07/11/24 11:18:14 AM,13.654,,,,,
99,07/11/24 01:18:14 PM,15.951,,,,,
100,07/11/24 03:18:14 PM,16.046,,,,,
101,07/11/24 05:18:14 PM,16.808,,,,,
102,07/11/24 07:18:14 PM,16.046,,,,,
103,07/11/24 09:18:14 PM,13.750,,,,,
104,07/11/24 11:18:14 PM,11.334,,,,,
105,07/12/24 01:18:14 AM,9.669,,,,,
106,07/12/24 03:18:14 AM,9.176,,,,,
107,07/12/24 05:18:14 AM,9.077,,,,,
108,07/12/24 07:18:14 AM,8.680,,,,,
109,07/12/24 09:18:14 AM,11.819,,,,,
110,07/12/24 11:18:14 AM,15.569,,,,,
111,07/12/24 01:18:14 PM,19.758,,,,,
112,07/12/24 03:18:14 PM,22.812,,,,,
113,07/12/24 05:18:14 PM,23.677,,,,,
114,07/12/24 07:18:14 PM,20.519,,,,,
115,07/12/24 09:18:14 PM,16.713,,,,,
116,07/12/24 11:18:14 PM,14.134,,,,,
117,07/13/24 01:18:14 AM,12.787,,,,,
118,07/13/24 03:18:14 AM,11.916,,,,,
119,07/13/24 05:18:14 AM,11.041,,,,,
120,07/13/24 07:18:14 AM,10.651,,,,,
121,07/13/24 09:18:14 AM,14.134,,,,,
122,07/13/24 11:18:14 AM,19.187,,,,,
123,07/13/24 01:18:14 PM,23.196,,,,,
124,07/13/24 03:18:14 PM,26.879,,,,,
125,07/13/24 05:18:14 PM,25.222,,,,,
126,07/13/24 07:18:14 PM,21.951,,,,,
127,07/13/24 09:18:14 PM,18.045,,,,,
128,07/13/24 11:18:14 PM,15.760,,,,,
129,07/14/24 01:18:14 AM,13.750,,,,,
130,07/14/24 03:18:14 AM,12.690,,,,,
131,07/14/24 05:18:14 AM,11.916,,,,,
132,07/14/24 07:18:14 AM,11.431,,,,,
133,07/14/24 09:18:14 AM,12.980,,,,,
134,07/14/24 11:18:14 AM,17.855,,,,,
135,07/14/24 01:18:14 PM,22.621,,,,,
136,07/14/24 03:18:14 PM,25.416,,,,,
137,07/14/24 05:18:14 PM,21.187,,,,,
138,07/14/24 07:18:14 PM,17.189,,,,,
139,07/14/24 09:18:14 PM,14.230,,,,,
140,07/14/24 11:18:14 PM,12.787,,,,,
141,07/15/24 01:18:14 AM,11.916,,,,,
142,07/15/24 03:18:14 AM,11.334,,,,,
143,07/15/24 05:18:14 AM,10.748,,,,,
144,07/15/24 07:18:14 AM,10.944,,,,,
145,07/15/24 09:18:14 AM,13.173,,,,,
146,07/15/24 11:18:14 AM,16.427,,,,,
147,07/15/24 01:18:14 PM,18.806,,,,,
148,07/15/24 03:18:14 PM,18.426,,,,,
149,07/15/24 05:18:14 PM,17.284,,,,,
150,07/15/24 07:18:14 PM,15.951,,,,,
151,07/15/24 09:18:14 PM,13.942,,,,,
152,07/15/24 11:18:14 PM,12.013,,,,,
153,07/16/24 01:18:14 AM,10.846,,,,,
154,07/16/24 03:18:14 AM,10.357,,,,,
155,07/16/24 05:18:14 AM,10.063,,,,,
156,07/16/24 07:18:14 AM,9.965,,,,,
157,07/16/24 09:18:14 AM,10.553,,,,,
158,07/16/24 11:18:14 AM,11.625,,,,,
159,07/16/24 01:18:14 PM,16.046,,,,,
160,07/16/24 03:18:14 PM,15.282,,,,,
161,07/16/24 05:18:14 PM,15.569,,,,,
162,07/16/24 07:18:14 PM,14.325,,,,,
163,07/16/24 09:18:14 PM,12.013,,,,,
164,07/16/24 11:18:14 PM,10.553,,,,,
165,07/17/24 01:18:14 AM,8.978,,,,,
166,07/17/24 03:18:14 AM,7.782,,,,,
167,07/17/24 05:18:14 AM,6.775,,,,,
168,07/17/24 07:18:14 AM,7.179,,,,,
169,07/17/24 09:18:14 AM,10.553,,,,,
170,07/17/24 11:18:14 AM,16.332,,,,,
