"Plot Title: 20578492"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20578492, SEN S/N: 20578492)","Coupler Detached (LGR S/N: 20578492)","Coupler Attached (LGR S/N: 20578492)","Host Connected (LGR S/N: 20578492)","Stopped (LGR S/N: 20578492)","End Of File (LGR S/N: 20578492)"
1,06/02/25 08:53:12 AM,11.916,,,,,
2,06/02/25 08:53:25 AM,,Logged,,,,
3,06/02/25 10:53:12 AM,9.768,,,,,
4,06/02/25 12:53:12 PM,10.651,,,,,
5,06/02/25 02:53:12 PM,11.625,,,,,
6,06/02/25 04:53:12 PM,11.916,,,,,
7,06/02/25 06:53:12 PM,10.944,,,,,
8,06/02/25 08:53:12 PM,8.879,,,,,
9,06/02/25 10:53:12 PM,7.381,,,,,
10,06/03/25 12:53:12 AM,6.877,,,,,
11,06/03/25 02:53:12 AM,5.655,,,,,
12,06/03/25 04:53:12 AM,5.037,,,,,
13,06/03/25 06:53:12 AM,4.934,,,,,
14,06/03/25 08:53:12 AM,7.582,,,,,
15,06/03/25 10:53:12 AM,9.176,,,,,
16,06/03/25 12:53:12 PM,10.455,,,,,
17,06/03/25 02:53:12 PM,13.654,,,,,
18,06/03/25 04:53:12 PM,10.357,,,,,
19,06/03/25 06:53:12 PM,8.978,,,,,
20,06/03/25 08:53:12 PM,7.582,,,,,
21,06/03/25 10:53:12 PM,6.268,,,,,
22,06/04/25 12:53:12 AM,5.450,,,,,
23,06/04/25 02:53:12 AM,5.141,,,,,
24,06/04/25 04:53:12 AM,4.207,,,,,
25,06/04/25 06:53:12 AM,3.472,,,,,
26,06/04/25 08:53:12 AM,4.623,,,,,
27,06/04/25 10:53:12 AM,10.846,,,,,
28,06/04/25 12:53:12 PM,14.709,,,,,
29,06/04/25 02:53:12 PM,13.750,,,,,
30,06/04/25 04:53:12 PM,13.461,,,,,
31,06/04/25 06:53:12 PM,11.625,,,,,
32,06/04/25 08:53:12 PM,9.669,,,,,
33,06/04/25 10:53:12 PM,7.983,,,,,
34,06/05/25 12:53:12 AM,7.079,,,,,
35,06/05/25 02:53:12 AM,6.370,,,,,
36,06/05/25 04:53:12 AM,5.860,,,,,
37,06/05/25 06:53:12 AM,5.450,,,,,
38,06/05/25 08:53:12 AM,5.757,,,,,
39,06/05/25 10:53:12 AM,8.978,,,,,
40,06/05/25 12:53:12 PM,12.497,,,,,
41,06/05/25 02:53:12 PM,11.819,,,,,
42,06/05/25 04:53:12 PM,9.965,,,,,
43,06/05/25 06:53:12 PM,9.373,,,,,
44,06/05/25 08:53:12 PM,8.282,,,,,
45,06/05/25 10:53:12 PM,6.978,,,,,
46,06/06/25 12:53:12 AM,6.370,,,,,
47,06/06/25 02:53:12 AM,5.860,,,,,
48,06/06/25 04:53:12 AM,5.552,,,,,
49,06/06/25 06:53:12 AM,5.347,,,,,
50,06/06/25 08:53:12 AM,4.831,,,,,
51,06/06/25 10:53:12 AM,5.552,,,,,
52,06/06/25 12:53:12 PM,9.176,,,,,
53,06/06/25 02:53:12 PM,9.275,,,,,
54,06/06/25 04:53:12 PM,9.077,,,,,
55,06/06/25 06:53:12 PM,6.166,,,,,
56,06/06/25 08:53:12 PM,4.831,,,,,
57,06/06/25 10:53:12 PM,4.415,,,,,
58,06/07/25 12:53:12 AM,4.102,,,,,
59,06/07/25 02:53:12 AM,3.578,,,,,
60,06/07/25 04:53:12 AM,3.155,,,,,
61,06/07/25 06:53:12 AM,2.943,,,,,
62,06/07/25 08:53:12 AM,5.037,,,,,
63,06/07/25 10:53:12 AM,8.680,,,,,
64,06/07/25 12:53:12 PM,12.690,,,,,
65,06/07/25 02:53:12 PM,15.091,,,,,
66,06/07/25 04:53:12 PM,14.613,,,,,
67,06/07/25 06:53:12 PM,11.041,,,,,
68,06/07/25 08:53:12 PM,8.680,,,,,
69,06/07/25 10:53:12 PM,7.280,,,,,
70,06/08/25 12:53:12 AM,6.370,,,,,
71,06/08/25 02:53:12 AM,5.860,,,,,
72,06/08/25 04:53:12 AM,5.347,,,,,
73,06/08/25 06:53:12 AM,5.141,,,,,
74,06/08/25 08:53:12 AM,9.275,,,,,
75,06/08/25 10:53:12 AM,13.461,,,,,
76,06/08/25 12:53:12 PM,16.237,,,,,
77,06/08/25 02:53:12 PM,17.855,,,,,
78,06/08/25 04:53:12 PM,16.523,,,,,
79,06/08/25 06:53:12 PM,14.038,,,,,
80,06/08/25 08:53:12 PM,11.139,,,,,
81,06/08/25 10:53:12 PM,9.571,,,,,
82,06/09/25 12:53:12 AM,8.779,,,,,
83,06/09/25 02:53:12 AM,7.381,,,,,
84,06/09/25 04:53:12 AM,6.166,,,,,
85,06/09/25 06:53:12 AM,5.552,,,,,
86,06/09/25 08:53:12 AM,9.669,,,,,
87,06/09/25 10:53:12 AM,13.846,,,,,
88,06/09/25 12:53:12 PM,17.570,,,,,
89,06/09/25 02:53:12 PM,19.282,,,,,
90,06/09/25 04:53:12 PM,18.521,,,,,
91,06/09/25 06:53:12 PM,14.996,,,,,
92,06/09/25 08:53:12 PM,11.916,,,,,
93,06/09/25 10:53:12 PM,9.965,,,,,
94,06/10/25 12:53:12 AM,8.581,,,,,
95,06/10/25 02:53:12 AM,7.381,,,,,
96,06/10/25 04:53:12 AM,6.674,,,,,
97,06/10/25 06:53:12 AM,6.573,,,,,
98,06/10/25 08:53:12 AM,9.373,,,,,
99,06/10/25 10:53:12 AM,13.750,,,,,
100,06/10/25 12:53:12 PM,18.521,,,,,
101,06/10/25 02:53:12 PM,21.282,,,,,
102,06/10/25 04:53:12 PM,20.138,,,,,
103,06/10/25 06:53:12 PM,16.332,,,,,
104,06/10/25 08:53:12 PM,13.846,,,,,
105,06/10/25 10:53:12 PM,11.819,,,,,
