1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 11000000603E4021
Is Mission Active?  true
Mission Start:  Thu Sep 15 11:37:00 MDT 2022
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2135
Total Samples:  2135
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/15/22 11:37:00 AM,C,27.5
9/15/22 3:52:00 PM,C,20.5
9/15/22 8:07:00 PM,C,21
9/16/22 12:22:00 AM,C,21
9/16/22 4:37:00 AM,C,19.5
9/16/22 8:52:00 AM,C,19
9/16/22 1:07:00 PM,C,15.5
9/16/22 5:22:00 PM,C,11.5
9/16/22 9:37:00 PM,C,16.5
9/17/22 1:52:00 AM,C,17
9/17/22 6:07:00 AM,C,17
9/17/22 10:22:00 AM,C,17.5
9/17/22 2:37:00 PM,C,18.5
9/17/22 6:52:00 PM,C,19
9/17/22 11:07:00 PM,C,20.5
9/18/22 3:22:00 AM,C,20
9/18/22 7:37:00 AM,C,18.5
9/18/22 11:52:00 AM,C,30
9/18/22 4:07:00 PM,C,22.5
9/18/22 8:22:00 PM,C,11
9/19/22 12:37:00 AM,C,6.5
9/19/22 4:52:00 AM,C,6
9/19/22 9:07:00 AM,C,8.5
9/19/22 1:22:00 PM,C,19
9/19/22 5:37:00 PM,C,20.5
9/19/22 9:52:00 PM,C,10
9/20/22 2:07:00 AM,C,7.5
9/20/22 6:22:00 AM,C,5.5
9/20/22 10:37:00 AM,C,15.5
9/20/22 2:52:00 PM,C,25
9/20/22 7:07:00 PM,C,15
9/20/22 11:22:00 PM,C,10.5
9/21/22 3:37:00 AM,C,8.5
9/21/22 7:52:00 AM,C,6
9/21/22 12:07:00 PM,C,14.5
9/21/22 4:22:00 PM,C,11
9/21/22 8:37:00 PM,C,8
9/22/22 12:52:00 AM,C,7
9/22/22 5:07:00 AM,C,5.5
9/22/22 9:22:00 AM,C,6.5
9/22/22 1:37:00 PM,C,11
9/22/22 5:52:00 PM,C,10.5
9/22/22 10:07:00 PM,C,5.5
9/23/22 2:22:00 AM,C,3.5
9/23/22 6:37:00 AM,C,2
