1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3400000032B93B21
Is Mission Active?  true
Mission Start:  Tue Jun 27 05:41:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  527
Total Samples:  4893
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/27/23 5:41:00 AM,C,24.5
6/27/23 9:56:00 AM,C,19
6/27/23 2:11:00 PM,C,28
6/27/23 6:26:00 PM,C,20.5
6/27/23 10:41:00 PM,C,10.5
6/28/23 2:56:00 AM,C,7
6/28/23 7:11:00 AM,C,8.5
6/28/23 11:26:00 AM,C,25.5
6/28/23 3:41:00 PM,C,27.5
6/28/23 7:56:00 PM,C,15.5
6/29/23 12:11:00 AM,C,9.5
6/29/23 4:26:00 AM,C,9.5
6/29/23 8:41:00 AM,C,14
6/29/23 12:56:00 PM,C,18.5
6/29/23 5:11:00 PM,C,17
6/29/23 9:26:00 PM,C,10
6/30/23 1:41:00 AM,C,9
6/30/23 5:56:00 AM,C,5.5
6/30/23 10:11:00 AM,C,10
6/30/23 2:26:00 PM,C,13
6/30/23 6:41:00 PM,C,11
6/30/23 10:56:00 PM,C,6
7/1/23 3:11:00 AM,C,4
7/1/23 7:26:00 AM,C,6
7/1/23 11:41:00 AM,C,23
7/1/23 3:56:00 PM,C,31
7/1/23 8:11:00 PM,C,12
7/2/23 12:26:00 AM,C,7.5
7/2/23 4:41:00 AM,C,5.5
7/2/23 8:56:00 AM,C,14
7/2/23 1:11:00 PM,C,24.5
7/2/23 5:26:00 PM,C,23.5
7/2/23 9:41:00 PM,C,11
7/3/23 1:56:00 AM,C,7.5
7/3/23 6:11:00 AM,C,5.5
7/3/23 10:26:00 AM,C,24
7/3/23 2:41:00 PM,C,35
7/3/23 6:56:00 PM,C,19
7/3/23 11:11:00 PM,C,12
7/4/23 3:26:00 AM,C,9
7/4/23 7:41:00 AM,C,8
7/4/23 11:56:00 AM,C,22.5
7/4/23 4:11:00 PM,C,20.5
7/4/23 8:26:00 PM,C,9
7/5/23 12:41:00 AM,C,8.5
7/5/23 4:56:00 AM,C,6.5
7/5/23 9:11:00 AM,C,13.5
7/5/23 1:26:00 PM,C,24.5
7/5/23 5:41:00 PM,C,7.5
7/5/23 9:56:00 PM,C,6
7/6/23 2:11:00 AM,C,5
7/6/23 6:26:00 AM,C,4.5
7/6/23 10:41:00 AM,C,15
7/6/23 2:56:00 PM,C,18
7/6/23 7:11:00 PM,C,13.5
7/6/23 11:26:00 PM,C,7.5
7/7/23 3:41:00 AM,C,5.5
7/7/23 7:56:00 AM,C,9.5
7/7/23 12:11:00 PM,C,21
7/7/23 4:26:00 PM,C,12
7/7/23 8:41:00 PM,C,8.5
7/8/23 12:56:00 AM,C,7
7/8/23 5:11:00 AM,C,6.5
7/8/23 9:26:00 AM,C,17
7/8/23 1:41:00 PM,C,24
7/8/23 5:56:00 PM,C,15
7/8/23 10:11:00 PM,C,8.5
7/9/23 2:26:00 AM,C,7
7/9/23 6:41:00 AM,C,6.5
7/9/23 10:56:00 AM,C,20
7/9/23 3:11:00 PM,C,23.5
7/9/23 7:26:00 PM,C,16.5
7/9/23 11:41:00 PM,C,9
7/10/23 3:56:00 AM,C,7
7/10/23 8:11:00 AM,C,12
7/10/23 12:26:00 PM,C,25.5
7/10/23 4:41:00 PM,C,27.5
7/10/23 8:56:00 PM,C,12.5
7/11/23 1:11:00 AM,C,9.5
7/11/23 5:26:00 AM,C,7.5
7/11/23 9:41:00 AM,C,17.5
7/11/23 1:56:00 PM,C,31.5
7/11/23 6:11:00 PM,C,23.5
7/11/23 10:26:00 PM,C,12
