1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F300000060175621
Is Mission Active?  true
Mission Start:  Sun Jul 24 20:22:00 MDT 2022
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2433
Total Samples:  2433
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/24/22 8:22:00 PM,C,25
7/25/22 12:37:00 AM,C,20.5
7/25/22 4:52:00 AM,C,20
7/25/22 9:07:00 AM,C,15
7/25/22 1:22:00 PM,C,19.5
7/25/22 5:37:00 PM,C,22
7/25/22 9:52:00 PM,C,20.5
7/26/22 2:07:00 AM,C,21
7/26/22 6:22:00 AM,C,20.5
7/26/22 10:37:00 AM,C,20
7/26/22 2:52:00 PM,C,19
7/26/22 7:07:00 PM,C,19
7/26/22 11:22:00 PM,C,20.5
7/27/22 3:37:00 AM,C,20
7/27/22 7:52:00 AM,C,19.5
7/27/22 12:07:00 PM,C,23
7/27/22 4:22:00 PM,C,23
7/27/22 8:37:00 PM,C,22.5
7/28/22 12:52:00 AM,C,22.5
7/28/22 5:07:00 AM,C,22
7/28/22 9:22:00 AM,C,22
7/28/22 1:37:00 PM,C,22.5
7/28/22 5:52:00 PM,C,22.5
7/28/22 10:07:00 PM,C,22
7/29/22 2:22:00 AM,C,22
7/29/22 6:37:00 AM,C,21.5
7/29/22 10:52:00 AM,C,22.5
7/29/22 3:07:00 PM,C,22.5
7/29/22 7:22:00 PM,C,22.5
7/29/22 11:37:00 PM,C,22.5
7/30/22 3:52:00 AM,C,22
7/30/22 8:07:00 AM,C,22.5
7/30/22 12:22:00 PM,C,23
7/30/22 4:37:00 PM,C,22.5
7/30/22 8:52:00 PM,C,22.5
7/31/22 1:07:00 AM,C,22.5
7/31/22 5:22:00 AM,C,22
7/31/22 9:37:00 AM,C,23
7/31/22 1:52:00 PM,C,23
7/31/22 6:07:00 PM,C,22.5
7/31/22 10:22:00 PM,C,22.5
8/1/22 2:37:00 AM,C,22.5
8/1/22 6:52:00 AM,C,22.5
8/1/22 11:07:00 AM,C,23
8/1/22 3:22:00 PM,C,23
8/1/22 7:37:00 PM,C,22.5
8/1/22 11:52:00 PM,C,22.5
8/2/22 4:07:00 AM,C,22.5
8/2/22 8:22:00 AM,C,23
8/2/22 12:37:00 PM,C,23
8/2/22 4:52:00 PM,C,23
8/2/22 9:07:00 PM,C,22.5
8/3/22 1:22:00 AM,C,22.5
8/3/22 5:37:00 AM,C,22.5
8/3/22 9:52:00 AM,C,23
8/3/22 2:07:00 PM,C,23
8/3/22 6:22:00 PM,C,22.5
8/3/22 10:37:00 PM,C,22.5
8/4/22 2:52:00 AM,C,22.5
8/4/22 7:07:00 AM,C,22.5
8/4/22 11:22:00 AM,C,23
8/4/22 3:37:00 PM,C,23
8/4/22 7:52:00 PM,C,23
8/5/22 12:07:00 AM,C,22.5
8/5/22 4:22:00 AM,C,22.5
8/5/22 8:37:00 AM,C,23
8/5/22 12:52:00 PM,C,23
8/5/22 5:07:00 PM,C,23
8/5/22 9:22:00 PM,C,22.5
8/6/22 1:37:00 AM,C,22.5
8/6/22 5:52:00 AM,C,22.5
8/6/22 10:07:00 AM,C,23
8/6/22 2:22:00 PM,C,23
8/6/22 6:37:00 PM,C,23
8/6/22 10:52:00 PM,C,22.5
8/7/22 3:07:00 AM,C,22.5
8/7/22 7:22:00 AM,C,22.5
8/7/22 11:37:00 AM,C,23
8/7/22 3:52:00 PM,C,23
8/7/22 8:07:00 PM,C,22.5
8/8/22 12:22:00 AM,C,22.5
8/8/22 4:37:00 AM,C,22
8/8/22 8:52:00 AM,C,22.5
8/8/22 1:07:00 PM,C,23
8/8/22 5:22:00 PM,C,23
8/8/22 9:37:00 PM,C,22.5
8/9/22 1:52:00 AM,C,22.5
8/9/22 6:07:00 AM,C,22.5
8/9/22 10:22:00 AM,C,23
8/9/22 2:37:00 PM,C,23
8/9/22 6:52:00 PM,C,23
8/9/22 11:07:00 PM,C,22.5
8/10/22 3:22:00 AM,C,22.5
8/10/22 7:37:00 AM,C,23
8/10/22 11:52:00 AM,C,23
8/10/22 4:07:00 PM,C,23
8/10/22 8:22:00 PM,C,22.5
8/11/22 12:37:00 AM,C,22.5
8/11/22 4:52:00 AM,C,22.5
8/11/22 9:07:00 AM,C,23
8/11/22 1:22:00 PM,C,23
8/11/22 5:37:00 PM,C,23.5
8/11/22 9:52:00 PM,C,23.5
8/12/22 2:07:00 AM,C,22.5
8/12/22 6:22:00 AM,C,22.5
8/12/22 10:37:00 AM,C,23
8/12/22 2:52:00 PM,C,23
8/12/22 7:07:00 PM,C,22.5
8/12/22 11:22:00 PM,C,22.5
8/13/22 3:37:00 AM,C,22.5
8/13/22 7:52:00 AM,C,22.5
8/13/22 12:07:00 PM,C,23
8/13/22 4:22:00 PM,C,24
8/13/22 8:37:00 PM,C,31
8/14/22 12:52:00 AM,C,27.5
8/14/22 5:07:00 AM,C,24
8/14/22 9:22:00 AM,C,21.5
8/14/22 1:37:00 PM,C,23.5
8/14/22 5:52:00 PM,C,25
8/14/22 10:07:00 PM,C,22.5
8/15/22 2:22:00 AM,C,19.5
8/15/22 6:37:00 AM,C,17
8/15/22 10:52:00 AM,C,15.5
8/15/22 3:07:00 PM,C,19
8/15/22 7:22:00 PM,C,17.5
8/15/22 11:37:00 PM,C,15.5
8/16/22 3:52:00 AM,C,14
8/16/22 8:07:00 AM,C,12.5
8/16/22 12:22:00 PM,C,13.5
8/16/22 4:37:00 PM,C,16.5
8/16/22 8:52:00 PM,C,15.5
8/17/22 1:07:00 AM,C,13.5
8/17/22 5:22:00 AM,C,11.5
8/17/22 9:37:00 AM,C,10.5
8/17/22 1:52:00 PM,C,13
8/17/22 6:07:00 PM,C,15
8/17/22 10:22:00 PM,C,17
8/18/22 2:37:00 AM,C,13.5
8/18/22 6:52:00 AM,C,10
8/18/22 11:07:00 AM,C,9.5
8/18/22 3:22:00 PM,C,11
8/18/22 7:37:00 PM,C,12.5
8/18/22 11:52:00 PM,C,12.5
