1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 930000001D1A8A21
Is Mission Active?  true
Mission Start:  Mon Aug 21 20:51:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  3595
Total Samples:  13851
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/21/23, 8:51:00 PM,C,27
8/22/23, 1:06:00 AM,C,21.5
8/22/23, 5:21:00 AM,C,20.5
8/22/23, 9:36:00 AM,C,17.5
8/22/23, 1:51:00 PM,C,19.5
8/22/23, 6:06:00 PM,C,18
8/22/23, 10:21:00 PM,C,10
8/23/23, 2:36:00 AM,C,9
8/23/23, 6:51:00 AM,C,8
8/23/23, 11:06:00 AM,C,22
8/23/23, 3:21:00 PM,C,17
8/23/23, 7:36:00 PM,C,14
8/23/23, 11:51:00 PM,C,10.5
8/24/23, 4:06:00 AM,C,10
8/24/23, 8:21:00 AM,C,12
8/24/23, 12:36:00 PM,C,23.5
8/24/23, 4:51:00 PM,C,22
8/24/23, 9:06:00 PM,C,10
8/25/23, 1:21:00 AM,C,10.5
8/25/23, 5:36:00 AM,C,9.5
8/25/23, 9:51:00 AM,C,10.5
8/25/23, 2:06:00 PM,C,13.5
8/25/23, 6:21:00 PM,C,11.5
8/25/23, 10:36:00 PM,C,9
8/26/23, 2:51:00 AM,C,8.5
8/26/23, 7:06:00 AM,C,7
8/26/23, 11:21:00 AM,C,18.5
8/26/23, 3:36:00 PM,C,24
8/26/23, 7:51:00 PM,C,14
8/27/23, 12:06:00 AM,C,9.5
8/27/23, 4:21:00 AM,C,8.5
8/27/23, 8:36:00 AM,C,10.5
8/27/23, 12:51:00 PM,C,19
8/27/23, 5:06:00 PM,C,16.5
8/27/23, 9:21:00 PM,C,10
8/28/23, 1:36:00 AM,C,9
8/28/23, 5:51:00 AM,C,7
8/28/23, 10:06:00 AM,C,15.5
8/28/23, 2:21:00 PM,C,16.5
8/28/23, 6:36:00 PM,C,13.5
8/28/23, 10:51:00 PM,C,8
8/29/23, 3:06:00 AM,C,5.5
8/29/23, 7:21:00 AM,C,4.5
8/29/23, 11:36:00 AM,C,20.5
8/29/23, 3:51:00 PM,C,24
8/29/23, 8:06:00 PM,C,11.5
8/30/23, 12:21:00 AM,C,7.5
8/30/23, 4:36:00 AM,C,6.5
8/30/23, 8:51:00 AM,C,10
8/30/23, 1:06:00 PM,C,22
8/30/23, 5:21:00 PM,C,22
8/30/23, 9:36:00 PM,C,11
8/31/23, 1:51:00 AM,C,9
8/31/23, 6:06:00 AM,C,6.5
8/31/23, 10:21:00 AM,C,15
8/31/23, 2:36:00 PM,C,26.5
8/31/23, 6:51:00 PM,C,20
8/31/23, 11:06:00 PM,C,10.5
9/1/23, 3:21:00 AM,C,9
9/1/23, 7:36:00 AM,C,9
9/1/23, 11:51:00 AM,C,24.5
9/1/23, 4:06:00 PM,C,22.5
9/1/23, 8:21:00 PM,C,13.5
9/2/23, 12:36:00 AM,C,9.5
9/2/23, 4:51:00 AM,C,8.5
9/2/23, 9:06:00 AM,C,14
9/2/23, 1:21:00 PM,C,23
9/2/23, 5:36:00 PM,C,18.5
9/2/23, 9:51:00 PM,C,11
9/3/23, 2:06:00 AM,C,9.5
9/3/23, 6:21:00 AM,C,8
9/3/23, 10:36:00 AM,C,16
9/3/23, 2:51:00 PM,C,7.5
9/3/23, 7:06:00 PM,C,9.5
9/3/23, 11:21:00 PM,C,7
9/4/23, 3:36:00 AM,C,6
9/4/23, 7:51:00 AM,C,6
9/4/23, 12:06:00 PM,C,15
9/4/23, 4:21:00 PM,C,16
9/4/23, 8:36:00 PM,C,7.5
9/5/23, 12:51:00 AM,C,5
9/5/23, 5:06:00 AM,C,4
9/5/23, 9:21:00 AM,C,9
9/5/23, 1:36:00 PM,C,21
9/5/23, 5:51:00 PM,C,18
9/5/23, 10:06:00 PM,C,7.5
9/6/23, 2:21:00 AM,C,6
9/6/23, 6:36:00 AM,C,5.5
9/6/23, 10:51:00 AM,C,15
9/6/23, 3:06:00 PM,C,24
9/6/23, 7:21:00 PM,C,12.5
9/6/23, 11:36:00 PM,C,7.5
9/7/23, 3:51:00 AM,C,6.5
9/7/23, 8:06:00 AM,C,6.5
9/7/23, 12:21:00 PM,C,16.5
9/7/23, 4:36:00 PM,C,20.5
9/7/23, 8:51:00 PM,C,8.5
9/8/23, 1:06:00 AM,C,6
9/8/23, 5:21:00 AM,C,5
9/8/23, 9:36:00 AM,C,12
9/8/23, 1:51:00 PM,C,23.5
9/8/23, 6:06:00 PM,C,18.5
9/8/23, 10:21:00 PM,C,7.5
9/9/23, 2:36:00 AM,C,4.5
9/9/23, 6:51:00 AM,C,4
9/9/23, 11:06:00 AM,C,18
9/9/23, 3:21:00 PM,C,24
9/9/23, 7:36:00 PM,C,11
9/9/23, 11:51:00 PM,C,7.5
9/10/23, 4:06:00 AM,C,6.5
9/10/23, 8:21:00 AM,C,7.5
9/10/23, 12:36:00 PM,C,12
9/10/23, 4:51:00 PM,C,9.5
9/10/23, 9:06:00 PM,C,6.5
9/11/23, 1:21:00 AM,C,6
9/11/23, 5:36:00 AM,C,5
9/11/23, 9:51:00 AM,C,10
9/11/23, 2:06:00 PM,C,10.5
9/11/23, 6:21:00 PM,C,9.5
9/11/23, 10:36:00 PM,C,5.5
9/12/23, 2:51:00 AM,C,3
9/12/23, 7:06:00 AM,C,2
9/12/23, 11:21:00 AM,C,15.5
9/12/23, 3:36:00 PM,C,19.5
9/12/23, 7:51:00 PM,C,8
9/13/23, 12:06:00 AM,C,5
9/13/23, 4:21:00 AM,C,3
9/13/23, 8:36:00 AM,C,5.5
9/13/23, 12:51:00 PM,C,15
9/13/23, 5:06:00 PM,C,16
9/13/23, 9:21:00 PM,C,6
9/14/23, 1:36:00 AM,C,4
9/14/23, 5:51:00 AM,C,3.5
9/14/23, 10:06:00 AM,C,8.5
9/14/23, 2:21:00 PM,C,4
9/14/23, 6:36:00 PM,C,6.5
9/14/23, 10:51:00 PM,C,5.5
9/15/23, 3:06:00 AM,C,5
9/15/23, 7:21:00 AM,C,4.5
9/15/23, 11:36:00 AM,C,7
9/15/23, 3:51:00 PM,C,10
9/15/23, 8:06:00 PM,C,4
9/16/23, 12:21:00 AM,C,1.5
9/16/23, 4:36:00 AM,C,0
9/16/23, 8:51:00 AM,C,1.5
9/16/23, 1:06:00 PM,C,19
9/16/23, 5:21:00 PM,C,17
9/16/23, 9:36:00 PM,C,5.5
9/17/23, 1:51:00 AM,C,2.5
9/17/23, 6:06:00 AM,C,2
9/17/23, 10:21:00 AM,C,10
9/17/23, 2:36:00 PM,C,19
9/17/23, 6:51:00 PM,C,10
9/17/23, 11:06:00 PM,C,6
9/18/23, 3:21:00 AM,C,3.5
9/18/23, 7:36:00 AM,C,3.5
9/18/23, 11:51:00 AM,C,12.5
9/18/23, 4:06:00 PM,C,15
9/18/23, 8:21:00 PM,C,5.5
9/19/23, 12:36:00 AM,C,4.5
9/19/23, 4:51:00 AM,C,3.5
9/19/23, 9:06:00 AM,C,4.5
9/19/23, 1:21:00 PM,C,17.5
9/19/23, 5:36:00 PM,C,11
9/19/23, 9:51:00 PM,C,5.5
9/20/23, 2:06:00 AM,C,3.5
9/20/23, 6:21:00 AM,C,3
9/20/23, 10:36:00 AM,C,11
9/20/23, 2:51:00 PM,C,17
9/20/23, 7:06:00 PM,C,8
9/20/23, 11:21:00 PM,C,4.5
9/21/23, 3:36:00 AM,C,2.5
9/21/23, 7:51:00 AM,C,3
9/21/23, 12:06:00 PM,C,16
9/21/23, 4:21:00 PM,C,15.5
9/21/23, 8:36:00 PM,C,5.5
9/22/23, 12:51:00 AM,C,3
9/22/23, 5:06:00 AM,C,2
9/22/23, 9:21:00 AM,C,6
9/22/23, 1:36:00 PM,C,18
9/22/23, 5:51:00 PM,C,14
9/22/23, 10:06:00 PM,C,4.5
9/23/23, 2:21:00 AM,C,2
9/23/23, 6:36:00 AM,C,0
9/23/23, 10:51:00 AM,C,6
9/23/23, 3:06:00 PM,C,12.5
9/23/23, 7:21:00 PM,C,5.5
9/23/23, 11:36:00 PM,C,2
9/24/23, 3:51:00 AM,C,1
9/24/23, 8:06:00 AM,C,1.5
9/24/23, 12:21:00 PM,C,15
9/24/23, 4:36:00 PM,C,17.5
9/24/23, 8:51:00 PM,C,4
9/25/23, 1:06:00 AM,C,1
9/25/23, 5:21:00 AM,C,0.5
9/25/23, 9:36:00 AM,C,7.5
9/25/23, 1:51:00 PM,C,22.5
9/25/23, 6:06:00 PM,C,14
9/25/23, 10:21:00 PM,C,5.5
9/26/23, 2:36:00 AM,C,3.5
9/26/23, 6:51:00 AM,C,3
9/26/23, 11:06:00 AM,C,14
9/26/23, 3:21:00 PM,C,23
9/26/23, 7:36:00 PM,C,8
9/26/23, 11:51:00 PM,C,5
9/27/23, 4:06:00 AM,C,3
9/27/23, 8:21:00 AM,C,5
9/27/23, 12:36:00 PM,C,20.5
9/27/23, 4:51:00 PM,C,20.5
9/27/23, 9:06:00 PM,C,7.5
9/28/23, 1:21:00 AM,C,5.5
9/28/23, 5:36:00 AM,C,5.5
9/28/23, 9:51:00 AM,C,12
9/28/23, 2:06:00 PM,C,24
9/28/23, 6:21:00 PM,C,12
9/28/23, 10:36:00 PM,C,7
9/29/23, 2:51:00 AM,C,4.5
9/29/23, 7:06:00 AM,C,4.5
9/29/23, 11:21:00 AM,C,18
9/29/23, 3:36:00 PM,C,23.5
9/29/23, 7:51:00 PM,C,8
9/30/23, 12:06:00 AM,C,5.5
9/30/23, 4:21:00 AM,C,4
9/30/23, 8:36:00 AM,C,6
9/30/23, 12:51:00 PM,C,21.5
9/30/23, 5:06:00 PM,C,10.5
9/30/23, 9:21:00 PM,C,5.5
10/1/23, 1:36:00 AM,C,6
10/1/23, 5:51:00 AM,C,4.5
10/1/23, 10:06:00 AM,C,13
10/1/23, 2:21:00 PM,C,16.5
10/1/23, 6:36:00 PM,C,9.5
10/1/23, 10:51:00 PM,C,5
10/2/23, 3:06:00 AM,C,3.5
10/2/23, 7:21:00 AM,C,4
10/2/23, 11:36:00 AM,C,15.5
10/2/23, 3:51:00 PM,C,11
10/2/23, 8:06:00 PM,C,5.5
10/3/23, 12:21:00 AM,C,3
10/3/23, 4:36:00 AM,C,0.5
10/3/23, 8:51:00 AM,C,0.5
10/3/23, 1:06:00 PM,C,6
10/3/23, 5:21:00 PM,C,10.5
10/3/23, 9:36:00 PM,C,1
10/4/23, 1:51:00 AM,C,1
10/4/23, 6:06:00 AM,C,0.5
10/4/23, 10:21:00 AM,C,6.5
10/4/23, 2:36:00 PM,C,13
10/4/23, 6:51:00 PM,C,4
10/4/23, 11:06:00 PM,C,1.5
10/5/23, 3:21:00 AM,C,1
10/5/23, 7:36:00 AM,C,0.5
10/5/23, 11:51:00 AM,C,11.5
10/5/23, 4:06:00 PM,C,15
10/5/23, 8:21:00 PM,C,3.5
10/6/23, 12:36:00 AM,C,1
10/6/23, 4:51:00 AM,C,2
10/6/23, 9:06:00 AM,C,2.5
10/6/23, 1:21:00 PM,C,13
10/6/23, 5:36:00 PM,C,13
10/6/23, 9:51:00 PM,C,2.5
10/7/23, 2:06:00 AM,C,2.5
10/7/23, 6:21:00 AM,C,1
10/7/23, 10:36:00 AM,C,11
10/7/23, 2:51:00 PM,C,20.5
10/7/23, 7:06:00 PM,C,5.5
10/7/23, 11:21:00 PM,C,1.5
10/8/23, 3:36:00 AM,C,2
10/8/23, 7:51:00 AM,C,2
10/8/23, 12:06:00 PM,C,16
10/8/23, 4:21:00 PM,C,19.5
10/8/23, 8:36:00 PM,C,4
10/9/23, 12:51:00 AM,C,0.5
10/9/23, 5:06:00 AM,C,2
10/9/23, 9:21:00 AM,C,5.5
10/9/23, 1:36:00 PM,C,18.5
10/9/23, 5:51:00 PM,C,10.5
10/9/23, 10:06:00 PM,C,2
10/10/23, 2:21:00 AM,C,0.5
10/10/23, 6:36:00 AM,C,-1.5
10/10/23, 10:51:00 AM,C,11.5
10/10/23, 3:06:00 PM,C,18
10/10/23, 7:21:00 PM,C,6
10/10/23, 11:36:00 PM,C,2.5
10/11/23, 3:51:00 AM,C,2
10/11/23, 8:06:00 AM,C,2.5
10/11/23, 12:21:00 PM,C,9.5
10/11/23, 4:36:00 PM,C,3.5
10/11/23, 8:51:00 PM,C,2
10/12/23, 1:06:00 AM,C,1.5
10/12/23, 5:21:00 AM,C,0.5
10/12/23, 9:36:00 AM,C,0.5
10/12/23, 1:51:00 PM,C,1.5
10/12/23, 6:06:00 PM,C,-0.5
10/12/23, 10:21:00 PM,C,-0.5
10/13/23, 2:36:00 AM,C,-1
10/13/23, 6:51:00 AM,C,-2
10/13/23, 11:06:00 AM,C,1.5
10/13/23, 3:21:00 PM,C,13
10/13/23, 7:36:00 PM,C,-0.5
10/13/23, 11:51:00 PM,C,-1.5
10/14/23, 4:06:00 AM,C,-1
10/14/23, 8:21:00 AM,C,0
10/14/23, 12:36:00 PM,C,4
10/14/23, 4:51:00 PM,C,9
10/14/23, 9:06:00 PM,C,0
10/15/23, 1:21:00 AM,C,-1.5
10/15/23, 5:36:00 AM,C,-1.5
10/15/23, 9:51:00 AM,C,2.5
10/15/23, 2:06:00 PM,C,13.5
10/15/23, 6:21:00 PM,C,4.5
10/15/23, 10:36:00 PM,C,0.5
10/16/23, 2:51:00 AM,C,0.5
10/16/23, 7:06:00 AM,C,-0.5
10/16/23, 11:21:00 AM,C,10.5
10/16/23, 3:36:00 PM,C,15
10/16/23, 7:51:00 PM,C,3.5
10/17/23, 12:06:00 AM,C,3
10/17/23, 4:21:00 AM,C,3
10/17/23, 8:36:00 AM,C,3.5
10/17/23, 12:51:00 PM,C,12.5
10/17/23, 5:06:00 PM,C,12
10/17/23, 9:21:00 PM,C,4.5
10/18/23, 1:36:00 AM,C,3
10/18/23, 5:51:00 AM,C,1
10/18/23, 10:06:00 AM,C,5
10/18/23, 2:21:00 PM,C,9.5
10/18/23, 6:36:00 PM,C,5
