1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 14000000604C4521
Is Mission Active?  true
Mission Start:  Mon Aug 21 20:40:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  3595
Total Samples:  3595
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/21/23, 8:40:00 PM,C,26.5
8/22/23, 12:55:00 AM,C,22
8/22/23, 5:10:00 AM,C,21
8/22/23, 9:25:00 AM,C,32.5
8/22/23, 1:40:00 PM,C,19.5
8/22/23, 5:55:00 PM,C,19
8/22/23, 10:10:00 PM,C,11
8/23/23, 2:25:00 AM,C,9.5
8/23/23, 6:40:00 AM,C,8.5
8/23/23, 10:55:00 AM,C,22.5
8/23/23, 3:10:00 PM,C,17.5
8/23/23, 7:25:00 PM,C,15
8/23/23, 11:40:00 PM,C,11
8/24/23, 3:55:00 AM,C,10
8/24/23, 8:10:00 AM,C,11
8/24/23, 12:25:00 PM,C,23
8/24/23, 4:40:00 PM,C,22
8/24/23, 8:55:00 PM,C,10.5
8/25/23, 1:10:00 AM,C,10.5
8/25/23, 5:25:00 AM,C,9.5
8/25/23, 9:40:00 AM,C,10.5
8/25/23, 1:55:00 PM,C,14
8/25/23, 6:10:00 PM,C,11
8/25/23, 10:25:00 PM,C,9.5
8/26/23, 2:40:00 AM,C,8.5
8/26/23, 6:55:00 AM,C,7.5
8/26/23, 11:10:00 AM,C,17
8/26/23, 3:25:00 PM,C,24
8/26/23, 7:40:00 PM,C,14.5
8/26/23, 11:55:00 PM,C,9.5
8/27/23, 4:10:00 AM,C,8.5
8/27/23, 8:25:00 AM,C,10.5
8/27/23, 12:40:00 PM,C,18.5
8/27/23, 4:55:00 PM,C,17
8/27/23, 9:10:00 PM,C,9.5
8/28/23, 1:25:00 AM,C,9
8/28/23, 5:40:00 AM,C,7
8/28/23, 9:55:00 AM,C,14.5
8/28/23, 2:10:00 PM,C,15
8/28/23, 6:25:00 PM,C,14
8/28/23, 10:40:00 PM,C,7.5
8/29/23, 2:55:00 AM,C,5.5
8/29/23, 7:10:00 AM,C,4
8/29/23, 11:25:00 AM,C,19
8/29/23, 3:40:00 PM,C,24
8/29/23, 7:55:00 PM,C,13
8/30/23, 12:10:00 AM,C,8
8/30/23, 4:25:00 AM,C,7
8/30/23, 8:40:00 AM,C,10
8/30/23, 12:55:00 PM,C,23
8/30/23, 5:10:00 PM,C,23
8/30/23, 9:25:00 PM,C,11.5
8/31/23, 1:40:00 AM,C,9.5
8/31/23, 5:55:00 AM,C,6.5
8/31/23, 10:10:00 AM,C,14.5
8/31/23, 2:25:00 PM,C,25.5
8/31/23, 6:40:00 PM,C,22
8/31/23, 10:55:00 PM,C,11
9/1/23, 3:10:00 AM,C,9.5
9/1/23, 7:25:00 AM,C,9
9/1/23, 11:40:00 AM,C,22
9/1/23, 3:55:00 PM,C,21.5
9/1/23, 8:10:00 PM,C,14
9/2/23, 12:25:00 AM,C,10
9/2/23, 4:40:00 AM,C,8.5
9/2/23, 8:55:00 AM,C,12.5
9/2/23, 1:10:00 PM,C,21
9/2/23, 5:25:00 PM,C,19
9/2/23, 9:40:00 PM,C,11.5
9/3/23, 1:55:00 AM,C,10
9/3/23, 6:10:00 AM,C,8.5
9/3/23, 10:25:00 AM,C,15
9/3/23, 2:40:00 PM,C,7.5
9/3/23, 6:55:00 PM,C,9.5
9/3/23, 11:10:00 PM,C,7
9/4/23, 3:25:00 AM,C,6
9/4/23, 7:40:00 AM,C,5
9/4/23, 11:55:00 AM,C,14.5
9/4/23, 4:10:00 PM,C,16.5
9/4/23, 8:25:00 PM,C,8
9/5/23, 12:40:00 AM,C,5
9/5/23, 4:55:00 AM,C,4
9/5/23, 9:10:00 AM,C,8.5
9/5/23, 1:25:00 PM,C,21
9/5/23, 5:40:00 PM,C,17.5
9/5/23, 9:55:00 PM,C,8
9/6/23, 2:10:00 AM,C,6
9/6/23, 6:25:00 AM,C,6
9/6/23, 10:40:00 AM,C,14
9/6/23, 2:55:00 PM,C,24
9/6/23, 7:10:00 PM,C,15.5
9/6/23, 11:25:00 PM,C,8
9/7/23, 3:40:00 AM,C,7.5
9/7/23, 7:55:00 AM,C,6.5
9/7/23, 12:10:00 PM,C,16
9/7/23, 4:25:00 PM,C,20.5
9/7/23, 8:40:00 PM,C,9
9/8/23, 12:55:00 AM,C,6
9/8/23, 5:10:00 AM,C,4.5
9/8/23, 9:25:00 AM,C,11
9/8/23, 1:40:00 PM,C,22
9/8/23, 5:55:00 PM,C,19.5
9/8/23, 10:10:00 PM,C,8
9/9/23, 2:25:00 AM,C,5
9/9/23, 6:40:00 AM,C,4
9/9/23, 10:55:00 AM,C,16
9/9/23, 3:10:00 PM,C,22.5
9/9/23, 7:25:00 PM,C,12
9/9/23, 11:40:00 PM,C,8
9/10/23, 3:55:00 AM,C,6.5
9/10/23, 8:10:00 AM,C,6.5
9/10/23, 12:25:00 PM,C,11.5
9/10/23, 4:40:00 PM,C,9.5
9/10/23, 8:55:00 PM,C,6.5
9/11/23, 1:10:00 AM,C,5.5
9/11/23, 5:25:00 AM,C,5
9/11/23, 9:40:00 AM,C,8
9/11/23, 1:55:00 PM,C,10.5
9/11/23, 6:10:00 PM,C,10
9/11/23, 10:25:00 PM,C,6
9/12/23, 2:40:00 AM,C,3
9/12/23, 6:55:00 AM,C,2
9/12/23, 11:10:00 AM,C,14
9/12/23, 3:25:00 PM,C,19
9/12/23, 7:40:00 PM,C,9.5
9/12/23, 11:55:00 PM,C,4.5
9/13/23, 4:10:00 AM,C,3
9/13/23, 8:25:00 AM,C,5
9/13/23, 12:40:00 PM,C,14.5
9/13/23, 4:55:00 PM,C,16
9/13/23, 9:10:00 PM,C,6
9/14/23, 1:25:00 AM,C,4
9/14/23, 5:40:00 AM,C,3.5
9/14/23, 9:55:00 AM,C,8
9/14/23, 2:10:00 PM,C,5
9/14/23, 6:25:00 PM,C,6.5
9/14/23, 10:40:00 PM,C,5
9/15/23, 2:55:00 AM,C,4.5
9/15/23, 7:10:00 AM,C,4
9/15/23, 11:25:00 AM,C,6.5
9/15/23, 3:40:00 PM,C,10
9/15/23, 7:55:00 PM,C,4
9/16/23, 12:10:00 AM,C,1
9/16/23, 4:25:00 AM,C,0
9/16/23, 8:40:00 AM,C,0
9/16/23, 12:55:00 PM,C,18.5
9/16/23, 5:10:00 PM,C,18
9/16/23, 9:25:00 PM,C,5.5
9/17/23, 1:40:00 AM,C,2.5
9/17/23, 5:55:00 AM,C,2.5
9/17/23, 10:10:00 AM,C,9
