1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: FB000000602D6221
Is Mission Active?  true
Mission Start:  Mon Aug 21 20:43:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  3595
Total Samples:  3595
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/21/23, 8:43:00 PM,C,26
8/22/23, 12:58:00 AM,C,21.5
8/22/23, 5:13:00 AM,C,21
8/22/23, 9:28:00 AM,C,24
8/22/23, 1:43:00 PM,C,24.5
8/22/23, 5:58:00 PM,C,19
8/22/23, 10:13:00 PM,C,12.5
8/23/23, 2:28:00 AM,C,10.5
8/23/23, 6:43:00 AM,C,9.5
8/23/23, 10:58:00 AM,C,18.5
8/23/23, 3:13:00 PM,C,17.5
8/23/23, 7:28:00 PM,C,15.5
8/23/23, 11:43:00 PM,C,12.5
8/24/23, 3:58:00 AM,C,11.5
8/24/23, 8:13:00 AM,C,12
8/24/23, 12:28:00 PM,C,20
8/24/23, 4:43:00 PM,C,20
8/24/23, 8:58:00 PM,C,11
8/25/23, 1:13:00 AM,C,11
8/25/23, 5:28:00 AM,C,10.5
8/25/23, 9:43:00 AM,C,10.5
8/25/23, 1:58:00 PM,C,13
8/25/23, 6:13:00 PM,C,11
8/25/23, 10:28:00 PM,C,9.5
8/26/23, 2:43:00 AM,C,8.5
8/26/23, 6:58:00 AM,C,7.5
8/26/23, 11:13:00 AM,C,14.5
8/26/23, 3:28:00 PM,C,19
8/26/23, 7:43:00 PM,C,14.5
8/26/23, 11:58:00 PM,C,10.5
8/27/23, 4:13:00 AM,C,9
8/27/23, 8:28:00 AM,C,10
8/27/23, 12:43:00 PM,C,18.5
8/27/23, 4:58:00 PM,C,17
8/27/23, 9:13:00 PM,C,11.5
8/28/23, 1:28:00 AM,C,10
8/28/23, 5:43:00 AM,C,8
8/28/23, 9:58:00 AM,C,13
8/28/23, 2:13:00 PM,C,15
8/28/23, 6:28:00 PM,C,14.5
8/28/23, 10:43:00 PM,C,9.5
8/29/23, 2:58:00 AM,C,7
8/29/23, 7:13:00 AM,C,5.5
8/29/23, 11:28:00 AM,C,16
8/29/23, 3:43:00 PM,C,20
8/29/23, 7:58:00 PM,C,13.5
8/30/23, 12:13:00 AM,C,9.5
8/30/23, 4:28:00 AM,C,8
8/30/23, 8:43:00 AM,C,9.5
8/30/23, 12:58:00 PM,C,20.5
8/30/23, 5:13:00 PM,C,21.5
8/30/23, 9:28:00 PM,C,13.5
8/31/23, 1:43:00 AM,C,10.5
8/31/23, 5:58:00 AM,C,8.5
8/31/23, 10:13:00 AM,C,13.5
8/31/23, 2:28:00 PM,C,24.5
8/31/23, 6:43:00 PM,C,21
8/31/23, 10:58:00 PM,C,13.5
9/1/23, 3:13:00 AM,C,11
9/1/23, 7:28:00 AM,C,10
9/1/23, 11:43:00 AM,C,21
9/1/23, 3:58:00 PM,C,21.5
9/1/23, 8:13:00 PM,C,16
9/2/23, 12:28:00 AM,C,12.5
9/2/23, 4:43:00 AM,C,10.5
9/2/23, 8:58:00 AM,C,12
9/2/23, 1:13:00 PM,C,21
9/2/23, 5:28:00 PM,C,21
9/2/23, 9:43:00 PM,C,14
9/3/23, 1:58:00 AM,C,11.5
9/3/23, 6:13:00 AM,C,9.5
9/3/23, 10:28:00 AM,C,15.5
9/3/23, 2:43:00 PM,C,5
9/3/23, 6:58:00 PM,C,9
9/3/23, 11:13:00 PM,C,7.5
9/4/23, 3:28:00 AM,C,6.5
9/4/23, 7:43:00 AM,C,6
9/4/23, 11:58:00 AM,C,14
9/4/23, 4:13:00 PM,C,16.5
9/4/23, 8:28:00 PM,C,9.5
9/5/23, 12:43:00 AM,C,6
9/5/23, 4:58:00 AM,C,5
9/5/23, 9:13:00 AM,C,7.5
9/5/23, 1:28:00 PM,C,18.5
9/5/23, 5:43:00 PM,C,16.5
9/5/23, 9:58:00 PM,C,9.5
9/6/23, 2:13:00 AM,C,7
9/6/23, 6:28:00 AM,C,6.5
9/6/23, 10:43:00 AM,C,12.5
9/6/23, 2:58:00 PM,C,22.5
9/6/23, 7:13:00 PM,C,15
9/6/23, 11:28:00 PM,C,10
9/7/23, 3:43:00 AM,C,8
9/7/23, 7:58:00 AM,C,7.5
9/7/23, 12:13:00 PM,C,15
9/7/23, 4:28:00 PM,C,20
9/7/23, 8:43:00 PM,C,12
9/8/23, 12:58:00 AM,C,8.5
9/8/23, 5:13:00 AM,C,6.5
9/8/23, 9:28:00 AM,C,10.5
9/8/23, 1:43:00 PM,C,22.5
9/8/23, 5:58:00 PM,C,19
9/8/23, 10:13:00 PM,C,11
9/9/23, 2:28:00 AM,C,8
9/9/23, 6:43:00 AM,C,6.5
9/9/23, 10:58:00 AM,C,15
9/9/23, 3:13:00 PM,C,22
