1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D200000060231C21
Is Mission Active?  true
Mission Start:  Mon Aug 21 20:46:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  3596
Total Samples:  3596
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/21/23, 8:46:00 PM,C,27.5
8/22/23, 1:01:00 AM,C,22.5
8/22/23, 5:16:00 AM,C,21.5
8/22/23, 9:31:00 AM,C,26
8/22/23, 1:46:00 PM,C,24
8/22/23, 6:01:00 PM,C,17
8/22/23, 10:16:00 PM,C,12
8/23/23, 2:31:00 AM,C,10
8/23/23, 6:46:00 AM,C,9
8/23/23, 11:01:00 AM,C,17.5
8/23/23, 3:16:00 PM,C,16.5
8/23/23, 7:31:00 PM,C,14.5
8/23/23, 11:46:00 PM,C,12
8/24/23, 4:01:00 AM,C,11
8/24/23, 8:16:00 AM,C,11.5
8/24/23, 12:31:00 PM,C,18.5
8/24/23, 4:46:00 PM,C,19
8/24/23, 9:01:00 PM,C,9.5
8/25/23, 1:16:00 AM,C,10
8/25/23, 5:31:00 AM,C,9.5
8/25/23, 9:46:00 AM,C,10
8/25/23, 2:01:00 PM,C,12.5
8/25/23, 6:16:00 PM,C,11
8/25/23, 10:31:00 PM,C,9.5
8/26/23, 2:46:00 AM,C,8.5
8/26/23, 7:01:00 AM,C,7.5
8/26/23, 11:16:00 AM,C,12.5
8/26/23, 3:31:00 PM,C,17.5
8/26/23, 7:46:00 PM,C,13.5
8/27/23, 12:01:00 AM,C,10
8/27/23, 4:16:00 AM,C,8.5
8/27/23, 8:31:00 AM,C,9
8/27/23, 12:46:00 PM,C,19.5
8/27/23, 5:01:00 PM,C,16
8/27/23, 9:16:00 PM,C,10
8/28/23, 1:31:00 AM,C,9
8/28/23, 5:46:00 AM,C,7.5
8/28/23, 10:01:00 AM,C,12.5
8/28/23, 2:16:00 PM,C,15.5
8/28/23, 6:31:00 PM,C,14
8/28/23, 10:46:00 PM,C,9
8/29/23, 3:01:00 AM,C,6.5
8/29/23, 7:16:00 AM,C,5
8/29/23, 11:31:00 AM,C,14.5
8/29/23, 3:46:00 PM,C,17.5
8/29/23, 8:01:00 PM,C,12
8/30/23, 12:16:00 AM,C,8.5
8/30/23, 4:31:00 AM,C,7
8/30/23, 8:46:00 AM,C,9
8/30/23, 1:01:00 PM,C,18
8/30/23, 5:16:00 PM,C,19
8/30/23, 9:31:00 PM,C,12
8/31/23, 1:46:00 AM,C,9.5
8/31/23, 6:01:00 AM,C,7.5
8/31/23, 10:16:00 AM,C,13
8/31/23, 2:31:00 PM,C,22
8/31/23, 6:46:00 PM,C,19
8/31/23, 11:01:00 PM,C,12.5
9/1/23, 3:16:00 AM,C,10
9/1/23, 7:31:00 AM,C,9.5
9/1/23, 11:46:00 AM,C,20
9/1/23, 4:01:00 PM,C,20
9/1/23, 8:16:00 PM,C,15
9/2/23, 12:31:00 AM,C,12
9/2/23, 4:46:00 AM,C,10
9/2/23, 9:01:00 AM,C,12
9/2/23, 1:16:00 PM,C,20
9/2/23, 5:31:00 PM,C,20
9/2/23, 9:46:00 PM,C,13.5
9/3/23, 2:01:00 AM,C,11.5
9/3/23, 6:16:00 AM,C,9.5
9/3/23, 10:31:00 AM,C,15.5
9/3/23, 2:46:00 PM,C,5.5
9/3/23, 7:01:00 PM,C,9.5
9/3/23, 11:16:00 PM,C,7.5
9/4/23, 3:31:00 AM,C,6.5
9/4/23, 7:46:00 AM,C,6
9/4/23, 12:01:00 PM,C,15
9/4/23, 4:16:00 PM,C,15
9/4/23, 8:31:00 PM,C,8.5
9/5/23, 12:46:00 AM,C,5.5
9/5/23, 5:01:00 AM,C,4
9/5/23, 9:16:00 AM,C,7
9/5/23, 1:31:00 PM,C,16
9/5/23, 5:46:00 PM,C,12.5
9/5/23, 10:01:00 PM,C,8
9/6/23, 2:16:00 AM,C,6
9/6/23, 6:31:00 AM,C,5.5
9/6/23, 10:46:00 AM,C,10.5
9/6/23, 3:01:00 PM,C,19
9/6/23, 7:16:00 PM,C,13
9/6/23, 11:31:00 PM,C,8.5
9/7/23, 3:46:00 AM,C,7
9/7/23, 8:01:00 AM,C,6.5
9/7/23, 12:16:00 PM,C,13.5
9/7/23, 4:31:00 PM,C,17.5
9/7/23, 8:46:00 PM,C,11
9/8/23, 1:01:00 AM,C,7.5
9/8/23, 5:16:00 AM,C,6
9/8/23, 9:31:00 AM,C,9.5
9/8/23, 1:46:00 PM,C,19.5
9/8/23, 6:01:00 PM,C,17
9/8/23, 10:16:00 PM,C,10.5
9/9/23, 2:31:00 AM,C,7.5
9/9/23, 6:46:00 AM,C,6.5
9/9/23, 11:01:00 AM,C,14.5
9/9/23, 3:16:00 PM,C,20
9/9/23, 7:31:00 PM,C,13
9/9/23, 11:46:00 PM,C,10
9/10/23, 4:01:00 AM,C,8
9/10/23, 8:16:00 AM,C,7.5
9/10/23, 12:31:00 PM,C,10.5
9/10/23, 4:46:00 PM,C,10
9/10/23, 9:01:00 PM,C,7.5
9/11/23, 1:16:00 AM,C,6
9/11/23, 5:31:00 AM,C,5.5
9/11/23, 9:46:00 AM,C,7
9/11/23, 2:01:00 PM,C,9
9/11/23, 6:16:00 PM,C,8.5
9/11/23, 10:31:00 PM,C,6
9/12/23, 2:46:00 AM,C,3.5
9/12/23, 7:01:00 AM,C,2.5
9/12/23, 11:16:00 AM,C,12.5
9/12/23, 3:31:00 PM,C,14
9/12/23, 7:46:00 PM,C,8.5
9/13/23, 12:01:00 AM,C,5
9/13/23, 4:16:00 AM,C,3.5
9/13/23, 8:31:00 AM,C,4.5
9/13/23, 12:46:00 PM,C,9.5
9/13/23, 5:01:00 PM,C,12.5
9/13/23, 9:16:00 PM,C,6.5
9/14/23, 1:31:00 AM,C,4.5
9/14/23, 5:46:00 AM,C,3.5
9/14/23, 10:01:00 AM,C,6
9/14/23, 2:16:00 PM,C,5
9/14/23, 6:31:00 PM,C,5
9/14/23, 10:46:00 PM,C,4.5
9/15/23, 3:01:00 AM,C,4
9/15/23, 7:16:00 AM,C,3.5
9/15/23, 11:31:00 AM,C,5
9/15/23, 3:46:00 PM,C,7.5
9/15/23, 8:01:00 PM,C,4.5
9/16/23, 12:16:00 AM,C,2
9/16/23, 4:31:00 AM,C,1
9/16/23, 8:46:00 AM,C,0.5
9/16/23, 1:01:00 PM,C,14
9/16/23, 5:16:00 PM,C,13.5
9/16/23, 9:31:00 PM,C,6.5
9/17/23, 1:46:00 AM,C,3.5
9/17/23, 6:01:00 AM,C,2.5
9/17/23, 10:16:00 AM,C,7.5
9/17/23, 2:31:00 PM,C,15.5
9/17/23, 6:46:00 PM,C,10.5
9/17/23, 11:01:00 PM,C,6.5
9/18/23, 3:16:00 AM,C,4.5
9/18/23, 7:31:00 AM,C,4
9/18/23, 11:46:00 AM,C,10
9/18/23, 4:01:00 PM,C,12.5
9/18/23, 8:16:00 PM,C,7
9/19/23, 12:31:00 AM,C,5
9/19/23, 4:46:00 AM,C,4
9/19/23, 9:01:00 AM,C,4.5
9/19/23, 1:16:00 PM,C,13.5
9/19/23, 5:31:00 PM,C,11
9/19/23, 9:46:00 PM,C,6
9/20/23, 2:01:00 AM,C,4
9/20/23, 6:16:00 AM,C,3.5
9/20/23, 10:31:00 AM,C,8.5
9/20/23, 2:46:00 PM,C,15
9/20/23, 7:01:00 PM,C,9
9/20/23, 11:16:00 PM,C,5.5
9/21/23, 3:31:00 AM,C,4
9/21/23, 7:46:00 AM,C,3.5
9/21/23, 12:01:00 PM,C,12
9/21/23, 4:16:00 PM,C,13
9/21/23, 8:31:00 PM,C,7.5
9/22/23, 12:46:00 AM,C,4.5
9/22/23, 5:01:00 AM,C,3
9/22/23, 9:16:00 AM,C,5
9/22/23, 1:31:00 PM,C,15
9/22/23, 5:46:00 PM,C,12.5
9/22/23, 10:01:00 PM,C,6.5
9/23/23, 2:16:00 AM,C,4
9/23/23, 6:31:00 AM,C,1.5
9/23/23, 10:46:00 AM,C,4
9/23/23, 3:01:00 PM,C,9
9/23/23, 7:16:00 PM,C,6.5
9/23/23, 11:31:00 PM,C,3
9/24/23, 3:46:00 AM,C,2
9/24/23, 8:01:00 AM,C,1.5
9/24/23, 12:16:00 PM,C,10.5
9/24/23, 4:31:00 PM,C,13
9/24/23, 8:46:00 PM,C,6.5
9/25/23, 1:01:00 AM,C,3.5
9/25/23, 5:16:00 AM,C,2
9/25/23, 9:31:00 AM,C,5.5
9/25/23, 1:46:00 PM,C,16.5
9/25/23, 6:01:00 PM,C,13
9/25/23, 10:16:00 PM,C,7
9/26/23, 2:31:00 AM,C,5
9/26/23, 6:46:00 AM,C,4
9/26/23, 11:01:00 AM,C,11
9/26/23, 3:16:00 PM,C,17
9/26/23, 7:31:00 PM,C,10.5
9/26/23, 11:46:00 PM,C,7
9/27/23, 4:01:00 AM,C,5
9/27/23, 8:16:00 AM,C,5.5
9/27/23, 12:31:00 PM,C,16
9/27/23, 4:46:00 PM,C,16
9/27/23, 9:01:00 PM,C,9.5
9/28/23, 1:16:00 AM,C,7.5
9/28/23, 5:31:00 AM,C,6.5
9/28/23, 9:46:00 AM,C,10
9/28/23, 2:01:00 PM,C,18
9/28/23, 6:16:00 PM,C,13.5
9/28/23, 10:31:00 PM,C,9.5
9/29/23, 2:46:00 AM,C,7
9/29/23, 7:01:00 AM,C,6
9/29/23, 11:16:00 AM,C,14
9/29/23, 3:31:00 PM,C,18
9/29/23, 7:46:00 PM,C,11
9/30/23, 12:01:00 AM,C,8
9/30/23, 4:16:00 AM,C,6
9/30/23, 8:31:00 AM,C,6
9/30/23, 12:46:00 PM,C,15.5
9/30/23, 5:01:00 PM,C,11
9/30/23, 9:16:00 PM,C,8
10/1/23, 1:31:00 AM,C,7
10/1/23, 5:46:00 AM,C,6
10/1/23, 10:01:00 AM,C,10
10/1/23, 2:16:00 PM,C,13.5
10/1/23, 6:31:00 PM,C,11
10/1/23, 10:46:00 PM,C,7
10/2/23, 3:01:00 AM,C,5.5
10/2/23, 7:16:00 AM,C,5
10/2/23, 11:31:00 AM,C,10.5
10/2/23, 3:46:00 PM,C,11
10/2/23, 8:01:00 PM,C,7
10/3/23, 12:16:00 AM,C,4.5
10/3/23, 4:31:00 AM,C,2.5
10/3/23, 8:46:00 AM,C,1.5
10/3/23, 1:01:00 PM,C,5
