1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: FC000000600CC021
Is Mission Active?  true
Mission Start:  Mon Aug 21 20:47:00 MDT 2023
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  3596
Total Samples:  3596
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/21/23, 8:47:00 PM,C,26.5
8/22/23, 1:02:00 AM,C,21.5
8/22/23, 5:17:00 AM,C,21
8/22/23, 9:32:00 AM,C,29.5
8/22/23, 1:47:00 PM,C,25.5
8/22/23, 6:02:00 PM,C,18
8/22/23, 10:17:00 PM,C,12
8/23/23, 2:32:00 AM,C,10
8/23/23, 6:47:00 AM,C,8.5
8/23/23, 11:02:00 AM,C,18
8/23/23, 3:17:00 PM,C,17
8/23/23, 7:32:00 PM,C,15
8/23/23, 11:47:00 PM,C,12
8/24/23, 4:02:00 AM,C,10.5
8/24/23, 8:17:00 AM,C,11
8/24/23, 12:32:00 PM,C,19.5
8/24/23, 4:47:00 PM,C,21
8/24/23, 9:02:00 PM,C,10
8/25/23, 1:17:00 AM,C,10
8/25/23, 5:32:00 AM,C,9.5
8/25/23, 9:47:00 AM,C,10
8/25/23, 2:02:00 PM,C,13.5
8/25/23, 6:17:00 PM,C,11.5
8/25/23, 10:32:00 PM,C,9.5
8/26/23, 2:47:00 AM,C,8
8/26/23, 7:02:00 AM,C,7
8/26/23, 11:17:00 AM,C,13.5
8/26/23, 3:32:00 PM,C,19
8/26/23, 7:47:00 PM,C,14
8/27/23, 12:02:00 AM,C,10
8/27/23, 4:17:00 AM,C,8
8/27/23, 8:32:00 AM,C,9
8/27/23, 12:47:00 PM,C,21
8/27/23, 5:02:00 PM,C,17.5
8/27/23, 9:17:00 PM,C,10.5
8/28/23, 1:32:00 AM,C,9
8/28/23, 5:47:00 AM,C,7
8/28/23, 10:02:00 AM,C,12.5
8/28/23, 2:17:00 PM,C,17
8/28/23, 6:32:00 PM,C,15
8/28/23, 10:47:00 PM,C,9
8/29/23, 3:02:00 AM,C,6.5
8/29/23, 7:17:00 AM,C,4.5
8/29/23, 11:32:00 AM,C,15.5
8/29/23, 3:47:00 PM,C,21
8/29/23, 8:02:00 PM,C,13
8/30/23, 12:17:00 AM,C,8.5
8/30/23, 4:32:00 AM,C,7
8/30/23, 8:47:00 AM,C,9
8/30/23, 1:02:00 PM,C,20.5
8/30/23, 5:17:00 PM,C,22
8/30/23, 9:32:00 PM,C,13
8/31/23, 1:47:00 AM,C,10
8/31/23, 6:02:00 AM,C,8
8/31/23, 10:17:00 AM,C,13.5
8/31/23, 2:32:00 PM,C,26.5
8/31/23, 6:47:00 PM,C,22
8/31/23, 11:02:00 PM,C,13
9/1/23, 3:17:00 AM,C,10.5
9/1/23, 7:32:00 AM,C,9.5
9/1/23, 11:47:00 AM,C,22.5
9/1/23, 4:02:00 PM,C,22.5
9/1/23, 8:17:00 PM,C,16
9/2/23, 12:32:00 AM,C,12
9/2/23, 4:47:00 AM,C,9.5
9/2/23, 9:02:00 AM,C,11.5
9/2/23, 1:17:00 PM,C,22.5
9/2/23, 5:32:00 PM,C,21.5
9/2/23, 9:47:00 PM,C,13.5
9/3/23, 2:02:00 AM,C,11
9/3/23, 6:17:00 AM,C,9
9/3/23, 10:32:00 AM,C,15
9/3/23, 2:47:00 PM,C,4.5
9/3/23, 7:02:00 PM,C,9
9/3/23, 11:17:00 PM,C,7
9/4/23, 3:32:00 AM,C,6
9/4/23, 7:47:00 AM,C,5.5
9/4/23, 12:02:00 PM,C,15.5
9/4/23, 4:17:00 PM,C,17
9/4/23, 8:32:00 PM,C,8.5
9/5/23, 12:47:00 AM,C,5
9/5/23, 5:02:00 AM,C,4
9/5/23, 9:17:00 AM,C,6.5
9/5/23, 1:32:00 PM,C,18.5
9/5/23, 5:47:00 PM,C,15
9/5/23, 10:02:00 PM,C,8.5
9/6/23, 2:17:00 AM,C,6
9/6/23, 6:32:00 AM,C,5.5
9/6/23, 10:47:00 AM,C,11
9/6/23, 3:02:00 PM,C,22.5
9/6/23, 7:17:00 PM,C,15
9/6/23, 11:32:00 PM,C,9
9/7/23, 3:47:00 AM,C,7.5
9/7/23, 8:02:00 AM,C,6.5
9/7/23, 12:17:00 PM,C,15.5
9/7/23, 4:32:00 PM,C,21
9/7/23, 8:47:00 PM,C,12
9/8/23, 1:02:00 AM,C,8
9/8/23, 5:17:00 AM,C,6
9/8/23, 9:32:00 AM,C,9.5
9/8/23, 1:47:00 PM,C,23
9/8/23, 6:02:00 PM,C,20
9/8/23, 10:17:00 PM,C,10.5
9/9/23, 2:32:00 AM,C,7
9/9/23, 6:47:00 AM,C,6
9/9/23, 11:02:00 AM,C,16
9/9/23, 3:17:00 PM,C,23.5
9/9/23, 7:32:00 PM,C,13.5
9/9/23, 11:47:00 PM,C,10
9/10/23, 4:02:00 AM,C,8
9/10/23, 8:17:00 AM,C,7
9/10/23, 12:32:00 PM,C,11
9/10/23, 4:47:00 PM,C,10.5
9/10/23, 9:02:00 PM,C,7
9/11/23, 1:17:00 AM,C,5.5
9/11/23, 5:32:00 AM,C,5
9/11/23, 9:47:00 AM,C,7.5
9/11/23, 2:02:00 PM,C,10
9/11/23, 6:17:00 PM,C,9
9/11/23, 10:32:00 PM,C,6
9/12/23, 2:47:00 AM,C,3.5
9/12/23, 7:02:00 AM,C,2
9/12/23, 11:17:00 AM,C,13.5
9/12/23, 3:32:00 PM,C,17
9/12/23, 7:47:00 PM,C,9.5
9/13/23, 12:02:00 AM,C,5.5
9/13/23, 4:17:00 AM,C,3.5
9/13/23, 8:32:00 AM,C,4
9/13/23, 12:47:00 PM,C,10.5
9/13/23, 5:02:00 PM,C,14.5
9/13/23, 9:17:00 PM,C,6.5
9/14/23, 1:32:00 AM,C,4
9/14/23, 5:47:00 AM,C,3.5
9/14/23, 10:02:00 AM,C,6.5
9/14/23, 2:17:00 PM,C,4
9/14/23, 6:32:00 PM,C,4.5
9/14/23, 10:47:00 PM,C,4
9/15/23, 3:02:00 AM,C,4
9/15/23, 7:17:00 AM,C,3.5
9/15/23, 11:32:00 AM,C,5.5
9/15/23, 3:47:00 PM,C,8.5
9/15/23, 8:02:00 PM,C,4
9/16/23, 12:17:00 AM,C,1.5
9/16/23, 4:32:00 AM,C,0.5
9/16/23, 8:47:00 AM,C,0
9/16/23, 1:02:00 PM,C,17.5
9/16/23, 5:17:00 PM,C,17.5
9/16/23, 9:32:00 PM,C,7.5
9/17/23, 1:47:00 AM,C,3.5
9/17/23, 6:02:00 AM,C,2.5
9/17/23, 10:17:00 AM,C,8.5
9/17/23, 2:32:00 PM,C,19
9/17/23, 6:47:00 PM,C,12.5
9/17/23, 11:02:00 PM,C,7
9/18/23, 3:17:00 AM,C,5
9/18/23, 7:32:00 AM,C,4
9/18/23, 11:47:00 AM,C,11.5
9/18/23, 4:02:00 PM,C,15
9/18/23, 8:17:00 PM,C,7.5
9/19/23, 12:32:00 AM,C,5
9/19/23, 4:47:00 AM,C,4
9/19/23, 9:02:00 AM,C,4
9/19/23, 1:17:00 PM,C,17
9/19/23, 5:32:00 PM,C,12.5
9/19/23, 9:47:00 PM,C,6.5
9/20/23, 2:02:00 AM,C,4
9/20/23, 6:17:00 AM,C,3.5
9/20/23, 10:32:00 AM,C,9.5
9/20/23, 2:47:00 PM,C,18
9/20/23, 7:02:00 PM,C,9.5
9/20/23, 11:17:00 PM,C,5.5
9/21/23, 3:32:00 AM,C,3.5
9/21/23, 7:47:00 AM,C,3
9/21/23, 12:02:00 PM,C,14
9/21/23, 4:17:00 PM,C,16.5
9/21/23, 8:32:00 PM,C,8
9/22/23, 12:47:00 AM,C,5
9/22/23, 5:02:00 AM,C,3
9/22/23, 9:17:00 AM,C,4.5
9/22/23, 1:32:00 PM,C,19
9/22/23, 5:47:00 PM,C,16
9/22/23, 10:02:00 PM,C,7
