1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 49000000600D6F21
Is Mission Active?  true
Mission Start:  Mon Aug 26 20:44:00 MDT 2024
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  1924
Total Samples:  4357
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/26/24, 8:44:00 PM,C,27.5
8/27/24, 12:59:00 AM,C,23
8/27/24, 5:14:00 AM,C,21.5
8/27/24, 9:29:00 AM,C,11.5
8/27/24, 1:44:00 PM,C,36
8/27/24, 5:59:00 PM,C,21
8/27/24, 10:14:00 PM,C,11
8/28/24, 2:29:00 AM,C,9
8/28/24, 6:44:00 AM,C,8
8/28/24, 10:59:00 AM,C,17
8/28/24, 3:14:00 PM,C,26.5
8/28/24, 7:29:00 PM,C,15.5
8/28/24, 11:44:00 PM,C,11.5
8/29/24, 3:59:00 AM,C,10
8/29/24, 8:14:00 AM,C,9.5
8/29/24, 12:29:00 PM,C,24
8/29/24, 4:44:00 PM,C,17.5
8/29/24, 8:59:00 PM,C,12
8/30/24, 1:14:00 AM,C,9
8/30/24, 5:29:00 AM,C,7.5
8/30/24, 9:44:00 AM,C,13.5
8/30/24, 1:59:00 PM,C,27
8/30/24, 6:14:00 PM,C,20.5
8/30/24, 10:29:00 PM,C,11.5
8/31/24, 2:44:00 AM,C,9
8/31/24, 6:59:00 AM,C,8
8/31/24, 11:14:00 AM,C,21.5
8/31/24, 3:29:00 PM,C,28.5
8/31/24, 7:44:00 PM,C,16.5
8/31/24, 11:59:00 PM,C,11
9/1/24, 4:14:00 AM,C,9.5
9/1/24, 8:29:00 AM,C,10.5
9/1/24, 12:44:00 PM,C,24
9/1/24, 4:59:00 PM,C,25.5
9/1/24, 9:14:00 PM,C,12.5
9/2/24, 1:29:00 AM,C,10
9/2/24, 5:44:00 AM,C,9
9/2/24, 9:59:00 AM,C,15.5
9/2/24, 2:14:00 PM,C,20
9/2/24, 6:29:00 PM,C,16
9/2/24, 10:44:00 PM,C,10.5
9/3/24, 2:59:00 AM,C,9.5
9/3/24, 7:14:00 AM,C,9
9/3/24, 11:29:00 AM,C,21.5
9/3/24, 3:44:00 PM,C,30.5
9/3/24, 7:59:00 PM,C,16.5
9/4/24, 12:14:00 AM,C,12.5
9/4/24, 4:29:00 AM,C,10.5
9/4/24, 8:44:00 AM,C,12.5
9/4/24, 12:59:00 PM,C,14.5
9/4/24, 5:14:00 PM,C,23
9/4/24, 9:29:00 PM,C,12.5
9/5/24, 1:44:00 AM,C,8
9/5/24, 5:59:00 AM,C,6
9/5/24, 10:14:00 AM,C,9.5
9/5/24, 2:29:00 PM,C,10
9/5/24, 6:44:00 PM,C,10.5
9/5/24, 10:59:00 PM,C,6
9/6/24, 3:14:00 AM,C,4
9/6/24, 7:29:00 AM,C,3.5
9/6/24, 11:44:00 AM,C,19
9/6/24, 3:59:00 PM,C,25
9/6/24, 8:14:00 PM,C,12
9/7/24, 12:29:00 AM,C,9
9/7/24, 4:44:00 AM,C,7
9/7/24, 8:59:00 AM,C,9.5
9/7/24, 1:14:00 PM,C,25.5
9/7/24, 5:29:00 PM,C,18
9/7/24, 9:44:00 PM,C,10.5
9/8/24, 1:59:00 AM,C,8
9/8/24, 6:14:00 AM,C,7
9/8/24, 10:29:00 AM,C,14
9/8/24, 2:44:00 PM,C,25
9/8/24, 6:59:00 PM,C,16
9/8/24, 11:14:00 PM,C,10.5
9/9/24, 3:29:00 AM,C,9
9/9/24, 7:44:00 AM,C,8.5
9/9/24, 11:59:00 AM,C,15.5
9/9/24, 4:14:00 PM,C,19
9/9/24, 8:29:00 PM,C,13
9/10/24, 12:44:00 AM,C,10.5
9/10/24, 4:59:00 AM,C,8.5
9/10/24, 9:14:00 AM,C,12
9/10/24, 1:29:00 PM,C,15.5
9/10/24, 5:44:00 PM,C,10
9/10/24, 9:59:00 PM,C,8
9/11/24, 2:14:00 AM,C,8
9/11/24, 6:29:00 AM,C,6
9/11/24, 10:44:00 AM,C,16.5
9/11/24, 2:59:00 PM,C,28.5
9/11/24, 7:14:00 PM,C,10.5
9/11/24, 11:29:00 PM,C,7.5
9/12/24, 3:44:00 AM,C,6.5
9/12/24, 7:59:00 AM,C,6.5
9/12/24, 12:14:00 PM,C,20
9/12/24, 4:29:00 PM,C,24.5
9/12/24, 8:44:00 PM,C,12
9/13/24, 12:59:00 AM,C,9
9/13/24, 5:14:00 AM,C,7
9/13/24, 9:29:00 AM,C,11
9/13/24, 1:44:00 PM,C,27
9/13/24, 5:59:00 PM,C,16
9/13/24, 10:14:00 PM,C,9.5
9/14/24, 2:29:00 AM,C,7.5
9/14/24, 6:44:00 AM,C,6
9/14/24, 10:59:00 AM,C,13
9/14/24, 3:14:00 PM,C,27.5
9/14/24, 7:29:00 PM,C,15
9/14/24, 11:44:00 PM,C,9.5
9/15/24, 3:59:00 AM,C,7.5
9/15/24, 8:14:00 AM,C,8
9/15/24, 12:29:00 PM,C,19
9/15/24, 4:44:00 PM,C,12
9/15/24, 8:59:00 PM,C,8
9/16/24, 1:14:00 AM,C,7
9/16/24, 5:29:00 AM,C,5.5
9/16/24, 9:44:00 AM,C,10.5
9/16/24, 1:59:00 PM,C,14.5
9/16/24, 6:14:00 PM,C,12.5
9/16/24, 10:29:00 PM,C,7.5
9/17/24, 2:44:00 AM,C,6
9/17/24, 6:59:00 AM,C,6
9/17/24, 11:14:00 AM,C,17.5
9/17/24, 3:29:00 PM,C,11.5
9/17/24, 7:44:00 PM,C,7
9/17/24, 11:59:00 PM,C,5
9/18/24, 4:14:00 AM,C,3.5
9/18/24, 8:29:00 AM,C,3.5
9/18/24, 12:44:00 PM,C,17
9/18/24, 4:59:00 PM,C,20
9/18/24, 9:14:00 PM,C,8
9/19/24, 1:29:00 AM,C,5.5
9/19/24, 5:44:00 AM,C,4
9/19/24, 9:59:00 AM,C,11.5
9/19/24, 2:14:00 PM,C,25
9/19/24, 6:29:00 PM,C,18
9/19/24, 10:44:00 PM,C,8.5
9/20/24, 2:59:00 AM,C,7.5
9/20/24, 7:14:00 AM,C,6.5
9/20/24, 11:29:00 AM,C,17.5
9/20/24, 3:44:00 PM,C,22.5
9/20/24, 7:59:00 PM,C,12
9/21/24, 12:14:00 AM,C,9
9/21/24, 4:29:00 AM,C,6.5
9/21/24, 8:44:00 AM,C,7.5
9/21/24, 12:59:00 PM,C,21
9/21/24, 5:14:00 PM,C,10.5
9/21/24, 9:29:00 PM,C,5.5
9/22/24, 1:44:00 AM,C,4
9/22/24, 5:59:00 AM,C,4
9/22/24, 10:14:00 AM,C,3.5
9/22/24, 2:29:00 PM,C,5
9/22/24, 6:44:00 PM,C,5.5
9/22/24, 10:59:00 PM,C,3
9/23/24, 3:14:00 AM,C,2.5
9/23/24, 7:29:00 AM,C,2
9/23/24, 11:44:00 AM,C,11
9/23/24, 3:59:00 PM,C,17
9/23/24, 8:14:00 PM,C,7.5
9/24/24, 12:29:00 AM,C,5.5
9/24/24, 4:44:00 AM,C,4
9/24/24, 8:59:00 AM,C,5
9/24/24, 1:14:00 PM,C,18
9/24/24, 5:29:00 PM,C,17.5
9/24/24, 9:44:00 PM,C,8
9/25/24, 1:59:00 AM,C,6
9/25/24, 6:14:00 AM,C,5
9/25/24, 10:29:00 AM,C,12.5
9/25/24, 2:44:00 PM,C,22
9/25/24, 6:59:00 PM,C,13.5
9/25/24, 11:14:00 PM,C,9
9/26/24, 3:29:00 AM,C,7.5
9/26/24, 7:44:00 AM,C,7.5
9/26/24, 11:59:00 AM,C,17.5
9/26/24, 4:14:00 PM,C,21.5
9/26/24, 8:29:00 PM,C,11.5
9/27/24, 12:44:00 AM,C,9.5
9/27/24, 4:59:00 AM,C,7.5
9/27/24, 9:14:00 AM,C,9
9/27/24, 1:29:00 PM,C,21.5
9/27/24, 5:44:00 PM,C,16
