"Plot Title: 21474964"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474964, SEN S/N: 21474964)","Coupler Detached (LGR S/N: 21474964)","Coupler Attached (LGR S/N: 21474964)","Host Connected (LGR S/N: 21474964)","Stopped (LGR S/N: 21474964)","End Of File (LGR S/N: 21474964)"
1,07/18/22 05:44:57 PM,25.222,,,,,
2,07/18/22 05:45:06 PM,,Logged,,,,
3,07/18/22 06:44:57 PM,20.138,,,,,
4,07/18/22 07:44:57 PM,20.138,,,,,
5,07/18/22 08:44:57 PM,21.091,,,,,
6,07/18/22 09:44:57 PM,22.908,,,,,
7,07/18/22 10:44:57 PM,22.238,,,,,
8,07/18/22 11:44:57 PM,21.569,,,,,
9,07/19/22 12:44:57 AM,21.282,,,,,
10,07/19/22 01:44:57 AM,21.187,,,,,
11,07/19/22 02:44:57 AM,21.091,,,,,
12,07/19/22 03:44:57 AM,20.996,,,,,
13,07/19/22 04:44:57 AM,20.996,,,,,
14,07/19/22 05:44:57 AM,20.996,,,,,
15,07/19/22 06:44:57 AM,21.187,,,,,
16,07/19/22 07:44:57 AM,20.901,,,,,
17,07/19/22 08:44:57 AM,20.424,,,,,
18,07/19/22 09:44:57 AM,19.567,,,,,
19,07/19/22 10:44:57 AM,21.951,,,,,
20,07/19/22 11:44:57 AM,30.255,,,,,
21,07/19/22 12:44:57 PM,28.555,,,,,
22,07/19/22 01:44:57 PM,50.595,,,,,
23,07/19/22 02:44:57 PM,26.097,,,,,
24,07/19/22 03:44:57 PM,22.717,,,,,
25,07/19/22 04:44:57 PM,37.055,,,,,
26,07/19/22 05:44:57 PM,48.821,,,,,
27,07/19/22 06:44:57 PM,20.710,,,,,
28,07/19/22 07:44:57 PM,17.284,,,,,
29,07/19/22 08:44:57 PM,15.378,,,,,
30,07/19/22 09:44:57 PM,14.230,,,,,
31,07/19/22 10:44:57 PM,13.269,,,,,
32,07/19/22 11:44:57 PM,12.304,,,,,
33,07/20/22 12:44:57 AM,12.013,,,,,
34,07/20/22 01:44:57 AM,11.528,,,,,
35,07/20/22 02:44:57 AM,10.455,,,,,
36,07/20/22 03:44:57 AM,9.965,,,,,
37,07/20/22 04:44:57 AM,9.176,,,,,
38,07/20/22 05:44:57 AM,8.879,,,,,
39,07/20/22 06:44:57 AM,8.978,,,,,
40,07/20/22 07:44:57 AM,10.063,,,,,
41,07/20/22 08:44:57 AM,12.497,,,,,
42,07/20/22 09:44:57 AM,15.664,,,,,
43,07/20/22 10:44:57 AM,19.472,,,,,
44,07/20/22 11:44:57 AM,21.664,,,,,
45,07/20/22 12:44:57 PM,22.429,,,,,
46,07/20/22 01:44:57 PM,23.484,,,,,
47,07/20/22 02:44:57 PM,25.610,,,,,
48,07/20/22 03:44:57 PM,22.525,,,,,
49,07/20/22 04:44:57 PM,20.519,,,,,
50,07/20/22 05:44:57 PM,19.092,,,,,
51,07/20/22 06:44:57 PM,17.189,,,,,
52,07/20/22 07:44:57 PM,15.855,,,,,
53,07/20/22 08:44:57 PM,14.517,,,,,
54,07/20/22 09:44:57 PM,12.690,,,,,
55,07/20/22 10:44:57 PM,11.916,,,,,
56,07/20/22 11:44:57 PM,11.041,,,,,
57,07/21/22 12:44:57 AM,10.259,,,,,
