"Plot Title: 21474965"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474965, SEN S/N: 21474965)","Coupler Detached (LGR S/N: 21474965)","Coupler Attached (LGR S/N: 21474965)","Host Connected (LGR S/N: 21474965)","Stopped (LGR S/N: 21474965)","End Of File (LGR S/N: 21474965)"
1,07/18/22 05:45:23 PM,24.641,,,,,
2,07/18/22 05:45:37 PM,,Logged,,,,
3,07/18/22 06:45:23 PM,20.424,,,,,
4,07/18/22 07:45:23 PM,20.424,,,,,
5,07/18/22 08:45:23 PM,21.187,,,,,
6,07/18/22 09:45:23 PM,22.525,,,,,
7,07/18/22 10:45:23 PM,22.238,,,,,
8,07/18/22 11:45:23 PM,21.951,,,,,
9,07/19/22 12:45:23 AM,21.664,,,,,
10,07/19/22 01:45:23 AM,21.378,,,,,
11,07/19/22 02:45:23 AM,21.187,,,,,
12,07/19/22 03:45:23 AM,20.996,,,,,
13,07/19/22 04:45:23 AM,20.996,,,,,
14,07/19/22 05:45:23 AM,20.901,,,,,
15,07/19/22 06:45:23 AM,20.901,,,,,
16,07/19/22 07:45:23 AM,20.996,,,,,
17,07/19/22 08:45:23 AM,21.091,,,,,
18,07/19/22 09:45:23 AM,19.377,,,,,
19,07/19/22 10:45:23 AM,20.615,,,,,
20,07/19/22 11:45:23 AM,30.963,,,,,
21,07/19/22 12:45:23 PM,31.268,,,,,
22,07/19/22 01:45:23 PM,56.520,,,,,
23,07/19/22 02:45:23 PM,26.879,,,,,
24,07/19/22 03:45:23 PM,20.805,,,,,
25,07/19/22 04:45:23 PM,33.430,,,,,
26,07/19/22 05:45:23 PM,46.465,,,,,
27,07/19/22 06:45:23 PM,18.616,,,,,
28,07/19/22 07:45:23 PM,16.237,,,,,
29,07/19/22 08:45:23 PM,14.517,,,,,
30,07/19/22 09:45:23 PM,13.461,,,,,
31,07/19/22 10:45:23 PM,12.497,,,,,
32,07/19/22 11:45:23 PM,11.528,,,,,
33,07/20/22 12:45:23 AM,11.236,,,,,
34,07/20/22 01:45:23 AM,10.748,,,,,
35,07/20/22 02:45:23 AM,9.768,,,,,
36,07/20/22 03:45:23 AM,9.275,,,,,
37,07/20/22 04:45:23 AM,8.481,,,,,
38,07/20/22 05:45:23 AM,8.182,,,,,
39,07/20/22 06:45:23 AM,8.182,,,,,
40,07/20/22 07:45:23 AM,8.779,,,,,
41,07/20/22 08:45:23 AM,10.748,,,,,
42,07/20/22 09:45:23 AM,13.846,,,,,
43,07/20/22 10:45:23 AM,18.045,,,,,
44,07/20/22 11:45:23 AM,20.615,,,,,
45,07/20/22 12:45:23 PM,21.378,,,,,
46,07/20/22 01:45:23 PM,22.525,,,,,
47,07/20/22 02:45:23 PM,24.641,,,,,
48,07/20/22 03:45:23 PM,21.951,,,,,
49,07/20/22 04:45:23 PM,19.853,,,,,
50,07/20/22 05:45:23 PM,18.236,,,,,
51,07/20/22 06:45:23 PM,16.523,,,,,
52,07/20/22 07:45:23 PM,14.996,,,,,
53,07/20/22 08:45:23 PM,13.558,,,,,
54,07/20/22 09:45:23 PM,11.819,,,,,
55,07/20/22 10:45:23 PM,10.944,,,,,
56,07/20/22 11:45:23 PM,10.161,,,,,
57,07/21/22 12:45:23 AM,9.373,,,,,
58,07/21/22 01:45:23 AM,8.879,,,,,
59,07/21/22 02:45:23 AM,8.382,,,,,
60,07/21/22 03:45:23 AM,7.882,,,,,
61,07/21/22 04:45:23 AM,7.481,,,,,
