"Plot Title: 21397973"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397973, SEN S/N: 21397973)","Coupler Detached (LGR S/N: 21397973)","Coupler Attached (LGR S/N: 21397973)","Host Connected (LGR S/N: 21397973)","Stopped (LGR S/N: 21397973)","End Of File (LGR S/N: 21397973)"
1,07/18/22 05:48:50 PM,22.238,,,,,
2,07/18/22 05:49:24 PM,,Logged,,,,
3,07/18/22 06:48:50 PM,20.329,,,,,
4,07/18/22 07:48:50 PM,20.234,,,,,
5,07/18/22 08:48:50 PM,20.996,,,,,
6,07/18/22 09:48:50 PM,22.525,,,,,
7,07/18/22 10:48:50 PM,21.951,,,,,
8,07/18/22 11:48:50 PM,21.569,,,,,
9,07/19/22 12:48:50 AM,21.282,,,,,
10,07/19/22 01:48:50 AM,20.996,,,,,
11,07/19/22 02:48:50 AM,20.901,,,,,
12,07/19/22 03:48:50 AM,20.710,,,,,
13,07/19/22 04:48:50 AM,20.710,,,,,
14,07/19/22 05:48:50 AM,20.615,,,,,
15,07/19/22 06:48:50 AM,20.710,,,,,
16,07/19/22 07:48:50 AM,20.805,,,,,
17,07/19/22 08:48:50 AM,20.710,,,,,
18,07/19/22 09:48:50 AM,19.092,,,,,
19,07/19/22 10:48:50 AM,20.329,,,,,
20,07/19/22 11:48:50 AM,46.722,,,,,
21,07/19/22 12:48:50 PM,30.356,,,,,
22,07/19/22 01:48:50 PM,25.028,,,,,
23,07/19/22 02:48:50 PM,22.333,,,,,
24,07/19/22 03:48:50 PM,18.331,,,,,
25,07/19/22 04:48:50 PM,19.377,,,,,
26,07/19/22 05:48:50 PM,20.901,,,,,
27,07/19/22 06:48:50 PM,18.236,,,,,
28,07/19/22 07:48:50 PM,14.709,,,,,
29,07/19/22 08:48:50 PM,12.497,,,,,
30,07/19/22 09:48:50 PM,11.431,,,,,
31,07/19/22 10:48:50 PM,9.965,,,,,
32,07/19/22 11:48:50 PM,9.275,,,,,
33,07/20/22 12:48:50 AM,9.373,,,,,
34,07/20/22 01:48:50 AM,8.879,,,,,
35,07/20/22 02:48:50 AM,8.182,,,,,
36,07/20/22 03:48:50 AM,7.582,,,,,
37,07/20/22 04:48:50 AM,7.079,,,,,
38,07/20/22 05:48:50 AM,7.079,,,,,
39,07/20/22 06:48:50 AM,7.381,,,,,
40,07/20/22 07:48:50 AM,9.472,,,,,
41,07/20/22 08:48:50 AM,13.654,,,,,
42,07/20/22 09:48:50 AM,15.091,,,,,
43,07/20/22 10:48:50 AM,19.662,,,,,
44,07/20/22 11:48:50 AM,21.187,,,,,
45,07/20/22 12:48:50 PM,21.664,,,,,
46,07/20/22 01:48:50 PM,24.351,,,,,
47,07/20/22 02:48:50 PM,25.416,,,,,
48,07/20/22 03:48:50 PM,21.187,,,,,
49,07/20/22 04:48:50 PM,17.094,,,,,
50,07/20/22 05:48:50 PM,15.473,,,,,
51,07/20/22 06:48:50 PM,13.942,,,,,
52,07/20/22 07:48:50 PM,12.594,,,,,
53,07/20/22 08:48:50 PM,10.748,,,,,
54,07/20/22 09:48:50 PM,9.077,,,,,
55,07/20/22 10:48:50 PM,8.382,,,,,
56,07/20/22 11:48:50 PM,8.082,,,,,
57,07/21/22 12:48:50 AM,7.481,,,,,
58,07/21/22 01:48:50 AM,7.079,,,,,
59,07/21/22 02:48:50 AM,6.573,,,,,
60,07/21/22 03:48:50 AM,5.962,,,,,
61,07/21/22 04:48:50 AM,5.552,,,,,
62,07/21/22 05:48:50 AM,5.141,,,,,
63,07/21/22 06:48:50 AM,5.962,,,,,
64,07/21/22 07:48:50 AM,9.571,,,,,
65,07/21/22 08:48:50 AM,14.134,,,,,
66,07/21/22 09:48:50 AM,17.094,,,,,
67,07/21/22 10:48:50 AM,15.664,,,,,
68,07/21/22 11:48:50 AM,19.092,,,,,
69,07/21/22 12:48:50 PM,21.760,,,,,
70,07/21/22 01:48:50 PM,21.569,,,,,
71,07/21/22 02:48:50 PM,22.142,,,,,
72,07/21/22 03:48:50 PM,23.292,,,,,
73,07/21/22 04:48:50 PM,22.238,,,,,
74,07/21/22 05:48:50 PM,18.426,,,,,
75,07/21/22 06:48:50 PM,16.618,,,,,
76,07/21/22 07:48:50 PM,15.187,,,,,
77,07/21/22 08:48:50 PM,11.916,,,,,
78,07/21/22 09:48:50 PM,9.472,,,,,
79,07/21/22 10:48:50 PM,8.382,,,,,
80,07/21/22 11:48:50 PM,8.082,,,,,
81,07/22/22 12:48:50 AM,7.582,,,,,
