"Plot Title: 21397972"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397972, SEN S/N: 21397972)","Coupler Detached (LGR S/N: 21397972)","Coupler Attached (LGR S/N: 21397972)","Host Connected (LGR S/N: 21397972)","Stopped (LGR S/N: 21397972)","End Of File (LGR S/N: 21397972)"
1,07/18/22 05:47:00 PM,22.621,,,,,
2,07/18/22 05:47:20 PM,,Logged,,,,
3,07/18/22 06:47:00 PM,20.424,,,,,
4,07/18/22 07:47:00 PM,20.424,,,,,
5,07/18/22 08:47:00 PM,21.091,,,,,
6,07/18/22 09:47:00 PM,22.717,,,,,
7,07/18/22 10:47:00 PM,22.046,,,,,
8,07/18/22 11:47:00 PM,21.569,,,,,
9,07/19/22 12:47:00 AM,21.282,,,,,
10,07/19/22 01:47:00 AM,21.187,,,,,
11,07/19/22 02:47:00 AM,20.996,,,,,
12,07/19/22 03:47:00 AM,20.996,,,,,
13,07/19/22 04:47:00 AM,20.901,,,,,
14,07/19/22 05:47:00 AM,20.901,,,,,
15,07/19/22 06:47:00 AM,21.187,,,,,
16,07/19/22 07:47:00 AM,21.187,,,,,
17,07/19/22 08:47:00 AM,20.138,,,,,
18,07/19/22 09:47:00 AM,18.901,,,,,
19,07/19/22 10:47:00 AM,20.805,,,,,
20,07/19/22 11:47:00 AM,46.465,,,,,
21,07/19/22 12:47:00 PM,32.600,,,,,
22,07/19/22 01:47:00 PM,37.055,,,,,
23,07/19/22 02:47:00 PM,18.140,,,,,
24,07/19/22 03:47:00 PM,14.517,,,,,
25,07/19/22 04:47:00 PM,15.569,,,,,
26,07/19/22 05:47:00 PM,15.855,,,,,
27,07/19/22 06:47:00 PM,15.091,,,,,
28,07/19/22 07:47:00 PM,13.654,,,,,
29,07/19/22 08:47:00 PM,12.980,,,,,
30,07/19/22 09:47:00 PM,11.916,,,,,
31,07/19/22 10:47:00 PM,10.748,,,,,
32,07/19/22 11:47:00 PM,10.357,,,,,
33,07/20/22 12:47:00 AM,10.063,,,,,
34,07/20/22 01:47:00 AM,9.965,,,,,
35,07/20/22 02:47:00 AM,9.472,,,,,
36,07/20/22 03:47:00 AM,9.275,,,,,
37,07/20/22 04:47:00 AM,8.680,,,,,
38,07/20/22 05:47:00 AM,8.382,,,,,
39,07/20/22 06:47:00 AM,8.082,,,,,
40,07/20/22 07:47:00 AM,8.680,,,,,
41,07/20/22 08:47:00 AM,9.768,,,,,
42,07/20/22 09:47:00 AM,10.455,,,,,
43,07/20/22 10:47:00 AM,12.980,,,,,
44,07/20/22 11:47:00 AM,14.134,,,,,
45,07/20/22 12:47:00 PM,15.187,,,,,
46,07/20/22 01:47:00 PM,16.808,,,,,
47,07/20/22 02:47:00 PM,18.140,,,,,
48,07/20/22 03:47:00 PM,16.903,,,,,
49,07/20/22 04:47:00 PM,15.378,,,,,
50,07/20/22 05:47:00 PM,14.517,,,,,
51,07/20/22 06:47:00 PM,13.654,,,,,
52,07/20/22 07:47:00 PM,12.304,,,,,
53,07/20/22 08:47:00 PM,11.625,,,,,
54,07/20/22 09:47:00 PM,10.944,,,,,
55,07/20/22 10:47:00 PM,10.455,,,,,
56,07/20/22 11:47:00 PM,9.965,,,,,
57,07/21/22 12:47:00 AM,9.472,,,,,
58,07/21/22 01:47:00 AM,9.176,,,,,
59,07/21/22 02:47:00 AM,8.879,,,,,
60,07/21/22 03:47:00 AM,8.382,,,,,
61,07/21/22 04:47:00 AM,7.882,,,,,
62,07/21/22 05:47:00 AM,7.280,,,,,
63,07/21/22 06:47:00 AM,7.179,,,,,
64,07/21/22 07:47:00 AM,8.282,,,,,
65,07/21/22 08:47:00 AM,9.866,,,,,
66,07/21/22 09:47:00 AM,11.139,,,,,
67,07/21/22 10:47:00 AM,11.528,,,,,
68,07/21/22 11:47:00 AM,13.558,,,,,
69,07/21/22 12:47:00 PM,15.187,,,,,
70,07/21/22 01:47:00 PM,15.951,,,,,
71,07/21/22 02:47:00 PM,17.094,,,,,
72,07/21/22 03:47:00 PM,18.331,,,,,
73,07/21/22 04:47:00 PM,18.236,,,,,
74,07/21/22 05:47:00 PM,16.618,,,,,
75,07/21/22 06:47:00 PM,15.378,,,,,
76,07/21/22 07:47:00 PM,14.325,,,,,
77,07/21/22 08:47:00 PM,13.365,,,,,
78,07/21/22 09:47:00 PM,12.497,,,,,
79,07/21/22 10:47:00 PM,10.846,,,,,
80,07/21/22 11:47:00 PM,10.357,,,,,
81,07/22/22 12:47:00 AM,9.965,,,,,
82,07/22/22 01:47:00 AM,9.669,,,,,
83,07/22/22 02:47:00 AM,9.176,,,,,
84,07/22/22 03:47:00 AM,8.581,,,,,
85,07/22/22 04:47:00 AM,7.782,,,,,
86,07/22/22 05:47:00 AM,7.481,,,,,
87,07/22/22 06:47:00 AM,7.582,,,,,
88,07/22/22 07:47:00 AM,8.879,,,,,
89,07/22/22 08:47:00 AM,10.259,,,,,
90,07/22/22 09:47:00 AM,12.304,,,,,
91,07/22/22 10:47:00 AM,13.461,,,,,
92,07/22/22 11:47:00 AM,15.855,,,,,
93,07/22/22 12:47:00 PM,17.284,,,,,
94,07/22/22 01:47:00 PM,18.045,,,,,
