"Plot Title: 21397964"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397964, SEN S/N: 21397964)","Coupler Detached (LGR S/N: 21397964)","Coupler Attached (LGR S/N: 21397964)","Host Connected (LGR S/N: 21397964)","Stopped (LGR S/N: 21397964)","End Of File (LGR S/N: 21397964)"
1,07/01/22 12:28:58 PM,28.060,,,,,
2,07/01/22 12:29:14 PM,,Logged,,,,
3,07/01/22 01:28:58 PM,16.808,,,,,
4,07/01/22 02:28:58 PM,17.189,,,,,
5,07/01/22 03:28:58 PM,16.237,,,,,
6,07/01/22 04:28:58 PM,16.903,,,,,
7,07/01/22 05:28:58 PM,15.378,,,,,
8,07/01/22 06:28:58 PM,12.883,,,,,
9,07/01/22 07:28:58 PM,12.497,,,,,
10,07/01/22 08:28:58 PM,10.748,,,,,
11,07/01/22 09:28:58 PM,9.472,,,,,
12,07/01/22 10:28:58 PM,8.581,,,,,
13,07/01/22 11:28:58 PM,7.782,,,,,
14,07/02/22 12:28:58 AM,6.978,,,,,
15,07/02/22 01:28:58 AM,6.268,,,,,
16,07/02/22 02:28:58 AM,5.757,,,,,
17,07/02/22 03:28:58 AM,5.244,,,,,
18,07/02/22 04:28:58 AM,4.934,,,,,
19,07/02/22 05:28:58 AM,4.519,,,,,
20,07/02/22 06:28:58 AM,4.207,,,,,
21,07/02/22 07:28:58 AM,6.268,,,,,
22,07/02/22 08:28:58 AM,9.866,,,,,
23,07/02/22 09:28:58 AM,13.173,,,,,
24,07/02/22 10:28:58 AM,15.760,,,,,
25,07/02/22 11:28:58 AM,18.711,,,,,
26,07/02/22 12:28:58 PM,19.187,,,,,
27,07/02/22 01:28:58 PM,18.901,,,,,
28,07/02/22 02:28:58 PM,20.424,,,,,
29,07/02/22 03:28:58 PM,19.567,,,,,
30,07/02/22 04:28:58 PM,17.950,,,,,
31,07/02/22 05:28:58 PM,15.569,,,,,
32,07/02/22 06:28:58 PM,13.461,,,,,
33,07/02/22 07:28:58 PM,11.722,,,,,
34,07/02/22 08:28:58 PM,11.139,,,,,
35,07/02/22 09:28:58 PM,9.768,,,,,
36,07/02/22 10:28:58 PM,8.779,,,,,
37,07/02/22 11:28:58 PM,8.382,,,,,
38,07/03/22 12:28:58 AM,8.082,,,,,
39,07/03/22 01:28:58 AM,7.682,,,,,
40,07/03/22 02:28:58 AM,7.280,,,,,
41,07/03/22 03:28:58 AM,6.877,,,,,
42,07/03/22 04:28:58 AM,6.573,,,,,
43,07/03/22 05:28:58 AM,6.166,,,,,
44,07/03/22 06:28:58 AM,5.860,,,,,
45,07/03/22 07:28:58 AM,7.381,,,,,
46,07/03/22 08:28:58 AM,10.063,,,,,
47,07/03/22 09:28:58 AM,13.076,,,,,
48,07/03/22 10:28:58 AM,16.046,,,,,
49,07/03/22 11:28:58 AM,18.616,,,,,
50,07/03/22 12:28:58 PM,21.282,,,,,
51,07/03/22 01:28:58 PM,20.901,,,,,
