"Plot Title: 21397962"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397962, SEN S/N: 21397962)","Coupler Detached (LGR S/N: 21397962)","Coupler Attached (LGR S/N: 21397962)","Host Connected (LGR S/N: 21397962)","Stopped (LGR S/N: 21397962)","End Of File (LGR S/N: 21397962)"
1,07/01/22 03:25:23 PM,22.142,,,,,
2,07/01/22 03:25:39 PM,,Logged,,,,
3,07/01/22 04:25:23 PM,19.662,,,,,
4,07/01/22 05:25:23 PM,18.236,,,,,
5,07/01/22 06:25:23 PM,12.883,,,,,
6,07/01/22 07:25:23 PM,13.173,,,,,
7,07/01/22 08:25:23 PM,10.553,,,,,
8,07/01/22 09:25:23 PM,9.176,,,,,
9,07/01/22 10:25:23 PM,8.282,,,,,
10,07/01/22 11:25:23 PM,7.481,,,,,
11,07/02/22 12:25:23 AM,6.573,,,,,
12,07/02/22 01:25:23 AM,5.860,,,,,
13,07/02/22 02:25:23 AM,5.655,,,,,
14,07/02/22 03:25:23 AM,5.141,,,,,
15,07/02/22 04:25:23 AM,4.831,,,,,
16,07/02/22 05:25:23 AM,4.519,,,,,
17,07/02/22 06:25:23 AM,4.207,,,,,
18,07/02/22 07:25:23 AM,4.207,,,,,
19,07/02/22 08:25:23 AM,6.268,,,,,
20,07/02/22 09:25:23 AM,8.978,,,,,
21,07/02/22 10:25:23 AM,11.819,,,,,
22,07/02/22 11:25:23 AM,15.187,,,,,
23,07/02/22 12:25:23 PM,17.950,,,,,
24,07/02/22 01:25:23 PM,19.092,,,,,
25,07/02/22 02:25:23 PM,21.664,,,,,
26,07/02/22 03:25:23 PM,22.142,,,,,
27,07/02/22 04:25:23 PM,19.092,,,,,
28,07/02/22 05:25:23 PM,15.091,,,,,
29,07/02/22 06:25:23 PM,11.722,,,,,
30,07/02/22 07:25:23 PM,10.455,,,,,
31,07/02/22 08:25:23 PM,9.866,,,,,
32,07/02/22 09:25:23 PM,8.481,,,,,
33,07/02/22 10:25:23 PM,7.782,,,,,
34,07/02/22 11:25:23 PM,7.481,,,,,
35,07/03/22 12:25:23 AM,7.280,,,,,
36,07/03/22 01:25:23 AM,6.978,,,,,
37,07/03/22 02:25:23 AM,6.674,,,,,
38,07/03/22 03:25:23 AM,6.471,,,,,
39,07/03/22 04:25:23 AM,6.370,,,,,
40,07/03/22 05:25:23 AM,6.166,,,,,
41,07/03/22 06:25:23 AM,5.757,,,,,
42,07/03/22 07:25:23 AM,5.655,,,,,
43,07/03/22 08:25:23 AM,7.381,,,,,
44,07/03/22 09:25:23 AM,9.768,,,,,
45,07/03/22 10:25:23 AM,12.207,,,,,
46,07/03/22 11:25:23 AM,14.996,,,,,
47,07/03/22 12:25:23 PM,18.806,,,,,
48,07/03/22 01:25:23 PM,19.662,,,,,
49,07/03/22 02:25:23 PM,21.569,,,,,
50,07/03/22 03:25:23 PM,19.187,,,,,
51,07/03/22 04:25:23 PM,13.558,,,,,
52,07/03/22 05:25:23 PM,16.523,,,,,
53,07/03/22 06:25:23 PM,14.709,,,,,
54,07/03/22 07:25:23 PM,12.497,,,,,
55,07/03/22 08:25:23 PM,10.944,,,,,
56,07/03/22 09:25:23 PM,9.373,,,,,
57,07/03/22 10:25:23 PM,8.382,,,,,
58,07/03/22 11:25:23 PM,7.782,,,,,
59,07/04/22 12:25:23 AM,7.280,,,,,
60,07/04/22 01:25:23 AM,7.079,,,,,
61,07/04/22 02:25:23 AM,6.877,,,,,
62,07/04/22 03:25:23 AM,6.573,,,,,
63,07/04/22 04:25:23 AM,6.166,,,,,
64,07/04/22 05:25:23 AM,5.450,,,,,
65,07/04/22 06:25:23 AM,5.037,,,,,
66,07/04/22 07:25:23 AM,5.244,,,,,
67,07/04/22 08:25:23 AM,7.079,,,,,
68,07/04/22 09:25:23 AM,10.161,,,,,
69,07/04/22 10:25:23 AM,12.594,,,,,
70,07/04/22 11:25:23 AM,15.664,,,,,
71,07/04/22 12:25:23 PM,19.092,,,,,
72,07/04/22 01:25:23 PM,19.282,,,,,
73,07/04/22 02:25:23 PM,21.760,,,,,
74,07/04/22 03:25:23 PM,18.996,,,,,
75,07/04/22 04:25:23 PM,18.331,,,,,
76,07/04/22 05:25:23 PM,18.236,,,,,
77,07/04/22 06:25:23 PM,17.475,,,,,
78,07/04/22 07:25:23 PM,13.750,,,,,
79,07/04/22 08:25:23 PM,12.401,,,,,
80,07/04/22 09:25:23 PM,11.041,,,,,
81,07/04/22 10:25:23 PM,9.768,,,,,
82,07/04/22 11:25:23 PM,8.779,,,,,
83,07/05/22 12:25:23 AM,8.082,,,,,
84,07/05/22 01:25:23 AM,7.782,,,,,
85,07/05/22 02:25:23 AM,7.582,,,,,
86,07/05/22 03:25:23 AM,6.978,,,,,
87,07/05/22 04:25:23 AM,6.674,,,,,
88,07/05/22 05:25:23 AM,6.573,,,,,
89,07/05/22 06:25:23 AM,6.370,,,,,
90,07/05/22 07:25:23 AM,6.573,,,,,
91,07/05/22 08:25:23 AM,8.082,,,,,
92,07/05/22 09:25:23 AM,10.259,,,,,
93,07/05/22 10:25:23 AM,13.942,,,,,
94,07/05/22 11:25:23 AM,14.900,,,,,
95,07/05/22 12:25:23 PM,11.819,,,,,
96,07/05/22 01:25:23 PM,8.581,,,,,
97,07/05/22 02:25:23 PM,13.846,,,,,
98,07/05/22 03:25:23 PM,12.594,,,,,
99,07/05/22 04:25:23 PM,10.063,,,,,
100,07/05/22 05:25:23 PM,11.819,,,,,
101,07/05/22 06:25:23 PM,10.944,,,,,
102,07/05/22 07:25:23 PM,10.063,,,,,
103,07/05/22 08:25:23 PM,8.978,,,,,
104,07/05/22 09:25:23 PM,8.282,,,,,
105,07/05/22 10:25:23 PM,7.682,,,,,
106,07/05/22 11:25:23 PM,7.280,,,,,
107,07/06/22 12:25:23 AM,6.877,,,,,
108,07/06/22 01:25:23 AM,6.268,,,,,
109,07/06/22 02:25:23 AM,5.757,,,,,
110,07/06/22 03:25:23 AM,5.450,,,,,
111,07/06/22 04:25:23 AM,5.860,,,,,
112,07/06/22 05:25:23 AM,5.860,,,,,
113,07/06/22 06:25:23 AM,5.860,,,,,
114,07/06/22 07:25:23 AM,5.962,,,,,
115,07/06/22 08:25:23 AM,6.775,,,,,
116,07/06/22 09:25:23 AM,9.472,,,,,
117,07/06/22 10:25:23 AM,11.625,,,,,
118,07/06/22 11:25:23 AM,14.517,,,,,
119,07/06/22 12:25:23 PM,14.421,,,,,
120,07/06/22 01:25:23 PM,15.091,,,,,
121,07/06/22 02:25:23 PM,19.282,,,,,
122,07/06/22 03:25:23 PM,21.187,,,,,
123,07/06/22 04:25:23 PM,19.662,,,,,
124,07/06/22 05:25:23 PM,16.046,,,,,
125,07/06/22 06:25:23 PM,14.709,,,,,
126,07/06/22 07:25:23 PM,13.750,,,,,
127,07/06/22 08:25:23 PM,11.528,,,,,
128,07/06/22 09:25:23 PM,9.965,,,,,
129,07/06/22 10:25:23 PM,8.978,,,,,
130,07/06/22 11:25:23 PM,8.382,,,,,
131,07/07/22 12:25:23 AM,7.782,,,,,
132,07/07/22 01:25:23 AM,7.682,,,,,
133,07/07/22 02:25:23 AM,7.381,,,,,
134,07/07/22 03:25:23 AM,7.280,,,,,
135,07/07/22 04:25:23 AM,6.573,,,,,
136,07/07/22 05:25:23 AM,5.962,,,,,
137,07/07/22 06:25:23 AM,5.757,,,,,
138,07/07/22 07:25:23 AM,5.552,,,,,
139,07/07/22 08:25:23 AM,7.079,,,,,
140,07/07/22 09:25:23 AM,10.063,,,,,
141,07/07/22 10:25:23 AM,12.787,,,,,
142,07/07/22 11:25:23 AM,15.569,,,,,
143,07/07/22 12:25:23 PM,18.045,,,,,
144,07/07/22 01:25:23 PM,18.711,,,,,
145,07/07/22 02:25:23 PM,19.377,,,,,
146,07/07/22 03:25:23 PM,21.855,,,,,
147,07/07/22 04:25:23 PM,19.853,,,,,
148,07/07/22 05:25:23 PM,14.709,,,,,
149,07/07/22 06:25:23 PM,16.713,,,,,
150,07/07/22 07:25:23 PM,15.951,,,,,
151,07/07/22 08:25:23 PM,12.980,,,,,
152,07/07/22 09:25:23 PM,11.041,,,,,
153,07/07/22 10:25:23 PM,9.866,,,,,
154,07/07/22 11:25:23 PM,8.978,,,,,
155,07/08/22 12:25:23 AM,8.581,,,,,
156,07/08/22 01:25:23 AM,7.782,,,,,
157,07/08/22 02:25:23 AM,7.179,,,,,
158,07/08/22 03:25:23 AM,6.978,,,,,
159,07/08/22 04:25:23 AM,6.268,,,,,
160,07/08/22 05:25:23 AM,5.757,,,,,
161,07/08/22 06:25:23 AM,5.860,,,,,
162,07/08/22 07:25:23 AM,6.370,,,,,
163,07/08/22 08:25:23 AM,8.481,,,,,
164,07/08/22 09:25:23 AM,11.236,,,,,
165,07/08/22 10:25:23 AM,14.230,,,,,
166,07/08/22 11:25:23 AM,17.094,,,,,
167,07/08/22 12:25:23 PM,21.091,,,,,
168,07/08/22 01:25:23 PM,23.292,,,,,
169,07/08/22 02:25:23 PM,26.195,,,,,
170,07/08/22 03:25:23 PM,27.862,,,,,
171,07/08/22 04:25:23 PM,27.468,,,,,
172,07/08/22 05:25:23 PM,23.100,,,,,
173,07/08/22 06:25:23 PM,20.043,,,,,
174,07/08/22 07:25:23 PM,16.903,,,,,
175,07/08/22 08:25:23 PM,14.325,,,,,
176,07/08/22 09:25:23 PM,12.497,,,,,
177,07/08/22 10:25:23 PM,11.625,,,,,
178,07/08/22 11:25:23 PM,10.651,,,,,
179,07/09/22 12:25:23 AM,10.161,,,,,
180,07/09/22 01:25:23 AM,9.571,,,,,
181,07/09/22 02:25:23 AM,9.176,,,,,
182,07/09/22 03:25:23 AM,8.779,,,,,
183,07/09/22 04:25:23 AM,8.481,,,,,
184,07/09/22 05:25:23 AM,7.983,,,,,
185,07/09/22 06:25:23 AM,7.682,,,,,
186,07/09/22 07:25:23 AM,7.481,,,,,
187,07/09/22 08:25:23 AM,9.275,,,,,
188,07/09/22 09:25:23 AM,11.916,,,,,
189,07/09/22 10:25:23 AM,14.134,,,,,
190,07/09/22 11:25:23 AM,16.999,,,,,
191,07/09/22 12:25:23 PM,19.567,,,,,
192,07/09/22 01:25:23 PM,22.333,,,,,
193,07/09/22 02:25:23 PM,24.062,,,,,
194,07/09/22 03:25:23 PM,25.513,,,,,
195,07/09/22 04:25:23 PM,22.812,,,,,
196,07/09/22 05:25:23 PM,21.855,,,,,
197,07/09/22 06:25:23 PM,19.377,,,,,
198,07/09/22 07:25:23 PM,18.236,,,,,
199,07/09/22 08:25:23 PM,16.808,,,,,
200,07/09/22 09:25:23 PM,14.613,,,,,
201,07/09/22 10:25:23 PM,13.173,,,,,
202,07/09/22 11:25:23 PM,12.110,,,,,
203,07/10/22 12:25:23 AM,11.722,,,,,
204,07/10/22 01:25:23 AM,11.041,,,,,
205,07/10/22 02:25:23 AM,10.455,,,,,
206,07/10/22 03:25:23 AM,10.161,,,,,
207,07/10/22 04:25:23 AM,9.866,,,,,
208,07/10/22 05:25:23 AM,9.571,,,,,
209,07/10/22 06:25:23 AM,9.176,,,,,
210,07/10/22 07:25:23 AM,9.077,,,,,
211,07/10/22 08:25:23 AM,10.651,,,,,
212,07/10/22 09:25:23 AM,12.980,,,,,
213,07/10/22 10:25:23 AM,15.378,,,,,
214,07/10/22 11:25:23 AM,17.570,,,,,
215,07/10/22 12:25:23 PM,18.711,,,,,
216,07/10/22 01:25:23 PM,19.662,,,,,
217,07/10/22 02:25:23 PM,20.138,,,,,
218,07/10/22 03:25:23 PM,20.329,,,,,
219,07/10/22 04:25:23 PM,18.426,,,,,
220,07/10/22 05:25:23 PM,15.091,,,,,
221,07/10/22 06:25:23 PM,13.173,,,,,
222,07/10/22 07:25:23 PM,12.304,,,,,
223,07/10/22 08:25:23 PM,11.528,,,,,
224,07/10/22 09:25:23 PM,10.748,,,,,
225,07/10/22 10:25:23 PM,9.866,,,,,
226,07/10/22 11:25:23 PM,9.571,,,,,
227,07/11/22 12:25:23 AM,9.176,,,,,
228,07/11/22 01:25:23 AM,8.879,,,,,
229,07/11/22 02:25:23 AM,8.581,,,,,
230,07/11/22 03:25:23 AM,8.382,,,,,
231,07/11/22 04:25:23 AM,7.882,,,,,
232,07/11/22 05:25:23 AM,7.782,,,,,
233,07/11/22 06:25:23 AM,7.983,,,,,
234,07/11/22 07:25:23 AM,7.882,,,,,
235,07/11/22 08:25:23 AM,8.680,,,,,
236,07/11/22 09:25:23 AM,11.819,,,,,
237,07/11/22 10:25:23 AM,14.900,,,,,
238,07/11/22 11:25:23 AM,17.570,,,,,
239,07/11/22 12:25:23 PM,19.662,,,,,
240,07/11/22 01:25:23 PM,21.760,,,,,
241,07/11/22 02:25:23 PM,24.255,,,,,
242,07/11/22 03:25:23 PM,23.869,,,,,
243,07/11/22 04:25:23 PM,23.581,,,,,
244,07/11/22 05:25:23 PM,23.581,,,,,
245,07/11/22 06:25:23 PM,22.812,,,,,
246,07/11/22 07:25:23 PM,21.378,,,,,
247,07/11/22 08:25:23 PM,17.570,,,,,
248,07/11/22 09:25:23 PM,14.900,,,,,
249,07/11/22 10:25:23 PM,13.654,,,,,
250,07/11/22 11:25:23 PM,11.916,,,,,
251,07/12/22 12:25:23 AM,10.846,,,,,
252,07/12/22 01:25:23 AM,10.259,,,,,
253,07/12/22 02:25:23 AM,9.571,,,,,
254,07/12/22 03:25:23 AM,9.176,,,,,
255,07/12/22 04:25:23 AM,8.481,,,,,
256,07/12/22 05:25:23 AM,8.082,,,,,
257,07/12/22 06:25:23 AM,7.682,,,,,
258,07/12/22 07:25:23 AM,7.682,,,,,
259,07/12/22 08:25:23 AM,9.571,,,,,
260,07/12/22 09:25:23 AM,12.497,,,,,
261,07/12/22 10:25:23 AM,14.804,,,,,
262,07/12/22 11:25:23 AM,14.709,,,,,
263,07/12/22 12:25:23 PM,17.475,,,,,
264,07/12/22 01:25:23 PM,20.519,,,,,
265,07/12/22 02:25:23 PM,21.855,,,,,
266,07/12/22 03:25:23 PM,21.569,,,,,
267,07/12/22 04:25:23 PM,20.710,,,,,
268,07/12/22 05:25:23 PM,23.388,,,,,
269,07/12/22 06:25:23 PM,23.388,,,,,
270,07/12/22 07:25:23 PM,21.187,,,,,
271,07/12/22 08:25:23 PM,17.760,,,,,
272,07/12/22 09:25:23 PM,14.325,,,,,
273,07/12/22 10:25:23 PM,12.304,,,,,
274,07/12/22 11:25:23 PM,11.139,,,,,
275,07/13/22 12:25:23 AM,10.553,,,,,
276,07/13/22 01:25:23 AM,10.357,,,,,
277,07/13/22 02:25:23 AM,9.866,,,,,
278,07/13/22 03:25:23 AM,9.472,,,,,
279,07/13/22 04:25:23 AM,9.176,,,,,
280,07/13/22 05:25:23 AM,8.779,,,,,
281,07/13/22 06:25:23 AM,8.282,,,,,
282,07/13/22 07:25:23 AM,8.082,,,,,
283,07/13/22 08:25:23 AM,10.063,,,,,
284,07/13/22 09:25:23 AM,12.497,,,,,
285,07/13/22 10:25:23 AM,15.187,,,,,
286,07/13/22 11:25:23 AM,18.236,,,,,
287,07/13/22 12:25:23 PM,18.806,,,,,
288,07/13/22 01:25:23 PM,20.996,,,,,
289,07/13/22 02:25:23 PM,23.292,,,,,
290,07/13/22 03:25:23 PM,21.760,,,,,
291,07/13/22 04:25:23 PM,18.901,,,,,
292,07/13/22 05:25:23 PM,18.711,,,,,
293,07/13/22 06:25:23 PM,16.808,,,,,
294,07/13/22 07:25:23 PM,17.950,,,,,
295,07/13/22 08:25:23 PM,15.378,,,,,
296,07/13/22 09:25:23 PM,12.690,,,,,
297,07/13/22 10:25:23 PM,11.722,,,,,
298,07/13/22 11:25:23 PM,11.139,,,,,
299,07/14/22 12:25:23 AM,10.846,,,,,
300,07/14/22 01:25:23 AM,10.357,,,,,
301,07/14/22 02:25:23 AM,10.063,,,,,
302,07/14/22 03:25:23 AM,9.669,,,,,
303,07/14/22 04:25:23 AM,9.472,,,,,
304,07/14/22 05:25:23 AM,8.879,,,,,
305,07/14/22 06:25:23 AM,8.581,,,,,
306,07/14/22 07:25:23 AM,8.581,,,,,
307,07/14/22 08:25:23 AM,10.455,,,,,
308,07/14/22 09:25:23 AM,12.401,,,,,
309,07/14/22 10:25:23 AM,15.091,,,,,
310,07/14/22 11:25:23 AM,16.332,,,,,
311,07/14/22 12:25:23 PM,17.855,,,,,
312,07/14/22 01:25:23 PM,22.333,,,,,
313,07/14/22 02:25:23 PM,24.062,,,,,
314,07/14/22 03:25:23 PM,22.621,,,,,
315,07/14/22 04:25:23 PM,22.812,,,,,
316,07/14/22 05:25:23 PM,20.043,,,,,
317,07/14/22 06:25:23 PM,17.189,,,,,
318,07/14/22 07:25:23 PM,11.236,,,,,
319,07/14/22 08:25:23 PM,10.651,,,,,
320,07/14/22 09:25:23 PM,10.357,,,,,
321,07/14/22 10:25:23 PM,10.161,,,,,
322,07/14/22 11:25:23 PM,9.965,,,,,
323,07/15/22 12:25:23 AM,9.669,,,,,
324,07/15/22 01:25:23 AM,9.373,,,,,
325,07/15/22 02:25:23 AM,8.978,,,,,
326,07/15/22 03:25:23 AM,8.978,,,,,
327,07/15/22 04:25:23 AM,8.978,,,,,
328,07/15/22 05:25:23 AM,8.879,,,,,
329,07/15/22 06:25:23 AM,8.581,,,,,
330,07/15/22 07:25:23 AM,8.382,,,,,
331,07/15/22 08:25:23 AM,10.259,,,,,
332,07/15/22 09:25:23 AM,12.207,,,,,
333,07/15/22 10:25:23 AM,12.594,,,,,
334,07/15/22 11:25:23 AM,16.332,,,,,
335,07/15/22 12:25:23 PM,18.616,,,,,
336,07/15/22 01:25:23 PM,20.519,,,,,
337,07/15/22 02:25:23 PM,18.426,,,,,
338,07/15/22 03:25:23 PM,18.236,,,,,
339,07/15/22 04:25:23 PM,17.760,,,,,
340,07/15/22 05:25:23 PM,16.332,,,,,
341,07/15/22 06:25:23 PM,14.900,,,,,
342,07/15/22 07:25:23 PM,13.269,,,,,
343,07/15/22 08:25:23 PM,11.528,,,,,
344,07/15/22 09:25:23 PM,10.944,,,,,
345,07/15/22 10:25:23 PM,10.455,,,,,
346,07/15/22 11:25:23 PM,10.063,,,,,
347,07/16/22 12:25:23 AM,9.965,,,,,
348,07/16/22 01:25:23 AM,9.768,,,,,
349,07/16/22 02:25:23 AM,9.176,,,,,
350,07/16/22 03:25:23 AM,8.680,,,,,
351,07/16/22 04:25:23 AM,8.382,,,,,
352,07/16/22 05:25:23 AM,8.082,,,,,
353,07/16/22 06:25:23 AM,7.782,,,,,
354,07/16/22 07:25:23 AM,7.983,,,,,
355,07/16/22 08:25:23 AM,9.077,,,,,
356,07/16/22 09:25:23 AM,11.139,,,,,
357,07/16/22 10:25:23 AM,12.690,,,,,
358,07/16/22 11:25:23 AM,13.076,,,,,
359,07/16/22 12:25:23 PM,15.282,,,,,
360,07/16/22 01:25:23 PM,18.331,,,,,
361,07/16/22 02:25:23 PM,19.758,,,,,
362,07/16/22 03:25:23 PM,16.046,,,,,
363,07/16/22 04:25:23 PM,17.760,,,,,
364,07/16/22 05:25:23 PM,20.138,,,,,
365,07/16/22 06:25:23 PM,18.331,,,,,
366,07/16/22 07:25:23 PM,16.808,,,,,
367,07/16/22 08:25:23 PM,14.517,,,,,
368,07/16/22 09:25:23 PM,12.013,,,,,
369,07/16/22 10:25:23 PM,10.748,,,,,
370,07/16/22 11:25:23 PM,9.965,,,,,
371,07/17/22 12:25:23 AM,9.275,,,,,
372,07/17/22 01:25:23 AM,8.680,,,,,
373,07/17/22 02:25:23 AM,7.983,,,,,
374,07/17/22 03:25:23 AM,7.682,,,,,
375,07/17/22 04:25:23 AM,7.179,,,,,
376,07/17/22 05:25:23 AM,6.877,,,,,
377,07/17/22 06:25:23 AM,6.775,,,,,
378,07/17/22 07:25:23 AM,6.775,,,,,
379,07/17/22 08:25:23 AM,8.779,,,,,
380,07/17/22 09:25:23 AM,11.916,,,,,
381,07/17/22 10:25:23 AM,15.091,,,,,
382,07/17/22 11:25:23 AM,18.426,,,,,
383,07/17/22 12:25:23 PM,21.760,,,,,
384,07/17/22 01:25:23 PM,24.738,,,,,
385,07/17/22 02:25:23 PM,25.610,,,,,
386,07/17/22 03:25:23 PM,26.488,,,,,
387,07/17/22 04:25:23 PM,26.000,,,,,
388,07/17/22 05:25:23 PM,23.773,,,,,
389,07/17/22 06:25:23 PM,20.996,,,,,
390,07/17/22 07:25:23 PM,18.901,,,,,
391,07/17/22 08:25:23 PM,16.523,,,,,
392,07/17/22 09:25:23 PM,14.421,,,,,
393,07/17/22 10:25:23 PM,13.173,,,,,
394,07/17/22 11:25:23 PM,12.594,,,,,
395,07/18/22 12:25:23 AM,12.013,,,,,
396,07/18/22 01:25:23 AM,11.334,,,,,
397,07/18/22 02:25:23 AM,10.846,,,,,
398,07/18/22 03:25:23 AM,10.651,,,,,
399,07/18/22 04:25:23 AM,10.455,,,,,
400,07/18/22 05:25:23 AM,10.259,,,,,
401,07/18/22 06:25:23 AM,9.768,,,,,
402,07/18/22 07:25:23 AM,9.866,,,,,
403,07/18/22 08:25:23 AM,11.139,,,,,
404,07/18/22 09:25:23 AM,13.558,,,,,
405,07/18/22 10:25:23 AM,13.654,,,,,
406,07/18/22 11:25:23 AM,13.846,,,,,
407,07/18/22 12:25:23 PM,18.331,,,,,
408,07/18/22 01:25:23 PM,22.142,,,,,
409,07/18/22 02:25:23 PM,23.100,,,,,
410,07/18/22 03:25:23 PM,23.869,,,,,
411,07/18/22 04:25:23 PM,19.282,,,,,
412,07/18/22 05:25:23 PM,22.046,,,,,
413,07/18/22 06:25:23 PM,20.710,,,,,
414,07/18/22 07:25:23 PM,17.570,,,,,
415,07/18/22 08:25:23 PM,14.900,,,,,
416,07/18/22 09:25:23 PM,12.980,,,,,
417,07/18/22 10:25:23 PM,11.916,,,,,
