"Plot Title: 21474967"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474967, SEN S/N: 21474967)","Host Connected (LGR S/N: 21474967)","Coupler Detached (LGR S/N: 21474967)","Coupler Attached (LGR S/N: 21474967)","Stopped (LGR S/N: 21474967)","End Of File (LGR S/N: 21474967)"
1,07/20/22 05:33:30 PM,23.196,,,,,
2,07/20/22 05:33:47 PM,,Logged,,,,
3,07/20/22 05:33:48 PM,,,Logged,,,
4,07/20/22 06:33:30 PM,22.621,,,,,
5,07/20/22 07:33:30 PM,22.333,,,,,
6,07/20/22 08:33:30 PM,23.100,,,,,
7,07/20/22 09:33:30 PM,23.388,,,,,
8,07/20/22 10:33:30 PM,23.004,,,,,
9,07/20/22 11:33:30 PM,22.238,,,,,
10,07/21/22 12:33:30 AM,21.473,,,,,
11,07/21/22 01:33:30 AM,21.091,,,,,
12,07/21/22 02:33:30 AM,20.996,,,,,
13,07/21/22 03:33:30 AM,20.996,,,,,
14,07/21/22 04:33:30 AM,21.091,,,,,
15,07/21/22 05:33:30 AM,20.901,,,,,
16,07/21/22 06:33:30 AM,20.234,,,,,
17,07/21/22 07:33:30 AM,20.138,,,,,
18,07/21/22 08:33:30 AM,20.329,,,,,
19,07/21/22 09:33:30 AM,19.567,,,,,
20,07/21/22 10:33:30 AM,18.521,,,,,
21,07/21/22 11:33:30 AM,22.908,,,,,
22,07/21/22 12:33:30 PM,23.966,,,,,
23,07/21/22 01:33:30 PM,20.805,,,,,
24,07/21/22 02:33:30 PM,23.677,,,,,
25,07/21/22 03:33:30 PM,25.902,,,,,
26,07/21/22 04:33:30 PM,25.902,,,,,
27,07/21/22 05:33:30 PM,22.621,,,,,
28,07/21/22 06:33:30 PM,19.377,,,,,
29,07/21/22 07:33:30 PM,17.570,,,,,
30,07/21/22 08:33:30 PM,14.134,,,,,
31,07/21/22 09:33:30 PM,11.916,,,,,
32,07/21/22 10:33:30 PM,10.651,,,,,
33,07/21/22 11:33:30 PM,9.768,,,,,
34,07/22/22 12:33:30 AM,9.176,,,,,
35,07/22/22 01:33:30 AM,8.581,,,,,
36,07/22/22 02:33:30 AM,8.182,,,,,
37,07/22/22 03:33:30 AM,7.682,,,,,
38,07/22/22 04:33:30 AM,7.079,,,,,
39,07/22/22 05:33:30 AM,6.674,,,,,
40,07/22/22 06:33:30 AM,6.166,,,,,
41,07/22/22 07:33:30 AM,7.983,,,,,
42,07/22/22 08:33:30 AM,13.173,,,,,
43,07/22/22 09:33:30 AM,18.426,,,,,
44,07/22/22 10:33:30 AM,22.525,,,,,
45,07/22/22 11:33:30 AM,26.000,,,,,
46,07/22/22 12:33:30 PM,28.159,,,,,
47,07/22/22 01:33:30 PM,28.953,,,,,
48,07/22/22 02:33:30 PM,31.166,,,,,
49,07/22/22 03:33:30 PM,27.468,,,,,
50,07/22/22 04:33:30 PM,26.585,,,,,
51,07/22/22 05:33:30 PM,20.234,,,,,
52,07/22/22 06:33:30 PM,20.710,,,,,
53,07/22/22 07:33:30 PM,18.236,,,,,
54,07/22/22 08:33:30 PM,14.900,,,,,
55,07/22/22 09:33:30 PM,12.497,,,,,
