"Plot Title: 21397969"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397969, SEN S/N: 21397969)","Coupler Detached (LGR S/N: 21397969)","Coupler Attached (LGR S/N: 21397969)","Host Connected (LGR S/N: 21397969)","Stopped (LGR S/N: 21397969)","End Of File (LGR S/N: 21397969)"
1,07/08/22 01:54:33 PM,30.760,,,,,
2,07/08/22 01:54:53 PM,,Logged,,,,
3,07/08/22 02:54:33 PM,30.963,,,,,
4,07/08/22 03:54:33 PM,30.054,,,,,
5,07/08/22 04:54:33 PM,24.062,,,,,
6,07/08/22 05:54:33 PM,19.377,,,,,
7,07/08/22 06:54:33 PM,17.189,,,,,
8,07/08/22 07:54:33 PM,14.421,,,,,
9,07/08/22 08:54:33 PM,12.013,,,,,
10,07/08/22 09:54:33 PM,10.553,,,,,
11,07/08/22 10:54:33 PM,9.571,,,,,
12,07/08/22 11:54:33 PM,8.779,,,,,
13,07/09/22 12:54:33 AM,8.282,,,,,
14,07/09/22 01:54:33 AM,7.882,,,,,
15,07/09/22 02:54:33 AM,7.481,,,,,
16,07/09/22 03:54:33 AM,7.079,,,,,
17,07/09/22 04:54:33 AM,6.674,,,,,
18,07/09/22 05:54:33 AM,6.370,,,,,
19,07/09/22 06:54:33 AM,6.775,,,,,
20,07/09/22 07:54:33 AM,9.176,,,,,
21,07/09/22 08:54:33 AM,12.594,,,,,
22,07/09/22 09:54:33 AM,15.473,,,,,
23,07/09/22 10:54:33 AM,19.282,,,,,
24,07/09/22 11:54:33 AM,21.473,,,,,
25,07/09/22 12:54:33 PM,25.319,,,,,
26,07/09/22 01:54:33 PM,27.173,,,,,
27,07/09/22 02:54:33 PM,27.862,,,,,
28,07/09/22 03:54:33 PM,25.416,,,,,
29,07/09/22 04:54:33 PM,23.773,,,,,
30,07/09/22 05:54:33 PM,21.187,,,,,
31,07/09/22 06:54:33 PM,18.616,,,,,
32,07/09/22 07:54:33 PM,16.999,,,,,
33,07/09/22 08:54:33 PM,14.900,,,,,
34,07/09/22 09:54:33 PM,13.076,,,,,
35,07/09/22 10:54:33 PM,11.722,,,,,
36,07/09/22 11:54:33 PM,10.944,,,,,
37,07/10/22 12:54:33 AM,10.357,,,,,
38,07/10/22 01:54:33 AM,9.669,,,,,
39,07/10/22 02:54:33 AM,9.275,,,,,
40,07/10/22 03:54:33 AM,8.978,,,,,
41,07/10/22 04:54:33 AM,8.680,,,,,
42,07/10/22 05:54:33 AM,8.082,,,,,
43,07/10/22 06:54:33 AM,8.481,,,,,
44,07/10/22 07:54:33 AM,10.455,,,,,
45,07/10/22 08:54:33 AM,13.750,,,,,
46,07/10/22 09:54:33 AM,16.523,,,,,
47,07/10/22 10:54:33 AM,19.853,,,,,
48,07/10/22 11:54:33 AM,20.710,,,,,
49,07/10/22 12:54:33 PM,22.046,,,,,
50,07/10/22 01:54:33 PM,25.805,,,,,
51,07/10/22 02:54:33 PM,21.473,,,,,
52,07/10/22 03:54:33 PM,22.333,,,,,
53,07/10/22 04:54:33 PM,16.713,,,,,
54,07/10/22 05:54:33 PM,12.304,,,,,
55,07/10/22 06:54:33 PM,12.013,,,,,
56,07/10/22 07:54:33 PM,11.139,,,,,
57,07/10/22 08:54:33 PM,10.259,,,,,
58,07/10/22 09:54:33 PM,9.275,,,,,
59,07/10/22 10:54:33 PM,8.581,,,,,
60,07/10/22 11:54:33 PM,8.382,,,,,
61,07/11/22 12:54:33 AM,8.082,,,,,
62,07/11/22 01:54:33 AM,7.582,,,,,
63,07/11/22 02:54:33 AM,7.381,,,,,
64,07/11/22 03:54:33 AM,6.978,,,,,
65,07/11/22 04:54:33 AM,6.775,,,,,
66,07/11/22 05:54:33 AM,6.877,,,,,
67,07/11/22 06:54:33 AM,6.978,,,,,
68,07/11/22 07:54:33 AM,8.182,,,,,
69,07/11/22 08:54:33 AM,11.819,,,,,
70,07/11/22 09:54:33 AM,15.760,,,,,
71,07/11/22 10:54:33 AM,19.472,,,,,
72,07/11/22 11:54:33 AM,21.951,,,,,
73,07/11/22 12:54:33 PM,23.966,,,,,
74,07/11/22 01:54:33 PM,25.902,,,,,
75,07/11/22 02:54:33 PM,25.125,,,,,
76,07/11/22 03:54:33 PM,25.708,,,,,
77,07/11/22 04:54:33 PM,25.610,,,,,
78,07/11/22 05:54:33 PM,24.448,,,,,
79,07/11/22 06:54:33 PM,22.046,,,,,
80,07/11/22 07:54:33 PM,16.808,,,,,
81,07/11/22 08:54:33 PM,14.325,,,,,
82,07/11/22 09:54:33 PM,13.269,,,,,
83,07/11/22 10:54:33 PM,11.236,,,,,
84,07/11/22 11:54:33 PM,9.866,,,,,
85,07/12/22 12:54:33 AM,9.077,,,,,
86,07/12/22 01:54:33 AM,8.282,,,,,
87,07/12/22 02:54:33 AM,7.782,,,,,
88,07/12/22 03:54:33 AM,7.280,,,,,
89,07/12/22 04:54:33 AM,6.775,,,,,
90,07/12/22 05:54:33 AM,6.370,,,,,
91,07/12/22 06:54:33 AM,6.877,,,,,
92,07/12/22 07:54:33 AM,9.472,,,,,
93,07/12/22 08:54:33 AM,13.076,,,,,
94,07/12/22 09:54:33 AM,16.427,,,,,
95,07/12/22 10:54:33 AM,17.284,,,,,
96,07/12/22 11:54:33 AM,17.379,,,,,
97,07/12/22 12:54:33 PM,21.569,,,,,
98,07/12/22 01:54:33 PM,22.908,,,,,
99,07/12/22 02:54:33 PM,23.100,,,,,
100,07/12/22 03:54:33 PM,20.234,,,,,
101,07/12/22 04:54:33 PM,24.351,,,,,
102,07/12/22 05:54:33 PM,26.000,,,,,
103,07/12/22 06:54:33 PM,23.004,,,,,
104,07/12/22 07:54:33 PM,17.379,,,,,
105,07/12/22 08:54:33 PM,13.942,,,,,
106,07/12/22 09:54:33 PM,12.013,,,,,
107,07/12/22 10:54:33 PM,10.651,,,,,
108,07/12/22 11:54:33 PM,9.768,,,,,
109,07/13/22 12:54:33 AM,9.176,,,,,
110,07/13/22 01:54:33 AM,8.879,,,,,
111,07/13/22 02:54:33 AM,8.481,,,,,
112,07/13/22 03:54:33 AM,8.282,,,,,
113,07/13/22 04:54:33 AM,7.882,,,,,
