"Plot Title: 21474966"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21474966, SEN S/N: 21474966)","Coupler Detached (LGR S/N: 21474966)","Coupler Attached (LGR S/N: 21474966)","Host Connected (LGR S/N: 21474966)","Stopped (LGR S/N: 21474966)","End Of File (LGR S/N: 21474966)"
1,07/20/22 05:31:50 PM,22.717,,,,,
2,07/20/22 05:32:20 PM,,Logged,,,,
3,07/20/22 06:31:50 PM,22.621,,,,,
4,07/20/22 07:31:50 PM,22.333,,,,,
5,07/20/22 08:31:50 PM,23.004,,,,,
6,07/20/22 09:31:50 PM,23.292,,,,,
7,07/20/22 10:31:50 PM,23.004,,,,,
8,07/20/22 11:31:50 PM,22.238,,,,,
9,07/21/22 12:31:50 AM,21.569,,,,,
10,07/21/22 01:31:50 AM,21.187,,,,,
11,07/21/22 02:31:50 AM,20.996,,,,,
12,07/21/22 03:31:50 AM,20.996,,,,,
13,07/21/22 04:31:50 AM,21.091,,,,,
14,07/21/22 05:31:50 AM,21.091,,,,,
15,07/21/22 06:31:50 AM,20.519,,,,,
16,07/21/22 07:31:50 AM,20.424,,,,,
17,07/21/22 08:31:50 AM,20.234,,,,,
18,07/21/22 09:31:50 AM,19.853,,,,,
19,07/21/22 10:31:50 AM,19.187,,,,,
20,07/21/22 11:31:50 AM,18.045,,,,,
21,07/21/22 12:31:50 PM,18.996,,,,,
22,07/21/22 01:31:50 PM,20.329,,,,,
23,07/21/22 02:31:50 PM,21.282,,,,,
24,07/21/22 03:31:50 PM,22.429,,,,,
25,07/21/22 04:31:50 PM,22.908,,,,,
26,07/21/22 05:31:50 PM,21.378,,,,,
27,07/21/22 06:31:50 PM,19.472,,,,,
28,07/21/22 07:31:50 PM,17.855,,,,,
29,07/21/22 08:31:50 PM,15.569,,,,,
30,07/21/22 09:31:50 PM,13.942,,,,,
31,07/21/22 10:31:50 PM,12.787,,,,,
32,07/21/22 11:31:50 PM,11.916,,,,,
33,07/22/22 12:31:50 AM,11.236,,,,,
34,07/22/22 01:31:50 AM,10.651,,,,,
35,07/22/22 02:31:50 AM,10.161,,,,,
36,07/22/22 03:31:50 AM,9.768,,,,,
37,07/22/22 04:31:50 AM,9.373,,,,,
38,07/22/22 05:31:50 AM,8.879,,,,,
39,07/22/22 06:31:50 AM,8.382,,,,,
40,07/22/22 07:31:50 AM,9.275,,,,,
41,07/22/22 08:31:50 AM,11.819,,,,,
42,07/22/22 09:31:50 AM,14.421,,,,,
43,07/22/22 10:31:50 AM,16.903,,,,,
44,07/22/22 11:31:50 AM,19.282,,,,,
45,07/22/22 12:31:50 PM,20.805,,,,,
46,07/22/22 01:31:50 PM,21.760,,,,,
47,07/22/22 02:31:50 PM,23.292,,,,,
48,07/22/22 03:31:50 PM,22.142,,,,,
49,07/22/22 04:31:50 PM,22.525,,,,,
50,07/22/22 05:31:50 PM,19.758,,,,,
51,07/22/22 06:31:50 PM,19.377,,,,,
52,07/22/22 07:31:50 PM,18.140,,,,,
53,07/22/22 08:31:50 PM,16.141,,,,,
54,07/22/22 09:31:50 PM,14.421,,,,,
55,07/22/22 10:31:50 PM,13.173,,,,,
56,07/22/22 11:31:50 PM,12.401,,,,,
57,07/23/22 12:31:50 AM,12.013,,,,,
58,07/23/22 01:31:50 AM,11.722,,,,,
59,07/23/22 02:31:50 AM,11.431,,,,,
60,07/23/22 03:31:50 AM,10.944,,,,,
61,07/23/22 04:31:50 AM,10.553,,,,,
62,07/23/22 05:31:50 AM,10.259,,,,,
63,07/23/22 06:31:50 AM,10.063,,,,,
64,07/23/22 07:31:50 AM,10.455,,,,,
65,07/23/22 08:31:50 AM,12.304,,,,,
66,07/23/22 09:31:50 AM,14.134,,,,,
67,07/23/22 10:31:50 AM,15.282,,,,,
68,07/23/22 11:31:50 AM,15.187,,,,,
69,07/23/22 12:31:50 PM,15.951,,,,,
70,07/23/22 01:31:50 PM,19.187,,,,,
71,07/23/22 02:31:50 PM,18.996,,,,,
72,07/23/22 03:31:50 PM,16.713,,,,,
73,07/23/22 04:31:50 PM,16.713,,,,,
74,07/23/22 05:31:50 PM,16.523,,,,,
75,07/23/22 06:31:50 PM,16.332,,,,,
76,07/23/22 07:31:50 PM,12.497,,,,,
77,07/23/22 08:31:50 PM,11.916,,,,,
78,07/23/22 09:31:50 PM,11.528,,,,,
79,07/23/22 10:31:50 PM,10.944,,,,,
80,07/23/22 11:31:50 PM,10.455,,,,,
81,07/24/22 12:31:50 AM,9.768,,,,,
82,07/24/22 01:31:50 AM,9.077,,,,,
83,07/24/22 02:31:50 AM,8.779,,,,,
84,07/24/22 03:31:50 AM,8.382,,,,,
85,07/24/22 04:31:50 AM,8.082,,,,,
86,07/24/22 05:31:50 AM,7.782,,,,,
87,07/24/22 06:31:50 AM,7.682,,,,,
88,07/24/22 07:31:50 AM,8.382,,,,,
89,07/24/22 08:31:50 AM,9.669,,,,,
90,07/24/22 09:31:50 AM,12.207,,,,,
91,07/24/22 10:31:50 AM,14.613,,,,,
92,07/24/22 11:31:50 AM,16.141,,,,,
93,07/24/22 12:31:50 PM,17.379,,,,,
94,07/24/22 01:31:50 PM,13.750,,,,,
95,07/24/22 02:31:50 PM,11.041,,,,,
96,07/24/22 03:31:50 PM,12.883,,,,,
97,07/24/22 04:31:50 PM,13.558,,,,,
98,07/24/22 05:31:50 PM,11.916,,,,,
99,07/24/22 06:31:50 PM,10.357,,,,,
100,07/24/22 07:31:50 PM,10.748,,,,,
101,07/24/22 08:31:50 PM,9.866,,,,,
102,07/24/22 09:31:50 PM,9.077,,,,,
103,07/24/22 10:31:50 PM,8.481,,,,,
104,07/24/22 11:31:50 PM,8.182,,,,,
105,07/25/22 12:31:50 AM,7.782,,,,,
106,07/25/22 01:31:50 AM,7.582,,,,,
107,07/25/22 02:31:50 AM,7.582,,,,,
108,07/25/22 03:31:50 AM,7.179,,,,,
109,07/25/22 04:31:50 AM,6.978,,,,,
110,07/25/22 05:31:50 AM,6.573,,,,,
111,07/25/22 06:31:50 AM,6.268,,,,,
112,07/25/22 07:31:50 AM,6.978,,,,,
113,07/25/22 08:31:50 AM,8.680,,,,,
114,07/25/22 09:31:50 AM,11.819,,,,,
115,07/25/22 10:31:50 AM,15.091,,,,,
116,07/25/22 11:31:50 AM,16.808,,,,,
117,07/25/22 12:31:50 PM,17.570,,,,,
118,07/25/22 01:31:50 PM,19.948,,,,,
119,07/25/22 02:31:50 PM,21.378,,,,,
120,07/25/22 03:31:50 PM,20.234,,,,,
121,07/25/22 04:31:50 PM,20.138,,,,,
122,07/25/22 05:31:50 PM,19.377,,,,,
123,07/25/22 06:31:50 PM,16.808,,,,,
124,07/25/22 07:31:50 PM,14.900,,,,,
125,07/25/22 08:31:50 PM,13.461,,,,,
126,07/25/22 09:31:50 PM,11.625,,,,,
127,07/25/22 10:31:50 PM,10.357,,,,,
