"Plot Title: 21397970"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397970, SEN S/N: 21397970)","Coupler Detached (LGR S/N: 21397970)","Host Connected (LGR S/N: 21397970)","Coupler Attached (LGR S/N: 21397970)","End Of File (LGR S/N: 21397970)"
1,06/18/22 01:09:51 PM,26.000,,,,
2,06/18/22 01:10:00 PM,,Logged,,,
3,06/18/22 02:09:51 PM,15.951,,,,
4,06/18/22 03:09:51 PM,15.855,,,,
5,06/18/22 04:09:51 PM,16.427,,,,
6,06/18/22 05:09:51 PM,16.999,,,,
7,06/18/22 06:09:51 PM,15.855,,,,
8,06/18/22 07:09:51 PM,16.141,,,,
9,06/18/22 08:09:51 PM,14.613,,,,
10,06/18/22 09:09:51 PM,12.883,,,,
11,06/18/22 10:09:51 PM,11.819,,,,
12,06/18/22 11:09:51 PM,10.944,,,,
13,06/19/22 12:09:51 AM,10.161,,,,
14,06/19/22 01:09:51 AM,9.768,,,,
15,06/19/22 02:09:51 AM,9.176,,,,
16,06/19/22 03:09:51 AM,8.581,,,,
17,06/19/22 04:09:51 AM,8.481,,,,
18,06/19/22 05:09:51 AM,8.282,,,,
19,06/19/22 06:09:51 AM,8.082,,,,
20,06/19/22 07:09:51 AM,8.282,,,,
21,06/19/22 08:09:51 AM,8.879,,,,
22,06/19/22 09:09:51 AM,9.571,,,,
23,06/19/22 10:09:51 AM,10.748,,,,
24,06/19/22 11:09:51 AM,11.625,,,,
25,06/19/22 12:09:51 PM,13.173,,,,
26,06/19/22 01:09:51 PM,15.378,,,,
27,06/19/22 02:09:51 PM,12.401,,,,
28,06/19/22 03:09:51 PM,12.594,,,,
29,06/19/22 04:09:51 PM,14.134,,,,
30,06/19/22 05:09:51 PM,14.709,,,,
31,06/19/22 06:09:51 PM,14.421,,,,
32,06/19/22 07:09:51 PM,13.846,,,,
33,06/19/22 08:09:51 PM,12.690,,,,
34,06/19/22 09:09:51 PM,11.236,,,,
35,06/19/22 10:09:51 PM,9.965,,,,
