"Plot Title: 21397967"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21397967, SEN S/N: 21397967)","Coupler Detached (LGR S/N: 21397967)","Coupler Attached (LGR S/N: 21397967)","Host Connected (LGR S/N: 21397967)","End Of File (LGR S/N: 21397967)"
1,06/18/22 12:06:25 PM,20.615,,,,
2,06/18/22 12:07:15 PM,,Logged,,,
3,06/18/22 01:06:25 PM,15.760,,,,
4,06/18/22 02:06:25 PM,16.618,,,,
5,06/18/22 03:06:25 PM,18.045,,,,
6,06/18/22 04:06:25 PM,18.045,,,,
7,06/18/22 05:06:25 PM,18.806,,,,
8,06/18/22 06:06:25 PM,16.523,,,,
9,06/18/22 07:06:25 PM,17.284,,,,
10,06/18/22 08:06:25 PM,14.900,,,,
11,06/18/22 09:06:25 PM,12.690,,,,
12,06/18/22 10:06:25 PM,11.528,,,,
13,06/18/22 11:06:25 PM,10.455,,,,
14,06/19/22 12:06:25 AM,9.669,,,,
15,06/19/22 01:06:25 AM,9.176,,,,
16,06/19/22 02:06:25 AM,8.581,,,,
17,06/19/22 03:06:25 AM,8.082,,,,
18,06/19/22 04:06:25 AM,7.882,,,,
19,06/19/22 05:06:25 AM,7.582,,,,
20,06/19/22 06:06:25 AM,7.481,,,,
21,06/19/22 07:06:25 AM,7.782,,,,
22,06/19/22 08:06:25 AM,8.282,,,,
23,06/19/22 09:06:25 AM,9.373,,,,
24,06/19/22 10:06:25 AM,10.846,,,,
25,06/19/22 11:06:25 AM,11.819,,,,
26,06/19/22 12:06:25 PM,13.942,,,,
27,06/19/22 01:06:25 PM,18.331,,,,
28,06/19/22 02:06:25 PM,13.558,,,,
29,06/19/22 03:06:25 PM,13.461,,,,
30,06/19/22 04:06:25 PM,16.141,,,,
31,06/19/22 05:06:25 PM,16.808,,,,
32,06/19/22 06:06:25 PM,14.996,,,,
33,06/19/22 07:06:25 PM,14.230,,,,
34,06/19/22 08:06:25 PM,12.497,,,,
35,06/19/22 09:06:25 PM,10.846,,,,
36,06/19/22 10:06:25 PM,9.373,,,,
37,06/19/22 11:06:25 PM,8.481,,,,
38,06/20/22 12:06:25 AM,7.882,,,,
39,06/20/22 01:06:25 AM,7.280,,,,
40,06/20/22 02:06:25 AM,6.775,,,,
41,06/20/22 03:06:25 AM,6.370,,,,
42,06/20/22 04:06:25 AM,5.962,,,,
43,06/20/22 05:06:25 AM,5.655,,,,
44,06/20/22 06:06:25 AM,5.037,,,,
45,06/20/22 07:06:25 AM,5.552,,,,
46,06/20/22 08:06:25 AM,7.983,,,,
47,06/20/22 09:06:25 AM,9.472,,,,
48,06/20/22 10:06:25 AM,12.401,,,,
49,06/20/22 11:06:25 AM,14.517,,,,
50,06/20/22 12:06:25 PM,18.236,,,,
51,06/20/22 01:06:25 PM,19.092,,,,
52,06/20/22 02:06:25 PM,20.424,,,,
53,06/20/22 03:06:25 PM,21.091,,,,
54,06/20/22 04:06:25 PM,20.805,,,,
55,06/20/22 05:06:25 PM,19.758,,,,
56,06/20/22 06:06:25 PM,18.521,,,,
57,06/20/22 07:06:25 PM,16.427,,,,
58,06/20/22 08:06:25 PM,14.038,,,,
59,06/20/22 09:06:25 PM,11.041,,,,
60,06/20/22 10:06:25 PM,9.176,,,,
61,06/20/22 11:06:25 PM,7.983,,,,
62,06/21/22 12:06:25 AM,7.280,,,,
63,06/21/22 01:06:25 AM,7.179,,,,
64,06/21/22 02:06:25 AM,6.471,,,,
65,06/21/22 03:06:25 AM,5.962,,,,
66,06/21/22 04:06:25 AM,5.552,,,,
67,06/21/22 05:06:25 AM,5.141,,,,
68,06/21/22 06:06:25 AM,4.623,,,,
69,06/21/22 07:06:25 AM,4.831,,,,
70,06/21/22 08:06:25 AM,7.682,,,,
71,06/21/22 09:06:25 AM,10.846,,,,
72,06/21/22 10:06:25 AM,13.942,,,,
73,06/21/22 11:06:25 AM,16.141,,,,
74,06/21/22 12:06:25 PM,18.236,,,,
75,06/21/22 01:06:25 PM,20.138,,,,
76,06/21/22 02:06:25 PM,20.710,,,,
77,06/21/22 03:06:25 PM,22.429,,,,
78,06/21/22 04:06:25 PM,23.196,,,,
79,06/21/22 05:06:25 PM,21.091,,,,
80,06/21/22 06:06:25 PM,20.901,,,,
81,06/21/22 07:06:25 PM,19.758,,,,
82,06/21/22 08:06:25 PM,17.284,,,,
83,06/21/22 09:06:25 PM,13.942,,,,
84,06/21/22 10:06:25 PM,11.722,,,,
85,06/21/22 11:06:25 PM,10.553,,,,
86,06/22/22 12:06:25 AM,9.472,,,,
87,06/22/22 01:06:25 AM,8.581,,,,
88,06/22/22 02:06:25 AM,7.782,,,,
89,06/22/22 03:06:25 AM,7.179,,,,
90,06/22/22 04:06:25 AM,6.877,,,,
91,06/22/22 05:06:25 AM,6.166,,,,
92,06/22/22 06:06:25 AM,5.655,,,,
93,06/22/22 07:06:25 AM,6.268,,,,
94,06/22/22 08:06:25 AM,9.571,,,,
95,06/22/22 09:06:25 AM,12.787,,,,
96,06/22/22 10:06:25 AM,16.046,,,,
97,06/22/22 11:06:25 AM,18.616,,,,
98,06/22/22 12:06:25 PM,19.853,,,,
99,06/22/22 01:06:25 PM,18.426,,,,
100,06/22/22 02:06:25 PM,18.140,,,,
101,06/22/22 03:06:25 PM,17.379,,,,
102,06/22/22 04:06:25 PM,17.665,,,,
103,06/22/22 05:06:25 PM,17.094,,,,
104,06/22/22 06:06:25 PM,16.427,,,,
105,06/22/22 07:06:25 PM,17.570,,,,
106,06/22/22 08:06:25 PM,15.760,,,,
107,06/22/22 09:06:25 PM,13.269,,,,
108,06/22/22 10:06:25 PM,11.431,,,,
109,06/22/22 11:06:25 PM,10.259,,,,
110,06/23/22 12:06:25 AM,9.176,,,,
111,06/23/22 01:06:25 AM,8.282,,,,
112,06/23/22 02:06:25 AM,7.882,,,,
113,06/23/22 03:06:25 AM,7.280,,,,
114,06/23/22 04:06:25 AM,7.280,,,,
115,06/23/22 05:06:25 AM,7.079,,,,
116,06/23/22 06:06:25 AM,6.877,,,,
117,06/23/22 07:06:25 AM,7.179,,,,
118,06/23/22 08:06:25 AM,9.472,,,,
119,06/23/22 09:06:25 AM,12.594,,,,
120,06/23/22 10:06:25 AM,16.618,,,,
121,06/23/22 11:06:25 AM,20.234,,,,
122,06/23/22 12:06:25 PM,16.332,,,,
123,06/23/22 01:06:25 PM,15.951,,,,
124,06/23/22 02:06:25 PM,15.091,,,,
125,06/23/22 03:06:25 PM,15.951,,,,
126,06/23/22 04:06:25 PM,18.236,,,,
127,06/23/22 05:06:25 PM,19.092,,,,
128,06/23/22 06:06:25 PM,16.141,,,,
129,06/23/22 07:06:25 PM,12.304,,,,
130,06/23/22 08:06:25 PM,10.748,,,,
131,06/23/22 09:06:25 PM,9.669,,,,
132,06/23/22 10:06:25 PM,9.077,,,,
133,06/23/22 11:06:25 PM,8.680,,,,
134,06/24/22 12:06:25 AM,8.481,,,,
135,06/24/22 01:06:25 AM,7.582,,,,
136,06/24/22 02:06:25 AM,7.381,,,,
137,06/24/22 03:06:25 AM,6.877,,,,
138,06/24/22 04:06:25 AM,6.471,,,,
139,06/24/22 05:06:25 AM,6.064,,,,
140,06/24/22 06:06:25 AM,5.860,,,,
141,06/24/22 07:06:25 AM,6.268,,,,
142,06/24/22 08:06:25 AM,6.978,,,,
143,06/24/22 09:06:25 AM,9.176,,,,
144,06/24/22 10:06:25 AM,11.236,,,,
145,06/24/22 11:06:25 AM,13.269,,,,
146,06/24/22 12:06:25 PM,13.750,,,,
147,06/24/22 01:06:25 PM,16.903,,,,
148,06/24/22 02:06:25 PM,12.497,,,,
149,06/24/22 03:06:25 PM,16.523,,,,
150,06/24/22 04:06:25 PM,18.711,,,,
151,06/24/22 05:06:25 PM,18.140,,,,
152,06/24/22 06:06:25 PM,14.900,,,,
153,06/24/22 07:06:25 PM,13.173,,,,
154,06/24/22 08:06:25 PM,12.013,,,,
155,06/24/22 09:06:25 PM,10.161,,,,
156,06/24/22 10:06:25 PM,8.680,,,,
157,06/24/22 11:06:25 PM,7.682,,,,
158,06/25/22 12:06:25 AM,6.978,,,,
159,06/25/22 01:06:25 AM,6.573,,,,
