site,pop,year,ann_snow_days,win_meanT_mean,win_meanT_range,gs_snow_days,gs_meanT_mean,gs_meanT_range
guanella,NorthLower,2023,35,-9.807712513716542,18.034269181480937,0,9.429225532175622,13.745765986790841
guanella,NorthLower,2024,51,-6.85529014456301,14.089666666666666,12,9.57361363100269,19.717666666666666
guanella,NorthLower,2025,37,-7.5634935289789205,20.09066666666667,7,10.247876136686559,17.61627777777778
guanella,NorthUpper,2023,50,-12.145635293909793,15.848339369612745,31,3.9805091098671235,16.714943182591924
guanella,NorthUpper,2024,45,-9.2712729285893,14.687888888888887,12,3.3330531375874948,18.642083333333336
guanella,NorthUpper,2025,34,-9.291455855035325,18.65047222222222,12,6.064226630434782,18.364111111111114
guanella,SouthLower,2023,58,-6.287134156130844,10.775749999999999,16,7.399952898550725,15.625666666666667
guanella,SouthLower,2024,77,-4.722871388028897,11.101888888888888,26,7.062303113359954,13.552444444444447
guanella,SouthLower,2025,61,-5.692973283780237,15.295066666666667,16,8.358040515010353,14.971305555555556
guanella,SouthUpper,2023,26,-8.781061192532158,16.863400764607206,8,7.9201952040719945,16.753352706610713
guanella,SouthUpper,2024,49,-6.391414544453966,14.84383333333333,15,6.601672160564562,18.104166666666664
guanella,SouthUpper,2025,74,-5.634925270921132,10.946416666666666,30,6.829856019433465,18.067041666666665
guanella,TopLower,2023,30,-7.031381401860245,10.930583333333333,1,8.682794942801271,13.408713329950615
guanella,TopLower,2024,58,-4.800527895340267,12.22316323867067,17,7.707920166325853,14.625602416382662
guanella,TopLower,2025,59,-5.198836345017849,12.8665,16,8.252437819693094,14.853750000000002
guanella,TopUpper,2023,46,-10.404032784544373,17.080916666666667,16,6.424593297101449,15.250833333333336
guanella,TopUpper,2024,56,-7.237316756965945,14.062666666666667,19,6.116027529127593,16.439194444444446
guanella,TopUpper,2025,74,-6.72713037404097,17.0595,28,7.331567034791899,16.113999999999997
jones,NorthEast,2023,46,-8.943136757282453,13.273583333333335,10,8.117146739130435,17.181666666666665
jones,NorthEast,2024,66,-7.362036829205366,13.840555555555556,17,7.385130683236102,17.3705
jones,NorthEast,2025,60,-7.567283313265102,17.598499999999998,20,7.798115461682038,14.698569444444445
jones,NorthWest,2023,35,-9.359052165825345,15.138416666666666,6,8.746647273118521,17.988666666666667
jones,NorthWest,2024,62,-7.02886263420419,15.133111111111113,13,7.481510190217391,21.00172222222222
jones,NorthWest,2025,56,-6.5663473821863905,14.405875,15,8.318332427536232,14.964916666666667
jones,SouthEast,2023,57,-7.212722560552031,14.892416666666668,23,7.430928442028985,16.55216666666667
jones,SouthEast,2024,65,-4.659932254041967,14.176388888888889,17,7.598833796800758,19.514398611347843
jones,SouthEast,2025,62,-4.687278095524784,16.888708333333334,15,8.692748188405798,16.05991666666667
jones,SouthWest,2023,50,-6.332339693419164,14.255083333333333,12,8.18732518115942,16.686916666666665
jones,SouthWest,2024,78,-4.45190845373237,16.679,21,7.799602066497495,18.98029373235527
jones,SouthWest,2025,79,-4.6793329068834035,16.649333333333335,21,9.041924860013175,16.937083333333334
jones,TopEast,2023,45,-7.839252909893638,12.505166666666666,13,7.982368809155633,14.565725816398489
jones,TopEast,2024,53,-6.1933032777758745,16.491784891930095,16,7.416395820925099,19.909968728272656
jones,TopEast,2025,52,-6.393071018606118,14.071027777777777,15,9.00239037110233,16.89581944444444
jones,TopWest,2023,45,-7.5826809236506625,13.700728744081239,13,8.001622995879508,14.205349098545504
jones,TopWest,2024,52,-6.295286184210527,17.191666666666666,15,7.588438061289133,20.316501978042876
jones,TopWest,2025,53,-5.779254565522777,12.464222222222222,15,9.040525170180063,16.417458333333332
niwot,NorthLower,2023,28,-8.539794185493564,16.9278092406837,14,8.648422570836175,19.12688991821699
niwot,NorthLower,2024,59,-6.037641253869969,18.47688888888889,17,10.04654943158503,19.19761111111111
niwot,NorthLower,2025,52,-5.935443220410935,19.76375,14,10.641781130816172,19.318875000000002
niwot,NorthUpper,2023,36,-7.478672235601043,16.134416666666667,9,9.062823369565217,18.39175
niwot,NorthUpper,2024,63,-5.34883918128655,16.84338888888889,16,8.970404810987684,19.954094795654672
niwot,NorthUpper,2025,59,-5.527144699587292,19.743166666666667,14,10.253269997212932,18.00629166666667
niwot,SouthLower,2023,78,-3.637502159516268,11.229583333333334,14,10.599104571081588,20.81412671208046
niwot,SouthLower,2024,116,-3.1190734649122804,15.486666666666668,27,10.239087897211405,19.3145
niwot,SouthLower,2025,81,-3.278078642384106,11.930125,12,12.591040843214756,22.123416666666664
niwot,SouthUpper,2023,54,-6.396145344170178,15.543416666666667,27,7.950110507246375,20.027
niwot,SouthUpper,2024,82,-3.9906196250429997,18.30827777777778,26,9.479928143024155,18.32616221582028
niwot,SouthUpper,2025,76,-4.070301926550271,20.18325,11,11.418791648550725,19.378
niwot,TopLower,2023,61,-5.140010736504115,18.07175,13,10.16334873188406,19.642000000000003
niwot,TopLower,2024,71,-4.517174949942792,18.813583333333334,15,10.381103885524963,19.892791308720266
niwot,TopLower,2025,62,-4.360188030328759,19.44836111111111,12,11.154634963768116,19.25491666666667
niwot,TopUpper,2023,36,-7.66681437271338,17.0315,12,9.127173913043478,18.494333333333334
niwot,TopUpper,2024,62,-5.4365462574457295,18.299055555555555,15,9.335090881642511,20.966638888888887
niwot,TopUpper,2025,46,-6.0505773012859105,20.710833333333337,11,10.447383152173913,17.665833333333335
