PRISM Time Series Data
Location:  Lat: 39.5870   Lon: -105.7416   Elev: 3678m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2025-09-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Apr-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-01-01,0.00,-15.2,-10.3,-5.4
2021-01-02,0.00,-16.0,-11.1,-6.2
2021-01-03,0.00,-15.0,-10.4,-5.9
2021-01-04,3.48,-14.0,-9.0,-4.1
2021-01-05,0.00,-13.1,-7.2,-1.3
2021-01-06,1.91,-14.7,-9.3,-3.9
2021-01-07,0.00,-15.9,-10.3,-4.7
2021-01-08,0.00,-14.6,-8.2,-1.8
2021-01-09,0.00,-17.1,-11.2,-5.3
2021-01-10,1.39,-17.8,-13.5,-9.3
2021-01-11,0.00,-19.3,-13.9,-8.5
2021-01-12,0.00,-18.4,-10.7,-3.1
2021-01-13,0.00,-13.9,-7.2,-0.6
2021-01-14,0.00,-13.9,-7.1,-0.2
2021-01-15,0.00,-17.9,-14.6,-11.3
2021-01-16,0.11,-15.4,-10.1,-4.7
2021-01-17,0.00,-12.3,-9.4,-6.6
2021-01-18,2.98,-11.7,-7.7,-3.8
2021-01-19,1.49,-17.5,-13.0,-8.5
2021-01-20,0.00,-17.0,-11.5,-5.9
2021-01-21,0.33,-13.5,-8.2,-2.9
2021-01-22,1.44,-12.7,-8.5,-4.2
2021-01-23,0.00,-11.2,-7.2,-3.2
2021-01-24,0.00,-14.4,-9.6,-4.8
2021-01-25,0.69,-16.1,-11.4,-6.6
2021-01-26,1.06,-19.7,-14.8,-9.8
2021-01-27,2.89,-20.5,-17.2,-13.8
2021-01-28,0.48,-19.5,-12.0,-4.5
2021-01-29,0.00,-8.4,-3.7,1.1
2021-01-30,0.27,-11.5,-5.6,0.4
2021-01-31,1.62,-14.5,-11.1,-7.6
2021-02-01,0.00,-16.8,-8.6,-0.5
2021-02-02,0.00,-9.9,-4.0,1.9
2021-02-03,1.28,-8.1,-2.5,3.1
2021-02-04,13.36,-15.7,-7.8,0.1
2021-02-05,0.51,-18.8,-15.7,-12.6
2021-02-06,8.37,-16.7,-13.9,-11.1
2021-02-07,3.69,-16.1,-12.8,-9.4
2021-02-08,0.00,-12.8,-9.4,-6.0
2021-02-09,0.00,-9.7,-7.3,-4.8
2021-02-10,0.00,-8.6,-5.1,-1.5
2021-02-11,0.10,-10.8,-7.7,-4.7
2021-02-12,0.56,-10.5,-6.9,-3.3
2021-02-13,7.44,-9.7,-5.0,-0.4
2021-02-14,2.59,-14.6,-9.1,-3.6
2021-02-15,0.00,-22.9,-15.7,-8.6
2021-02-16,1.55,-20.1,-15.8,-11.5
2021-02-17,0.88,-17.2,-13.1,-9.0
2021-02-18,7.03,-19.5,-15.5,-11.5
2021-02-19,0.00,-22.1,-17.1,-12.1
2021-02-20,1.72,-18.1,-12.9,-7.7
2021-02-21,2.64,-16.7,-9.5,-2.4
2021-02-22,0.00,-18.0,-14.4,-10.7
2021-02-23,0.00,-12.4,-6.4,-0.5
2021-02-24,0.00,-12.4,-5.9,0.7
2021-02-25,3.87,-18.4,-11.8,-5.1
2021-02-26,0.65,-18.7,-12.8,-6.8
2021-02-27,0.82,-15.9,-11.7,-7.5
2021-02-28,0.40,-22.3,-16.7,-11.1
2021-03-01,0.00,-23.8,-17.4,-11.1
2021-03-02,0.29,-19.0,-9.1,0.8
2021-03-03,0.40,-11.9,-4.4,3.1
2021-03-04,0.69,-11.7,-4.4,2.8
2021-03-05,6.80,-11.5,-7.7,-3.9
2021-03-06,0.00,-12.7,-5.5,1.7
2021-03-07,0.00,-11.2,-3.2,4.8
2021-03-08,0.00,-7.1,-1.0,5.1
2021-03-09,0.00,-5.4,-0.6,4.2
2021-03-10,4.52,-9.0,-2.5,4.0
2021-03-11,2.42,-17.2,-12.7,-8.3
2021-03-12,4.03,-15.7,-10.4,-5.1
2021-03-13,1.12,-12.8,-9.0,-5.3
