PRISM Time Series Data
Location:  Lat: 39.5967   Lon: -105.7452   Elev: 3740m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2025-09-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Apr-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-01-01,0.00,-15.4,-10.6,-5.9
2021-01-02,0.00,-16.3,-11.5,-6.7
2021-01-03,0.00,-15.2,-10.8,-6.4
2021-01-04,4.03,-14.1,-9.3,-4.4
2021-01-05,0.16,-13.1,-7.4,-1.7
2021-01-06,2.44,-15.0,-9.8,-4.6
2021-01-07,0.00,-16.1,-10.6,-5.1
2021-01-08,0.00,-14.8,-8.6,-2.5
2021-01-09,0.00,-17.2,-11.5,-5.7
2021-01-10,1.54,-18.1,-13.8,-9.6
2021-01-11,0.00,-19.4,-14.2,-8.9
2021-01-12,0.00,-17.9,-10.7,-3.5
2021-01-13,0.00,-13.6,-7.4,-1.1
2021-01-14,0.18,-14.3,-7.5,-0.7
2021-01-15,0.00,-18.1,-14.8,-11.4
2021-01-16,0.42,-15.5,-10.3,-5.0
2021-01-17,0.10,-12.6,-9.9,-7.2
2021-01-18,3.79,-12.0,-8.1,-4.2
2021-01-19,1.39,-17.7,-13.5,-9.2
2021-01-20,0.00,-17.3,-11.8,-6.3
2021-01-21,0.53,-13.6,-8.5,-3.4
2021-01-22,1.76,-12.8,-8.7,-4.7
2021-01-23,0.00,-11.5,-7.5,-3.6
2021-01-24,0.00,-14.7,-10.1,-5.4
2021-01-25,0.72,-16.3,-11.8,-7.3
2021-01-26,1.00,-19.9,-15.2,-10.6
2021-01-27,2.98,-21.0,-17.7,-14.3
2021-01-28,0.63,-19.5,-12.2,-5.0
2021-01-29,0.00,-8.3,-4.0,0.4
2021-01-30,0.22,-11.8,-6.0,-0.3
2021-01-31,2.09,-15.0,-11.5,-8.1
2021-02-01,0.00,-16.8,-9.0,-1.3
2021-02-02,0.00,-10.0,-4.4,1.3
2021-02-03,1.19,-8.2,-2.9,2.4
2021-02-04,15.63,-16.5,-8.7,-0.9
2021-02-05,0.64,-19.4,-16.3,-13.2
2021-02-06,10.36,-17.3,-14.5,-11.7
2021-02-07,5.11,-16.6,-13.2,-9.9
2021-02-08,0.00,-13.4,-10.0,-6.6
2021-02-09,0.00,-10.3,-7.9,-5.6
2021-02-10,0.17,-9.3,-5.8,-2.3
2021-02-11,0.58,-11.4,-8.5,-5.5
2021-02-12,1.13,-11.1,-7.5,-4.0
2021-02-13,9.53,-10.4,-6.0,-1.6
2021-02-14,2.89,-14.4,-9.5,-4.6
2021-02-15,0.00,-23.1,-16.3,-9.6
2021-02-16,2.10,-20.7,-16.4,-12.1
2021-02-17,1.50,-18.1,-14.2,-10.3
2021-02-18,7.29,-20.2,-16.3,-12.5
2021-02-19,0.00,-22.3,-17.5,-12.6
2021-02-20,2.36,-18.1,-13.0,-8.0
2021-02-21,2.93,-17.3,-10.5,-3.7
2021-02-22,0.19,-18.5,-14.7,-10.9
2021-02-23,0.00,-12.8,-6.8,-0.7
2021-02-24,0.00,-13.3,-6.7,-0.2
2021-02-25,3.99,-18.8,-12.6,-6.3
2021-02-26,0.69,-18.9,-13.0,-7.2
2021-02-27,1.26,-16.4,-12.4,-8.3
2021-02-28,1.04,-22.9,-17.4,-11.8
2021-03-01,0.00,-23.8,-17.6,-11.5
2021-03-02,0.35,-18.8,-9.2,0.4
2021-03-03,0.40,-12.1,-4.9,2.3
2021-03-04,0.70,-11.8,-4.8,2.2
2021-03-05,7.38,-12.0,-8.2,-4.4
2021-03-06,0.00,-12.9,-5.9,1.2
2021-03-07,0.00,-11.2,-3.5,4.1
2021-03-08,0.00,-7.3,-1.4,4.4
2021-03-09,0.00,-5.9,-1.2,3.5
2021-03-10,4.65,-9.9,-3.4,3.0
