PRISM Time Series Data
Location:  Lat: 39.7859   Lon: -105.8783   Elev: 3609m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2025-09-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Apr-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-01-01,0.00,-15.7,-11.4,-7.1
2021-01-02,0.00,-15.4,-10.5,-5.5
2021-01-03,1.23,-17.4,-12.9,-8.4
2021-01-04,5.27,-15.7,-11.4,-7.1
2021-01-05,0.74,-16.8,-9.6,-2.5
2021-01-06,5.25,-15.6,-10.3,-4.9
2021-01-07,0.00,-17.5,-12.2,-6.9
2021-01-08,0.00,-15.8,-8.9,-1.9
2021-01-09,0.00,-18.3,-12.0,-5.7
2021-01-10,0.00,-17.7,-11.6,-5.6
2021-01-11,0.00,-18.9,-13.6,-8.4
2021-01-12,0.00,-19.1,-11.8,-4.5
2021-01-13,0.00,-14.9,-9.2,-3.6
2021-01-14,0.38,-14.3,-7.9,-1.5
2021-01-15,0.00,-18.5,-15.8,-13.0
2021-01-16,2.56,-17.1,-12.0,-6.9
2021-01-17,3.17,-13.3,-10.3,-7.4
2021-01-18,6.62,-12.6,-8.9,-5.2
2021-01-19,1.10,-18.5,-13.6,-8.7
2021-01-20,0.42,-17.8,-11.7,-5.6
2021-01-21,2.71,-16.0,-10.1,-4.2
2021-01-22,0.79,-11.8,-7.7,-3.6
2021-01-23,0.00,-11.3,-7.5,-3.7
2021-01-24,0.00,-15.1,-10.1,-5.2
2021-01-25,0.34,-17.1,-12.0,-6.9
2021-01-26,1.24,-19.4,-14.8,-10.2
2021-01-27,2.63,-19.7,-15.3,-10.9
2021-01-28,2.21,-21.3,-14.6,-7.8
2021-01-29,0.00,-11.8,-6.2,-0.6
2021-01-30,0.32,-12.2,-5.9,0.5
2021-01-31,3.94,-14.8,-11.7,-8.7
2021-02-01,1.20,-17.3,-8.7,-0.0
2021-02-02,0.65,-10.1,-4.6,1.0
2021-02-03,0.00,-8.7,-3.2,2.3
2021-02-04,15.32,-15.8,-7.8,0.2
2021-02-05,1.24,-19.5,-16.2,-12.9
2021-02-06,11.20,-17.4,-14.6,-11.9
2021-02-07,8.36,-16.2,-13.0,-9.7
2021-02-08,0.91,-12.9,-9.8,-6.7
2021-02-09,1.20,-10.1,-7.4,-4.7
2021-02-10,1.15,-9.1,-5.4,-1.7
2021-02-11,1.71,-10.6,-7.6,-4.6
2021-02-12,4.93,-11.4,-7.6,-3.8
2021-02-13,11.95,-9.8,-6.0,-2.3
2021-02-14,2.31,-13.4,-9.1,-4.9
2021-02-15,0.38,-18.1,-12.0,-5.9
2021-02-16,3.00,-20.9,-16.4,-12.0
2021-02-17,3.78,-16.6,-12.6,-8.6
2021-02-18,3.98,-18.8,-14.6,-10.5
2021-02-19,0.15,-22.0,-17.1,-12.2
2021-02-20,5.12,-21.8,-15.5,-9.2
2021-02-21,3.04,-17.1,-9.5,-1.9
2021-02-22,2.92,-18.8,-15.2,-11.6
2021-02-23,0.00,-13.8,-8.0,-2.2
2021-02-24,0.00,-13.9,-7.1,-0.3
2021-02-25,2.17,-20.0,-12.0,-4.0
2021-02-26,0.79,-18.0,-12.6,-7.2
2021-02-27,1.74,-17.5,-12.5,-7.6
2021-02-28,3.73,-21.8,-16.8,-11.7
2021-03-01,0.14,-24.9,-18.6,-12.2
2021-03-02,1.23,-21.4,-11.3,-1.3
2021-03-03,0.00,-13.6,-7.1,-0.6
2021-03-04,0.98,-12.2,-4.8,2.6
2021-03-05,10.62,-11.7,-7.9,-4.0
2021-03-06,0.00,-13.1,-6.1,1.0
2021-03-07,0.00,-10.8,-4.4,1.9
2021-03-08,0.00,-7.6,-1.1,5.4
2021-03-09,0.00,-5.1,-0.8,3.5
2021-03-10,3.90,-8.0,-1.6,4.8
2021-03-11,4.95,-17.2,-12.3,-7.3
2021-03-12,2.31,-15.9,-10.7,-5.5
2021-03-13,0.52,-13.0,-6.7,-0.5
2021-03-14,10.38,-12.6,-8.0,-3.3
2021-03-15,16.24,-17.4,-13.0,-8.6
2021-03-16,5.68,-15.8,-10.2,-4.6
2021-03-17,7.21,-12.5,-8.1,-3.7
2021-03-18,1.53,-14.3,-9.3,-4.3
2021-03-19,1.00,-14.6,-7.7,-0.8
2021-03-20,0.82,-10.6,-3.4,3.8
2021-03-21,3.33,-7.4,-0.2,6.9
2021-03-22,12.72,-12.1,-7.5,-2.9
2021-03-23,4.77,-14.3,-8.7,-3.1
2021-03-24,3.42,-16.4,-11.2,-5.9
2021-03-25,1.42,-15.0,-10.0,-5.0
2021-03-26,4.11,-15.6,-10.2,-4.7
