PRISM Time Series Data
Location:  Lat: 40.0629   Lon: -105.5492   Elev: 3311m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2025-09-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Apr-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-01-01,0.00,-13.5,-8.2,-2.9
2021-01-02,0.00,-15.3,-10.0,-4.7
2021-01-03,0.17,-12.7,-9.1,-5.6
2021-01-04,2.72,-12.2,-8.7,-5.2
2021-01-05,0.36,-11.3,-6.3,-1.2
2021-01-06,3.55,-12.9,-8.4,-3.9
2021-01-07,1.60,-13.4,-8.6,-3.8
2021-01-08,0.00,-12.0,-6.6,-1.1
2021-01-09,0.00,-17.3,-11.1,-4.9
2021-01-10,4.02,-17.2,-12.6,-8.0
2021-01-11,0.00,-19.8,-13.3,-6.8
2021-01-12,0.33,-18.1,-9.5,-1.0
2021-01-13,1.60,-11.3,-5.4,0.5
2021-01-14,4.05,-11.6,-5.7,0.2
2021-01-15,0.00,-16.3,-13.8,-11.3
2021-01-16,1.30,-14.9,-9.7,-4.5
2021-01-17,1.13,-10.4,-8.3,-6.2
2021-01-18,14.34,-10.2,-7.4,-4.6
2021-01-19,7.67,-17.0,-12.4,-7.8
2021-01-20,1.70,-16.8,-10.9,-5.0
2021-01-21,0.00,-10.6,-6.8,-2.9
2021-01-22,0.48,-8.7,-6.0,-3.2
2021-01-23,0.68,-9.7,-6.3,-2.9
2021-01-24,2.26,-11.8,-7.1,-2.4
2021-01-25,0.00,-15.6,-10.0,-4.4
2021-01-26,1.09,-19.2,-13.7,-8.3
2021-01-27,2.65,-20.5,-16.2,-11.9
2021-01-28,0.00,-17.0,-10.9,-4.8
2021-01-29,0.00,-7.9,-3.0,1.8
2021-01-30,0.00,-8.2,-2.9,2.4
2021-01-31,0.16,-12.0,-9.3,-6.6
2021-02-01,0.00,-12.9,-6.1,0.6
2021-02-02,0.31,-7.5,-2.2,3.2
2021-02-03,0.00,-5.5,-1.3,2.8
2021-02-04,9.68,-13.4,-6.3,0.7
2021-02-05,4.77,-16.8,-14.5,-12.3
2021-02-06,13.79,-15.4,-13.2,-10.9
2021-02-07,14.50,-14.1,-11.8,-9.5
2021-02-08,9.29,-10.7,-8.6,-6.4
2021-02-09,0.00,-9.7,-6.8,-4.0
2021-02-10,2.84,-7.4,-4.8,-2.1
2021-02-11,1.94,-8.1,-5.9,-3.6
2021-02-12,3.41,-9.2,-6.2,-3.3
2021-02-13,25.38,-7.9,-5.2,-2.5
2021-02-14,3.82,-23.7,-13.6,-3.5
2021-02-15,1.84,-25.8,-18.0,-10.1
2021-02-16,4.79,-18.5,-15.0,-11.6
2021-02-17,7.67,-14.4,-10.8,-7.2
2021-02-18,9.14,-18.4,-13.7,-9.1
2021-02-19,2.11,-20.3,-16.3,-12.3
2021-02-20,5.23,-17.0,-12.6,-8.2
2021-02-21,1.96,-14.6,-8.4,-2.2
2021-02-22,2.21,-16.4,-13.4,-10.5
2021-02-23,0.00,-11.3,-6.8,-2.2
2021-02-24,0.00,-11.6,-5.9,-0.2
2021-02-25,11.87,-17.0,-10.8,-4.6
2021-02-26,4.04,-18.8,-12.7,-6.6
2021-02-27,0.86,-14.3,-10.6,-7.0
2021-02-28,2.11,-19.3,-14.8,-10.4
2021-03-01,0.00,-20.1,-15.3,-10.6
2021-03-02,2.58,-17.1,-7.2,2.7
2021-03-03,0.00,-9.7,-3.4,2.9
2021-03-04,0.00,-10.0,-2.6,4.8
2021-03-05,4.07,-10.0,-6.2,-2.4
2021-03-06,0.11,-12.9,-4.8,3.4
2021-03-07,0.00,-8.5,-1.6,5.4
2021-03-08,0.00,-6.3,0.4,7.0
2021-03-09,0.00,-4.3,0.7,5.7
2021-03-10,5.68,-6.6,-0.4,5.7
2021-03-11,9.70,-15.4,-10.9,-6.4
2021-03-12,5.82,-16.3,-9.8,-3.4
2021-03-13,0.26,-12.7,-8.2,-3.8
2021-03-14,24.57,-11.3,-7.3,-3.3
2021-03-15,26.35,-16.1,-12.2,-8.4
2021-03-16,5.74,-13.4,-8.6,-3.9
2021-03-17,2.69,-13.4,-8.1,-2.8
2021-03-18,1.18,-12.7,-7.7,-2.7
2021-03-19,0.00,-10.6,-4.5,1.6
2021-03-20,0.00,-6.0,-0.2,5.6
2021-03-21,0.94,-4.7,2.1,9.0
2021-03-22,17.69,-10.1,-5.4,-0.7
2021-03-23,6.37,-13.7,-7.7,-1.7
2021-03-24,13.92,-15.5,-10.8,-6.1
2021-03-25,2.03,-13.0,-8.1,-3.2
2021-03-26,1.97,-12.2,-7.7,-3.2
2021-03-27,4.13,-11.3,-6.0,-0.7
