PRISM Time Series Data
Location:  Lat: 40.0568   Lon: -105.5561   Elev: 3397m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2025-09-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2026-Apr-03
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-01-01,0.00,-14.0,-8.5,-3.0
2021-01-02,0.00,-16.3,-10.8,-5.3
2021-01-03,0.40,-13.1,-9.5,-6.0
2021-01-04,3.36,-12.5,-9.0,-5.4
2021-01-05,0.90,-11.4,-6.5,-1.7
2021-01-06,3.42,-13.6,-9.0,-4.4
2021-01-07,2.24,-13.7,-8.7,-3.8
2021-01-08,0.00,-12.5,-7.1,-1.7
2021-01-09,0.00,-18.0,-11.7,-5.5
2021-01-10,3.87,-18.2,-13.6,-8.9
2021-01-11,0.00,-20.7,-14.0,-7.3
2021-01-12,1.16,-18.2,-9.7,-1.1
2021-01-13,2.24,-11.8,-5.8,0.2
2021-01-14,3.99,-12.0,-6.2,-0.4
2021-01-15,0.00,-16.7,-14.1,-11.6
2021-01-16,1.74,-15.1,-9.9,-4.6
2021-01-17,1.10,-11.3,-9.0,-6.8
2021-01-18,15.50,-10.7,-7.8,-4.9
2021-01-19,9.30,-17.8,-13.1,-8.5
2021-01-20,1.62,-17.5,-11.5,-5.6
2021-01-21,0.00,-10.6,-7.1,-3.6
2021-01-22,0.46,-9.4,-6.5,-3.7
2021-01-23,0.61,-10.2,-6.8,-3.5
2021-01-24,2.72,-12.3,-7.6,-3.0
2021-01-25,0.00,-16.4,-10.7,-5.0
2021-01-26,1.03,-20.2,-14.6,-9.1
2021-01-27,2.64,-21.7,-17.3,-12.9
2021-01-28,0.57,-16.9,-11.0,-5.1
2021-01-29,0.00,-8.2,-3.4,1.3
2021-01-30,0.00,-8.6,-3.5,1.6
2021-01-31,0.36,-12.8,-10.0,-7.1
2021-02-01,0.00,-13.0,-6.5,-0.1
2021-02-02,0.79,-7.8,-2.6,2.5
2021-02-03,0.00,-5.6,-1.8,2.0
2021-02-04,10.01,-14.0,-7.2,-0.4
2021-02-05,5.83,-17.5,-15.3,-13.1
2021-02-06,16.31,-16.3,-14.1,-11.9
2021-02-07,16.69,-14.7,-12.4,-10.1
2021-02-08,11.73,-11.3,-9.4,-7.5
2021-02-09,0.00,-10.3,-7.7,-5.0
2021-02-10,3.28,-7.8,-5.3,-2.7
2021-02-11,1.91,-8.7,-6.5,-4.4
2021-02-12,4.53,-9.3,-6.6,-3.9
2021-02-13,28.96,-8.4,-5.6,-2.8
2021-02-14,3.74,-23.6,-13.7,-3.8
2021-02-15,1.89,-26.3,-18.8,-11.4
2021-02-16,5.93,-19.0,-15.7,-12.3
2021-02-17,9.31,-15.3,-11.9,-8.5
2021-02-18,8.95,-19.4,-14.7,-10.0
2021-02-19,2.87,-20.7,-16.9,-13.0
2021-02-20,6.46,-17.0,-12.8,-8.7
2021-02-21,2.42,-15.3,-9.4,-3.6
2021-02-22,2.87,-17.0,-13.9,-10.9
2021-02-23,0.37,-11.7,-7.1,-2.5
2021-02-24,0.37,-12.1,-6.6,-1.1
2021-02-25,11.77,-17.5,-11.6,-5.8
2021-02-26,5.43,-19.6,-13.4,-7.1
2021-02-27,0.80,-14.8,-11.4,-8.0
2021-02-28,2.31,-19.9,-15.6,-11.3
2021-03-01,0.00,-20.4,-15.6,-10.7
2021-03-02,3.35,-17.1,-7.3,2.5
2021-03-03,0.00,-10.3,-3.7,2.8
2021-03-04,0.00,-10.5,-3.1,4.2
2021-03-05,4.41,-10.6,-6.9,-3.1
2021-03-06,0.36,-13.6,-5.4,2.9
2021-03-07,0.00,-9.2,-2.1,5.0
2021-03-08,0.00,-6.8,-0.2,6.3
2021-03-09,0.00,-4.9,0.1,5.0
2021-03-10,5.60,-7.4,-1.3,4.8
2021-03-11,10.70,-16.2,-11.8,-7.4
2021-03-12,6.11,-17.2,-10.7,-4.2
2021-03-13,0.63,-13.8,-9.6,-5.3
2021-03-14,23.63,-12.4,-8.4,-4.5
2021-03-15,25.66,-16.7,-12.9,-9.1
2021-03-16,6.21,-13.9,-9.0,-4.1
2021-03-17,2.93,-14.4,-9.1,-3.9
2021-03-18,1.34,-13.2,-8.4,-3.5
2021-03-19,0.00,-10.8,-4.8,1.3
2021-03-20,0.00,-6.2,-0.7,4.8
2021-03-21,1.00,-5.3,1.3,7.9
2021-03-22,17.68,-10.9,-6.1,-1.3
2021-03-23,6.87,-14.5,-8.6,-2.6
2021-03-24,14.36,-16.5,-11.8,-7.1
2021-03-25,2.13,-13.5,-8.8,-4.0
2021-03-26,2.24,-12.5,-8.2,-4.0
2021-03-27,4.15,-12.0,-7.0,-2.0
2021-03-28,2.47,-12.1,-7.8,-3.4
2021-03-29,1.21,-7.6,-1.9,3.7
2021-03-30,3.77,-10.6,-2.5,5.5
2021-03-31,0.00,-16.2,-12.0,-7.9
2021-04-01,0.69,-15.2,-8.6,-2.0
2021-04-02,1.03,-7.5,-0.7,6.0
2021-04-03,0.00,-5.2,1.4,8.0
2021-04-04,0.00,-4.1,3.3,10.8
2021-04-05,0.00,-3.4,3.7,10.7
2021-04-06,0.00,-3.1,3.7,10.5
2021-04-07,0.00,-9.8,-1.6,6.6
2021-04-08,1.84,-8.9,-5.0,-1.2
2021-04-09,0.00,-6.2,-0.5,5.2
2021-04-10,0.00,-11.1,-6.5,-1.8
2021-04-11,0.48,-6.7,-1.1,4.5
2021-04-12,0.00,-11.5,-2.3,6.8
2021-04-13,1.68,-13.6,-8.3,-3.0
2021-04-14,9.09,-12.0,-9.4,-6.8
2021-04-15,2.87,-11.2,-5.8,-0.5
2021-04-16,15.65,-12.6,-8.7,-4.7
2021-04-17,4.23,-13.9,-11.3,-8.8
2021-04-18,4.22,-17.4,-12.0,-6.5
2021-04-19,2.09,-16.4,-8.6,-0.8
2021-04-20,18.93,-17.5,-7.6,2.4
2021-04-21,2.10,-19.6,-12.0,-4.3
2021-04-22,3.09,-14.4,-9.5,-4.5
2021-04-23,9.77,-11.7,-6.1,-0.5
2021-04-24,2.28,-12.3,-5.0,2.3
2021-04-25,0.83,-7.5,-0.9,5.7
2021-04-26,0.68,-1.7,4.2,10.2
2021-04-27,0.00,-3.8,2.8,9.4
2021-04-28,22.48,-5.7,-2.3,1.0
2021-04-29,6.28,-5.3,-2.0,1.3
2021-04-30,1.21,-6.2,1.5,9.2
2021-05-01,0.00,-0.2,6.7,13.7
2021-05-02,0.00,1.6,8.2,14.7
2021-05-03,20.28,-3.9,1.6,7.0
2021-05-04,14.63,-7.0,-5.4,-3.9
2021-05-05,5.23,-7.8,-3.3,1.3
2021-05-06,4.65,-5.0,-1.2,2.6
2021-05-07,0.36,-3.2,4.5,12.3
2021-05-08,0.00,0.2,7.4,14.7
2021-05-09,2.74,-5.3,0.8,6.9
2021-05-10,8.19,-7.7,-4.2,-0.8
2021-05-11,15.59,-8.9,-4.6,-0.4
2021-05-12,8.64,-9.6,-5.6,-1.6
2021-05-13,1.13,-9.6,-3.1,3.4
2021-05-14,0.00,-4.3,2.8,9.9
2021-05-15,0.00,-2.7,5.2,13.1
2021-05-16,0.30,-2.0,4.9,11.7
2021-05-17,4.05,-1.8,4.9,11.5
2021-05-18,5.34,-1.8,1.7,5.2
2021-05-19,1.22,-1.9,2.5,6.9
2021-05-20,2.85,-1.6,5.0,11.5
2021-05-21,1.30,0.2,6.9,13.7
2021-05-22,0.00,-0.6,4.2,9.1
2021-05-23,17.54,-1.6,4.3,10.2
2021-05-24,1.11,-3.4,2.0,7.4
2021-05-25,0.47,-4.7,1.9,8.5
2021-05-26,0.00,-2.6,3.8,10.1
2021-05-27,0.00,-2.2,5.0,12.1
2021-05-28,0.00,-2.5,4.5,11.4
2021-05-29,0.00,-1.2,6.3,13.9
2021-05-30,2.36,-1.0,5.8,12.7
2021-05-31,11.63,-1.3,2.3,5.9
2021-06-01,4.20,-1.7,0.7,3.1
2021-06-02,5.04,-1.2,3.3,7.7
2021-06-03,0.23,-0.0,5.7,11.4
2021-06-04,0.00,1.5,7.9,14.2
2021-06-05,0.00,2.5,10.3,18.1
2021-06-06,0.00,4.6,11.7,18.9
2021-06-07,1.37,3.5,10.9,18.4
2021-06-08,0.00,4.3,11.6,18.9
2021-06-09,0.00,3.6,11.5,19.4
2021-06-10,0.00,4.6,11.5,18.5
2021-06-11,0.00,7.2,14.2,21.3
2021-06-12,0.00,1.6,8.4,15.3
2021-06-13,0.00,4.7,12.7,20.6
2021-06-14,0.00,5.9,13.6,21.3
2021-06-15,0.00,6.5,15.2,24.0
2021-06-16,0.00,8.7,16.5,24.4
2021-06-17,0.00,9.4,16.2,23.0
2021-06-18,0.00,9.2,16.0,22.7
2021-06-19,0.00,7.5,13.6,19.7
2021-06-20,0.74,6.9,12.7,18.4
2021-06-21,1.49,4.1,12.5,20.9
2021-06-22,0.00,3.0,7.3,11.5
2021-06-23,0.00,8.6,14.8,21.0
2021-06-24,0.73,6.9,13.0,19.1
2021-06-25,5.52,4.1,9.9,15.7
2021-06-26,16.97,3.1,7.5,11.8
2021-06-27,14.31,2.5,4.8,7.1
2021-06-28,10.72,1.7,4.3,6.8
2021-06-29,4.97,1.1,4.5,7.9
2021-06-30,4.85,1.0,5.2,9.5
2021-07-01,2.24,2.4,7.2,11.9
2021-07-02,12.04,4.4,9.2,13.9
2021-07-03,2.07,4.7,11.0,17.2
2021-07-04,1.08,7.2,13.6,19.9
2021-07-05,2.39,7.1,13.0,18.9
2021-07-06,4.68,5.9,12.8,19.6
2021-07-07,2.00,5.7,10.2,14.7
2021-07-08,0.23,4.6,11.4,18.1
2021-07-09,0.00,8.9,15.7,22.5
2021-07-10,0.00,10.0,17.1,24.2
2021-07-11,0.00,4.5,11.6,18.6
2021-07-12,0.00,4.4,11.2,18.1
2021-07-13,0.00,6.2,12.7,19.2
2021-07-14,0.37,7.9,14.9,22.0
2021-07-15,1.97,5.0,10.5,16.1
2021-07-16,0.40,5.3,11.9,18.4
2021-07-17,1.41,6.6,13.1,19.6
2021-07-18,0.00,6.2,13.0,19.8
2021-07-19,0.00,6.5,12.9,19.4
2021-07-20,0.00,6.2,12.9,19.7
2021-07-21,0.00,7.3,14.9,22.4
2021-07-22,0.51,9.0,14.5,20.1
2021-07-23,0.02,9.1,14.2,19.4
2021-07-24,3.48,8.3,13.3,18.3
2021-07-25,0.00,7.1,11.1,15.0
2021-07-26,1.74,6.4,12.4,18.5
2021-07-27,0.28,5.7,12.6,19.4
2021-07-28,0.00,5.7,13.1,20.5
2021-07-29,0.00,9.4,15.4,21.5
2021-07-30,0.00,8.7,13.9,19.0
2021-07-31,5.69,8.4,13.4,18.4
2021-08-01,16.74,5.6,8.2,10.9
2021-08-02,1.03,4.1,7.6,11.2
2021-08-03,3.06,4.9,11.0,17.1
2021-08-04,10.89,5.8,8.7,11.7
2021-08-05,1.40,4.4,9.5,14.5
2021-08-06,0.48,5.1,11.7,18.3
2021-08-07,0.91,6.4,13.6,20.8
2021-08-08,0.00,5.6,8.3,11.0
2021-08-09,0.00,7.7,12.6,17.6
2021-08-10,0.02,7.5,13.3,19.2
2021-08-11,0.44,8.3,13.5,18.8
2021-08-12,0.00,6.2,13.2,20.2
2021-08-13,0.00,6.0,12.2,18.4
2021-08-14,0.00,6.1,11.9,17.6
2021-08-15,0.00,6.2,13.1,20.0
2021-08-16,0.92,5.7,12.2,18.7
2021-08-17,0.00,5.4,11.4,17.5
2021-08-18,0.00,7.9,13.9,20.0
2021-08-19,0.34,7.2,13.0,18.7
2021-08-20,7.43,1.5,6.7,11.9
2021-08-21,2.52,0.6,4.2,7.8
2021-08-22,1.62,1.8,7.9,14.1
2021-08-23,0.33,5.6,10.9,16.1
2021-08-24,0.00,5.0,11.1,17.2
2021-08-25,0.23,6.2,12.2,18.2
2021-08-26,0.00,5.6,12.7,19.8
2021-08-27,1.45,4.0,9.7,15.5
2021-08-28,0.00,3.6,10.9,18.2
2021-08-29,0.00,7.1,14.0,20.9
2021-08-30,0.00,4.6,10.7,16.9
2021-08-31,0.00,5.1,11.7,18.3
2021-09-01,0.00,7.3,13.1,19.0
2021-09-02,0.98,6.4,11.8,17.3
2021-09-03,4.54,5.2,9.7,14.2
2021-09-04,3.97,4.0,7.8,11.7
2021-09-05,0.82,2.9,8.5,14.1
2021-09-06,0.00,3.2,9.6,16.0
2021-09-07,0.29,8.0,12.6,17.3
2021-09-08,0.00,4.7,12.1,19.5
2021-09-09,0.00,5.0,11.6,18.3
