pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,1,1,2023,2842.513032968045,7.952443810651311,1,7.995676689755877
NorthLower,1,1,2024,3044.2032813285095,8.020994497740165,1,7.952443810651311
NorthLower,1,1,2025,3471.459882216722,8.152330499801254,1,8.020994497740165
NorthLower,1,10,2023,109.95574287564276,4.700077947338814,1,4.4028264238708825
NorthLower,1,10,2024,251.32741228718345,5.526756520523282,1,4.700077947338814
NorthLower,1,10,2025,223.83847656827274,5.41092470499816,1,5.526756520523282
NorthLower,1,100,2023,252.89820861397834,5.532987070273918,1,5.601979941760869
NorthLower,1,100,2024,326.7256359733385,5.789120784990773,1,5.532987070273918
NorthLower,1,100,2025,32.67256359733384,3.486535691996727,1,5.789120784990773
NorthLower,1,101,2023,150.79644737231007,5.015930896757291,1,5.076555518573726
NorthLower,1,101,2024,238.76104167282426,5.475463226135731,1,5.015930896757291
NorthLower,1,101,2025,235.61944901923448,5.462217999385711,1,5.475463226135731
NorthLower,1,102,2023,160.22122533307947,5.076555518573726,1,4.882399504132769
NorthLower,1,102,2024,238.76104167282426,5.475463226135731,1,5.076555518573726
NorthLower,1,102,2025,127.23450247038662,4.846031859961894,1,5.475463226135731
NorthLower,1,103,2023,163.36281798666926,5.095973604430828,1,5.095973604430828
NorthLower,1,103,2024,328.29643230013335,5.7939169572542655,1,5.095973604430828
NorthLower,1,103,2025,311.0176727053895,5.73984973598399,1,5.7939169572542655
NorthLower,1,104,2024,208.91591146372122,5.341931833511208,1,4.882399504132769
NorthLower,1,104,2025,149.22565104551518,5.005459596889995,1,5.341931833511208
NorthLower,1,105,2023,122.52211349000194,4.808291531979046,1,5.1055430554469785
NorthLower,1,105,2024,127.23450247038662,4.846031859961894,1,4.808291531979046
NorthLower,1,105,2025,117.80972450961724,4.7690708188257656,1,4.846031859961894
NorthLower,1,106,2023,173.57299411083608,5.1565982262472625,1,5.031435083293256
NorthLower,1,106,2024,345.5751918948772,5.8452102516418165,1,5.1565982262472625
NorthLower,1,106,2025,328.29643230013335,5.7939169572542655,1,5.8452102516418165
NorthLower,1,107,2023,160.22122533307947,5.076555518573726,1,4.795388127143139
NorthLower,1,107,2024,263.89378290154264,5.575546684692714,1,5.076555518573726
NorthLower,1,107,2025,254.46900494077323,5.539179040521839,1,5.575546684692714
NorthLower,1,108,2023,173.57299411083608,5.1565982262472625,1,4.872830053116618
NorthLower,1,108,2024,0,NA,0,5.1565982262472625
NorthLower,1,109,2023,183.7831702350029,5.213756640087211,1,5.1565982262472625
