plot,tr,id,year,area,log_size,surv,size_t0
N-east,1,1000,2023,35.20353755551324,3.5611465762905636,1,3.646627536936785
N-east,1,1000,2024,44.05751918948772,3.7854960345118216,1,3.5611465762905636
N-east,1,1000,2025,43.05751918948772,3.762536877398866,1,3.7854960345118216
N-east,1,1001,2024,38.98672286269283,3.6632211487488595,1,3.5488795825522326
N-east,1,1001,2025,41.55751918948772,3.7270784721848806,1,3.6632211487488595
N-east,1,1002,2023,18.13716694115407,2.897963255045375,1,2.98102278086574
N-east,1,1002,2024,25.920352248333657,3.2550284612194202,1,2.897963255045375
N-east,1,1002,2025,27.491148575128552,3.313864082865935,1,3.2550284612194202
N-east,1,1003,2023,32.632741228718345,3.4853161165378133,1,3.4698754862864525
N-east,1,1003,2024,45.05751918948772,3.8079398777736015,1,3.4853161165378133
N-east,1,1003,2025,44.05751918948772,3.7854960345118216,1,3.8079398777736015
N-east,1,1004,2023,32.132741228718345,3.4698754862864525,1,3.3864878889739045
N-east,1,1004,2024,37.84513020910303,3.6335023113445377,1,3.4698754862864525
N-east,1,1004,2025,38.84513020910303,3.6595827204138347,1,3.6335023113445377
N-east,1,1005,2024,28.491148575128552,3.349593462724515,1,2.897963255045375
N-east,1,1005,2025,30.561944901923447,3.4197556043518955,1,3.349593462724515
N-east,1,1006,2023,9.853981633974483,2.287875600305795,1,2.3373711446684475
N-east,1,1006,2024,17.63716694115407,2.8700084334374365,1,2.287875600305795
N-east,1,1006,2025,16.63716694115407,2.8116391649576147,1,2.8700084334374365
N-east,1,1007,2023,36.27433388230814,3.59111043560532,1,3.59111043560532
N-east,1,1007,2024,34.638050576423545,3.544952805448506,1,3.59111043560532
N-east,1,1007,2025,37.46548396465436,3.6234200815135518,1,3.544952805448506
N-east,1,1008,2024,23.84955592153876,3.171765597519022,1,2.897963255045375
N-east,1,1008,2025,25.420352248333657,3.235550122798802,1,3.171765597519022
N-east,1,1009,2023,67.40707511102649,4.210749984382776,1,4.24716686172886
N-east,1,1009,2024,83.23428646002667,4.421659359813887,1,4.210749984382776
N-east,1,1009,2025,61.388490886840614,4.117222372743388,1,4.421659359813887
N-east,1,1010,2023,15.566370614359172,2.745112857476373,1,2.5196927014624024
N-east,1,1010,2024,24.84955592153876,3.212839882022348,1,2.745112857476373
N-east,1,1010,2025,24.84955592153876,3.212839882022348,1,3.212839882022348
N-east,1,1011,2024,0,NA,0,3.7773277779379737
N-east,1,1012,2023,67.54866776461628,4.212848342000268,1,4.244060572252257
N-east,1,1012,2024,73.83185307179586,4.301790251927108,1,4.212848342000268
N-east,1,1012,2025,77.47344572538566,4.349935241844768,1,4.301790251927108
N-east,1,1013,2023,28.491148575128552,3.349593462724515,1,3.264069067358468
N-east,1,1013,2024,30.561944901923447,3.4197556043518955,1,3.349593462724515
N-east,1,1013,2025,33.70353755551324,3.5176028038228306,1,3.4197556043518955
N-east,1,1014,2023,43.62831551628262,3.77570637800795,1,3.7641797539332784
N-east,1,1014,2024,51.911500823462205,3.9495403614509024,1,3.77570637800795
N-east,1,1014,2025,50.411500823462205,3.9202193399874403,1,3.9495403614509024
N-east,1,1015,2023,27.991148575128552,3.331888337881174,1,3.1718954550312723
N-east,1,1015,2024,35.77433388230814,3.577230705627186,1,3.331888337881174
N-east,1,1015,2025,38.84513020910303,3.6595827204138347,1,3.577230705627186
N-east,1,1016,2024,32.70353755551324,3.487483254177731,1,3.2550284612194202
N-east,1,1016,2025,33.70353755551324,3.5176028038228306,1,3.487483254177731
N-east,1,1017,2024,24.84955592153876,3.212839882022348,1,3.2955089817053524
N-east,1,1017,2025,34.77433388230814,3.5488795825522326,1,3.212839882022348
N-east,1,1018,2023,38.34424506661589,3.646604453100621,1,3.8698357044359293
N-east,1,1018,2024,43.6424747816416,3.776030868377176,1,3.646604453100621
N-east,1,1018,2025,39.01592653589793,3.663969935483535,1,3.776030868377176
N-east,1,1019,2024,54.053093477052,3.98996677606542,1,3.728780597171378
N-east,1,1019,2025,24.955750411731103,3.217104273065779,1,3.98996677606542
N-east,1,1020,2023,43.242474781641604,3.76682322475121,1,3.9362405801097022
N-east,1,1020,2024,0,NA,0,3.76682322475121
N-east,1,1021,2023,47.411500823462205,3.858864832676682,1,3.9216227233437237
N-east,1,1021,2024,50.265925782289095,3.9173274277179955,1,3.858864832676682
N-east,1,1021,2025,47.269908169872416,3.8558739021307895,1,3.9173274277179955
N-east,1,1022,2023,45.19911184307752,3.811077437155696,1,3.6353712490400714
N-east,1,1022,2024,43.55751918948772,3.774082344870132,1,3.811077437155696
N-east,1,1022,2025,42.32964323001333,3.745487626196188,1,3.774082344870132
N-east,1,1023,2023,24.84955592153876,3.212839882022348,1,3.334414384529047
N-east,1,1023,2024,0,NA,0,3.212839882022348
N-east,1,1024,2023,93.89822368615503,4.542211468954936,1,4.473760366443802
N-east,1,1024,2024,99.98959505412304,4.605066131115802,1,4.542211468954936
N-east,1,1024,2025,98.96902001294993,4.59480687199992,1,4.605066131115802
N-east,1,1025,2023,104.39379797371932,4.648170267301911,1,4.572459492868237
N-east,1,1025,2024,87.44202994957152,4.470976058941578,1,4.648170267301911
N-east,1,1025,2025,99.03959505412304,4.5955197202175375,1,4.470976058941578
N-east,1,1026,2023,34.77433388230814,3.5488795825522326,1,3.5176028038228306
N-east,1,1026,2024,43.55751918948772,3.774082344870132,1,3.5488795825522326
N-east,1,1026,2025,42.55751918948772,3.750856553613794,1,3.774082344870132
N-east,1,1027,2023,8.283185307179586,2.114227593354238,1,2.3373711446684475
N-east,1,1027,2024,8.283185307179586,2.114227593354238,1,2.114227593354238
N-east,1,1027,2025,8.283185307179586,2.114227593354238,1,2.114227593354238
N-east,1,1028,2023,72.04866776461628,4.277341831845938,1,4.312401385931403
N-east,1,1028,2024,81.67477343911638,4.402745183551439,1,4.277341831845938
N-east,1,1028,2025,82.62477343911637,4.414309556130165,1,4.402745183551439
N-east,1,1029,2023,33.20353755551324,3.502656423122993,1,3.534396790753563
N-east,1,1029,2024,37.91592653589793,3.6353712490400714,1,3.502656423122993
N-east,1,1029,2025,40.41592653589793,3.699223928467941,1,3.6353712490400714
N-east,1,1030,2024,33.20353755551324,3.502656423122993,1,3.215684828985229
N-east,1,1030,2025,38.34513020910303,3.646627536936785,1,3.502656423122993
N-east,1,1031,2023,69.04866776461628,4.234811585890988,1,3.59903213119567
N-east,1,1031,2024,58.95220833456486,4.076727087427867,1,4.234811585890988
N-east,1,1031,2025,58.80198704894306,4.074175647682971,1,4.076727087427867
N-east,1,1032,2023,24.34955592153876,3.192513612053827,1,3.0577093730538487
N-east,1,1032,2024,31.132741228718345,3.438260038036318,1,3.192513612053827
N-east,1,1032,2025,31.132741228718345,3.438260038036318,1,3.438260038036318
N-east,1,1033,2023,40.05751918948772,3.690316400948344,1,3.539393326084656
N-east,1,1033,2024,44.02035074111598,3.7846520438338604,1,3.690316400948344
N-east,1,1033,2025,43.120350741115985,3.7639950606380683,1,3.7846520438338604
N-east,1,1034,2023,14.495574287564276,2.6738433812896605,1,2.6738433812896605
N-east,1,1034,2024,13.495574287564276,2.602361801145407,1,2.6738433812896605
