pop,tr,plantID,year,area,log_size,surv,log_size_t0
NorthLower,1,2000,2023,429.7698750110837,6.0632498910378505,1,6.204155344115088
NorthLower,1,2000,2024,690.1686360855076,6.536935967854384,1,6.0632498910378505
NorthLower,1,2000,2025,755.5530331883452,6.627449975395216,1,6.536935967854384
NorthLower,1,2001,2023,56.548667764616276,4.0351016437455645,1,3.650255822840136
NorthLower,1,2001,2024,95.03317777109123,4.5542260703262505,1,4.0351016437455645
NorthLower,1,2001,2025,120.95131716320704,4.795388127143139,1,4.5542260703262505
NorthLower,1,2002,2023,63.61725123519331,4.152884679401948,1,3.3419544631856195
NorthLower,1,2002,2024,132.73228961416876,4.888334239652583,1,4.152884679401948
NorthLower,1,2002,2025,132.73228961416876,4.888334239652583,1,4.888334239652583
NorthLower,1,2003,2024,86.3937979737193,4.458915890521926,1,4.258245195059774
NorthLower,1,2003,2025,86.3937979737193,4.458915890521926,1,4.458915890521926
NorthLower,1,2004,2023,406.56135928268907,6.007734862941631,1,5.972643543130362
NorthLower,1,2004,2024,329.78868881058855,5.798452112419657,1,6.007734862941631
NorthLower,1,2004,2025,367.5663404700058,5.906903820647156,1,5.798452112419657
NorthLower,1,2005,2023,19.634954084936208,2.97731134959771,1,2.5310242469692907
NorthLower,1,2005,2024,31.41592653589793,3.447314978843446,1,2.97731134959771
NorthLower,1,2005,2025,37.69911184307752,3.6296365356374003,1,3.447314978843446
NorthLower,1,2007,2023,23.561944901923447,3.1596329063916646,1,4.0351016437455645
NorthLower,1,2007,2024,23.561944901923447,3.1596329063916646,1,3.1596329063916646
NorthLower,1,2007,2025,37.69911184307752,3.6296365356374003,1,3.1596329063916646
NorthLower,1,2008,2023,247.40042147019622,5.511008163555142,1,5.305564189340334
NorthLower,1,2008,2024,393.95571876016004,5.97623851404822,1,5.511008163555142
NorthLower,1,2008,2025,480.5065963665588,6.174840956446313,1,5.97623851404822
NorthLower,1,2009,2023,60.47565858160351,4.102240946583193,1,4.0069307667788685
NorthLower,1,2009,2024,69.11503837897544,4.235772339207716,1,4.102240946583193
NorthLower,1,2009,2025,81.68140899333463,4.4028264238708825,1,4.235772339207716
NorthLower,1,2010,2023,164.93361431346415,5.1055430554469785,1,5.2390744480715
NorthLower,1,2010,2024,180.6415775814131,5.196514833652705,1,5.1055430554469785
NorthLower,1,2010,2025,87.96459430051421,4.476934396024604,1,5.196514833652705
NorthLower,1,2011,2023,32.98672286269283,3.496105143012878,1,3.650255822840136
NorthLower,1,2011,2024,63.61725123519331,4.152884679401948,1,3.496105143012878
NorthLower,1,2011,2025,37.69911184307752,3.6296365356374003,1,4.152884679401948
NorthLower,1,2012,2023,205.77431881013143,5.326780028490607,1,5.644539556179665
NorthLower,1,2012,2024,201.06192982974676,5.303612969209072,1,5.326780028490607
NorthLower,1,2012,2025,0,NA,0,5.303612969209072
NorthLower,1,2013,2023,47.12388980384689,3.85278008695161,1,4.0351016437455645
NorthLower,1,2013,2024,0,NA,0,3.85278008695161
NorthLower,1,2014,2023,150.08958902525237,5.0112323759757365,1,4.808291531979046
NorthLower,1,2014,2024,178.1283034585413,5.182504096583107,1,5.0112323759757365
NorthLower,1,2014,2025,216.76989309769573,5.37883639044666,1,5.182504096583107
NorthLower,1,2015,2023,131.31857292005336,4.87762622538011,1,4.910570381099465
NorthLower,1,2015,2024,101.78760197630929,4.622888308647684,1,4.87762622538011
NorthLower,1,2015,2025,52.778756580308524,3.9661087722586132,1,4.622888308647684
NorthLower,1,2017,2024,19.634954084936208,2.97731134959771,1,3.313783586218923
NorthLower,1,2017,2025,0,NA,0,2.97731134959771
NorthLower,1,2018,2023,387.9866927183395,5.960971041917432,1,6.10073298429259
